idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
1, 0.1, 0.1, 0.1, ramp_w, 0.094, 0.273, 0.3092, NaN, NaN, NaN, NaN, NaN, NaN
2, 0.100856, 0.100856, 0.100856, ramp_w, 0.084, 0.2744, 0.3032, NaN, NaN, NaN, NaN, NaN, NaN
3, 0.10172, 0.10172, 0.10172, ramp_w, 0.083, 0.2792, 0.3132, NaN, NaN, NaN, NaN, NaN, NaN
4, 0.102591, 0.102591, 0.102591, ramp_w, 0.08, 0.2797, 0.3065, NaN, NaN, NaN, NaN, NaN, NaN
5, 0.103469, 0.103469, 0.103469, ramp_w, 0.078, 0.2749, 0.3108, NaN, NaN, NaN, NaN, NaN, NaN
6, 0.104355, 0.104355, 0.104355, ramp_w, 0.076, 0.2724, 0.3089, NaN, NaN, NaN, NaN, NaN, NaN
7, 0.105249, 0.105249, 0.105249, ramp_w, 0.082, 0.2755, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
8, 0.10615, 0.10615, 0.10615, ramp_w, 0.079, 0.2813, 0.3086, NaN, NaN, NaN, NaN, NaN, NaN
9, 0.107059, 0.107059, 0.107059, ramp_w, 0.078, 0.2817, 0.3095, NaN, NaN, NaN, NaN, NaN, NaN
10, 0.107975, 0.107975, 0.107975, ramp_w, 0.078, 0.2789, 0.3108, NaN, NaN, NaN, NaN, NaN, NaN
11, 0.1089, 0.1089, 0.1089, ramp_w, 0.08, 0.2802, 0.3113, NaN, NaN, NaN, NaN, NaN, NaN
12, 0.109832, 0.109832, 0.109832, ramp_w, 0.08, 0.2767, 0.3162, NaN, NaN, NaN, NaN, NaN, NaN
13, 0.110773, 0.110773, 0.110773, ramp_w, 0.081, 0.2846, 0.3115, NaN, NaN, NaN, NaN, NaN, NaN
14, 0.111721, 0.111721, 0.111721, ramp_w, 0.078, 0.2789, 0.3108, NaN, NaN, NaN, NaN, NaN, NaN
15, 0.112678, 0.112678, 0.112678, ramp_w, 0.079, 0.2731, 0.3173, NaN, NaN, NaN, NaN, NaN, NaN
16, 0.113642, 0.113642, 0.113642, ramp_w, 0.079, 0.28, 0.316, NaN, NaN, NaN, NaN, NaN, NaN
17, 0.114615, 0.114615, 0.114615, ramp_w, 0.076, 0.2846, 0.3089, NaN, NaN, NaN, NaN, NaN, NaN
18, 0.115597, 0.115597, 0.115597, ramp_w, 0.078, 0.2795, 0.3071, NaN, NaN, NaN, NaN, NaN, NaN
19, 0.116586, 0.116586, 0.116586, ramp_w, 0.082, 0.2829, 0.3178, NaN, NaN, NaN, NaN, NaN, NaN
