size,color,repeat,Y,x,y
full,0.2894961286567438,1,27.504,0.2818,0.3014
full,0.21235057950506092,1,13.309,0.2784,0.2998
full,0.08380800850724197,1,1.175,0.2708,0.2965
full,0.08380800850724197,1,1.202,0.27,0.298
full,0.4852418802655602,1,71.474,0.2841,0.3009
full,0.7335178556285477,0,122.29,0.2852,0.3003
full,0.901855372322704,1,193.55,0.2863,0.3003
full,0.05544126201879391,0,0.431,0.2685,0.3061
full,0.6615270187932356,1,97.3,0.2851,0.3013
full,0.06816466649902507,1,0.662,0.2741,0.3096
full,0.23545968236365628,0,16.595,0.2803,0.3002
