size,color,repeat,Y,x,y
0.5,0.049999999999999996,0,0.136,0.007123838074614803,8.146492700740882e-18
0.5,0.049999999999999996,1,0.472,0.007123838074614803,8.146492700740882e-18
0.5,0.05544126201879391,0,0.464,0.007123838074614803,8.146492700740882e-18
0.5,0.05544126201879391,1,0.463,0.007123838074614803,8.146492700740882e-18
0.5,0.06147467068473124,0,0.62,0.007123838074614803,8.146492700740882e-18
0.5,0.06147467068473124,1,0.672,0.275,0.2956
0.5,0.06816466649902507,0,0.775,0.007123838074614803,8.146492700740882e-18
0.5,0.06816466649902507,1,0.771,0.276,0.2972
0.5,0.07558270271592309,0,0.995,0.2764,0.2963
0.5,0.07558270271592309,1,0.99,0.2768,0.2969
0.5,0.08380800850724197,0,1.249,0.2773,0.2884
0.5,0.08380800850724197,1,1.251,0.007123838074614803,8.146492700740882e-18
0.5,0.09292843517846627,0,1.797,0.2778,0.2956
0.5,0.09292843517846627,1,1.794,0.007123838074614803,8.146492700740882e-18
0.5,0.10304139447451709,0,2.225,0.2784,0.2919
0.5,0.10304139447451709,1,2.23,0.007123838074614803,8.146492700740882e-18
0.5,0.11425489899687216,0,2.945,0.2789,0.2908
0.5,0.11425489899687216,1,2.935,0.2782,0.2905
0.5,0.12668871584432848,0,3.86,0.2792,0.2911
0.5,0.12668871584432848,1,3.847,0.007123838074614803,8.146492700740882e-18
0.5,0.14047564579899893,0,5.144,0.2804,0.295
0.5,0.14047564579899893,1,5.14,0.2802,0.2949
0.5,0.15576294172003172,0,6.411,0.007123838074614803,8.146492700740882e-18
0.5,0.15576294172003172,1,6.412,0.2802,0.2935
0.5,0.17271388129436815,0,8.126,0.007123838074614803,8.146492700740882e-18
0.5,0.17271388129436815,1,8.121,0.2801,0.2924
0.5,0.19150951094247873,0,10.689,0.007123838074614803,8.146492700740882e-18
0.5,0.19150951094247873,1,10.675,0.2802,0.2927
0.5,0.21235057950506092,0,13.211,0.007123838074614803,8.146492700740882e-18
0.5,0.21235057950506092,1,13.214,0.2809,0.2922
0.5,0.23545968236365628,0,16.793,0.007123838074614803,8.146492700740882e-18
0.5,0.23545968236365628,1,16.767,0.007123838074614803,8.146492700740882e-18
0.5,0.2610836388957092,0,21.329,0.2828,0.2942
0.5,0.2610836388957092,1,21.331,0.2828,0.2941
0.5,0.2894961286567438,0,26.575,0.2826,0.2933
0.5,0.2894961286567438,1,26.57,0.2826,0.2932
0.5,0.3210006144457002,0,33.719,0.2826,0.2932
0.5,0.3210006144457002,1,33.708,0.2826,0.2932
0.5,0.3559335834735583,0,42.223,0.007123838074614803,8.146492700740882e-18
0.5,0.3559335834735583,1,42.194,0.007123838074614803,8.146492700740882e-18
0.5,0.3946681412529161,0,53.357,0.2831,0.2925
0.5,0.3946681412529161,1,53.352,0.007123838074614803,8.146492700740882e-18
0.5,0.4376179965934659,0,67.817,0.007123838074614803,8.146492700740882e-18
0.5,0.4376179965934659,1,67.843,0.283,0.292
0.5,0.4852418802655602,0,84.311,0.2831,0.2916
