Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,1.0,0.08899999999999988,16,0
1,1.0,0.10700000000000008,full,0
2,8.0,0.08850000000000006,1,0
3,0.5,0.07999999999999993,16,0
4,4.0,0.05999999999999994,0.5,0
5,8.0,0.10500000000000002,16,0
6,2.0,0.06800000000000002,0.5,0
7,8.0,0.12600000000000006,full,0
8,1.0,0.06450000000000004,0.5,0
9,1.0,0.08850000000000002,1,0
10,2.0,0.09650000000000004,16,0
11,8.0,0.08499999999999985,0.5,0
12,2.0,0.09200000000000005,1,0
13,4.0,0.08999999999999983,1,0
14,2.0,0.09649999999999996,full,0
15,4.0,0.09700000000000002,16,0
16,0.5,0.09749999999999999,full,0
17,4.0,0.10850000000000003,full,0
18,0.5,0.06549999999999996,0.5,0
19,0.5,0.06850000000000002,1,0
0,8.0,0.10850000000000001,16,1
1,4.0,0.10800000000000001,full,1
2,4.0,0.09299999999999987,1,1
3,8.0,0.124,full,1
4,0.5,0.091,16,1
5,1.0,0.08449999999999984,1,1
6,8.0,0.09299999999999999,1,1
7,8.0,0.07749999999999996,0.5,1
8,0.5,0.09950000000000005,full,1
9,0.5,0.067,0.5,1
10,1.0,0.09300000000000005,16,1
11,1.0,0.07950000000000002,0.5,1
12,2.0,0.09150000000000007,1,1
13,2.0,0.07400000000000002,0.5,1
14,4.0,0.07300000000000002,0.5,1
15,4.0,0.0995,16,1
16,2.0,0.09900000000000003,16,1
17,0.5,0.07350000000000002,1,1
18,2.0,0.09950000000000005,full,1
19,1.0,0.09650000000000002,full,1
