Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,4.0,0.12100000000000033,1,0
1,4.0,0.08299999999999977,0.5,0
2,2.0,0.12599999999999983,16,0
3,0.5,0.05699999999999983,0.5,0
4,4.0,0.1369999999999999,16,0
5,0.5,0.11399999999999984,full,0
6,2.0,0.07249999999999984,0.5,0
7,2.0,0.10200000000000002,1,0
8,1.0,0.10250000000000005,1,0
9,1.0,0.07399999999999984,0.5,0
10,8.0,0.1459999999999999,full,0
11,4.0,0.13499999999999987,full,0
12,0.5,0.09999999999999988,16,0
13,0.5,0.08550000000000005,1,0
14,8.0,0.10449999999999982,0.5,0
15,1.0,0.12249999999999991,full,0
16,8.0,0.10149999999999985,1,0
17,2.0,0.14650000000000007,full,0
18,1.0,0.11799999999999988,16,0
19,8.0,0.15649999999999983,16,0
