Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,0.5,0.05249999999999988,0.5,0
1,4.0,0.10115001664303297,full,0
2,0.5,0.07896944432693348,1,0
3,8.0,0.09699999999999992,1,0
4,8.0,0.08468998395709584,0.5,0
5,8.0,0.10070131327638837,16,0
6,8.0,0.09269540942851642,full,0
7,2.0,0.051146266783073505,1,0
8,4.0,0.04299999999999987,0.5,0
9,2.0,0.0764999999999999,full,0
10,2.0,0.06349999999999989,0.5,0
11,0.5,0.08799999999999991,16,0
12,2.0,0.08085031747458604,16,0
13,0.5,0.08641770196442494,full,0
14,4.0,0.0714999999999999,1,0
15,4.0,0.0845561668246041,16,0
