Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,0.5,0.10216863359527,full,0
1,2.0,0.175538253747656,0.5,0
2,8.0,0.189,0.5,0
3,0.5,0.0905,16,0
4,4.0,0.0829933059337055,1,0
5,4.0,0.0704469134242042,0.5,0
6,2.0,0.1291853297843019,full,0
7,8.0,0.1210900353673942,16,0
8,0.5,0.0521077155186423,0.5,0
9,0.5,0.0642286763228062,1,0
10,2.0,0.0724662926073844,16,0
11,8.0,0.100637352122617,1,0
12,4.0,0.1145408096551065,full,0
13,8.0,0.1050974064013812,full,0
14,4.0,0.0690668327332408,16,0
15,2.0,0.0710020902023567,1,0
8,2.0,0.06856107276109763,0.5,0
10,8.0,0.09035951772092994,0.5,0
