Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.06174821807590976,0.5,0
1,4.0,0.10602482211638131,full,0
2,0.5,0.02849999999999986,1,0
3,0.5,0.09099999999999991,full,0
4,4.0,0.09352234436389696,0.5,0
5,8.0,0.043524652504277284,0.5,0
6,4.0,0.09633816380138022,16,0
7,2.0,0.10821384675067039,16,0
8,8.0,0.1231181555080979,full,0
9,0.5,0.07813684385927355,16,0
10,2.0,0.10963572343741769,1,0
11,8.0,0.12349999999999994,16,0
12,0.5,0.0917583612906649,0.5,0
13,8.0,0.11637011507321543,1,0
14,4.0,0.07682711542211113,1,0
15,2.0,0.11126348895069502,full,0
