Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,4.0,0.08358665629214837,1,0
1,2.0,0.10505099866806679,16,0
2,8.0,0.13299999999999998,full,0
3,8.0,0.11608399604512626,16,0
4,2.0,0.12574162699562208,1,0
5,0.5,0.07377071198160923,16,0
6,8.0,0.10409257362194843,0.5,0
7,0.5,0.09411232385916773,1,0
8,2.0,0.16149999999999998,0.5,0
9,4.0,0.10505748782110881,16,0
10,8.0,0.11560025218589187,1,0
11,2.0,0.09899999999999992,full,0
12,0.5,0.16399999999999998,0.5,0
13,0.5,0.09566302310064559,full,0
14,4.0,0.12859875339316176,full,0
15,4.0,0.09433197662841483,0.5,0
