Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.078476573009538,0.5,0
1,8.0,0.0786255164120161,0.5,0
0,0.5,0.09908493561015921,16,0
1,8.0,0.12774350482194322,full,0
2,4.0,0.099259279964965,16,0
4,2.0,0.10758986678099308,16,0
5,2.0,0.10431913809557279,1,0
6,8.0,0.11145373009055744,16,0
7,4.0,0.10144169863447025,full,0
8,2.0,0.09715915273771616,full,0
9,0.5,0.11292572762032357,full,0
10,4.0,0.09467667167516391,1,0
11,0.5,0.07802175640750983,0.5,0
13,8.0,0.08286461705571324,1,0
14,0.5,0.0878180456942651,1,0
15,4.0,0.06880347241658259,0.5,0
