Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,12,0.1148409515847451,16,0
1,16,0.0525,1,0
0,10,0.10050000000000005,16,0
1,12,0.06076647256137439,0.5,0
2,10,0.10969273286216126,full,0
3,14,0.056000000000000015,1,0
4,10,0.0779260473719948,0.5,0
5,12,0.06820329832135656,1,0
7,16,0.04,0.5,0
8,14,0.09673961894175308,full,0
9,10,0.07303037270900631,1,0
10,14,0.09635220194283331,16,0
12,16,0.10015057848266096,16,0
13,14,0.06178228334527584,0.5,0
14,12,0.10050000000000005,full,0
15,16,0.11461216589102599,full,0
