Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,0.5,0.0765,1,0
1,2.0,0.0730087130996602,1,0
2,2.0,0.0824999999999999,16,0
3,8.0,0.0985840662964249,16,0
4,0.5,0.0946270617742926,16,0
5,8.0,0.0749999999999999,0.5,0
6,0.5,0.0513405559042556,0.5,0
7,8.0,0.0659982487787251,1,0
8,8.0,0.1089999999999999,full,0
9,2.0,0.0915690219629997,full,0
10,2.0,0.0472332640355662,0.5,0
3,4.0,0.08,0.5,0
8,4.0,0.111589464210255,16,0
9,4.0,0.1179999999999999,full,0
10,4.0,0.0907122745986002,1,0
11,0.5,0.14713083895403403,full,0
