Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.1040737429432531,full,0
1,4.0,0.09612715273099277,full,0
2,0.5,0.0887736047525114,full,0
3,4.0,0.08020692869823833,16,0
4,8.0,0.10009096747965467,1,0
5,2.0,0.08651555348945643,1,0
6,8.0,0.11167326863688168,16,0
7,8.0,0.09587719116830651,0.5,0
8,0.5,0.08765992514387094,1,0
9,4.0,0.09174051705231873,0.5,0
10,8.0,0.11457339435877349,full,0
11,0.5,0.07670959621208802,16,0
12,2.0,0.07135716784896165,0.5,0
13,0.5,0.07361607127602075,0.5,0
14,2.0,0.09403854519881777,16,0
15,4.0,0.08088699158981517,1,0
