Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,8.0,0.11287705418808039,16,0
1,4.0,0.08615282333291642,0.5,0
2,1.0,0.09083059167103202,16,0
3,0.5,0.073078357375229,1,0
4,8.0,0.1150931336957906,full,0
5,1.0,0.08372739969913154,1,0
6,4.0,0.09882618326299482,full,0
7,2.0,0.08998635655643267,1,0
8,1.0,0.08740015459235428,full,0
9,0.5,0.05142842355493074,0.5,0
10,1.0,0.06028141155854605,0.5,0
11,2.0,0.08408542938139965,full,0
12,8.0,0.09542100807058301,1,0
13,2.0,0.07053515919328987,0.5,0
14,8.0,0.06573353011485591,0.5,0
15,2.0,0.08043509672131471,16,0
16,0.5,0.09027253332874632,16,0
17,0.5,0.07872358323518457,full,0
18,4.0,0.08500000000000006,1,0
19,4.0,0.09591181140633456,16,0
