Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,14,0.1116318364077093,full,0
1,10,0.09552013214583908,1,0
2,14,0.0437195263385116,0.5,0
3,12,0.12852018847033905,full,0
4,14,0.04646840871733894,1,0
5,14,0.10470296469892104,16,0
6,10,0.11063685258390062,full,0
7,10,0.10750000000000008,16,0
8,16,0.10904559338049856,16,0
9,12,0.05295308700078559,0.5,0
10,16,0.11427200413293333,full,0
11,10,0.011870675341974146,0.5,0
12,12,0.04649048690926695,1,0
13,16,0.02312898562058406,1,0
14,16,0.022234844325337094,0.5,0
15,12,0.09796446489147949,16,0
