Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,4.0,0.0985,16,0
1,0.5,0.0979999999999998,full,0
2,4.0,0.0665,0.5,0
3,0.5,0.071,1,0
4,2.0,0.084,16,0
5,0.5,0.0795,16,0
6,8.0,0.1014999999999998,1,0
7,2.0,0.073,0.5,0
8,8.0,0.0935,16,0
9,1.0,0.0764999999999999,1,0
10,2.0,0.0909999999999999,full,0
11,8.0,0.1015,full,0
12,8.0,0.0765,0.5,0
13,0.5,0.0539999999999998,0.5,0
14,1.0,0.075,16,0
15,4.0,0.1119999999999998,full,0
16,2.0,0.0909999999999998,1,0
17,4.0,0.0974999999999998,1,0
18,1.0,0.104,full,0
19,1.0,0.0915,0.5,0
0,1.0,0.0894999999999999,16,1
1,0.5,0.091,full,1
2,1.0,0.0975,full,1
3,4.0,0.0874999999999998,1,1
4,2.0,0.092,1,1
5,1.0,0.082,1,1
6,1.0,0.0805,0.5,1
7,2.0,0.0909999999999999,16,1
8,0.5,0.082,16,1
9,8.0,0.0864999999999998,1,1
10,2.0,0.0659999999999998,0.5,1
11,4.0,0.0985,full,1
12,8.0,0.1059999999999998,16,1
13,8.0,0.114,full,1
14,0.5,0.0779999999999999,1,1
15,0.5,0.0689999999999999,0.5,1
16,8.0,0.07,0.5,1
17,2.0,0.0974999999999998,full,1
18,4.0,0.0919999999999998,16,1
19,4.0,0.0844999999999998,0.5,1
2,12.0,0.127458450052995,full,0
8,10.0,0.1182168397258853,1,0
9,10.0,0.0731003640105486,0.5,0
16,16.0,0.1202927469513383,full,0
17,10.0,0.0985404762669547,16,0
19,12.0,0.111770046092196,16,0
21,16.0,0.1160200207916389,16,0
8,12.0,0.0847550611174342,1,0
13,12.0,0.102696513040439,0.5,0
15,10.0,0.0948799795690616,full,0
21,16.0,0.0573611295512302,1,0
22,16.0,0.0600350830324912,0.5,0
11,14.0,0.06729487275709235,0.5,0
25,14.0,0.07577042934528004,1,0
28,14.0,0.1027249750324047,full,0
29,14.0,0.09624135532158419,16,0
