Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.0971465929529148,full,0
1,0.5,0.1424999999999999,1,0
2,0.5,0.1064999999999999,0.5,0
3,0.5,0.0457986002788416,16,0
4,4.0,0.0828671291683176,full,0
5,2.0,0.0504417991995463,0.5,0
6,2.0,0.0749743206894766,16,0
7,8.0,0.0610686656698455,0.5,0
8,0.5,0.0939999999999999,full,0
9,8.0,0.1173380401926979,full,0
10,2.0,0.0900272945245522,1,0
11,4.0,0.1082540595842786,1,0
12,4.0,0.0665621994033159,0.5,0
13,8.0,0.0934999999999999,16,0
14,4.0,0.086016861562512,16,0
15,8.0,0.0780987831172952,1,0
3,0.5,0.0509999999999998,0.5,0
10,0.5,0.0620826561680661,1,0
0,10.0,0.12448525554752321,full,0
1,14.0,0.055000000000000014,1,0
2,16.0,0.11250000000000006,16,0
3,10.0,0.11603130758535743,16,0
4,14.0,0.11750000000000006,16,0
5,12.0,0.11900000000000006,full,0
6,12.0,0.12748522676281931,16,0
7,10.0,0.11281825321272894,1,0
8,10.0,0.06700000000000002,0.5,0
9,12.0,0.055000000000000014,0.5,0
10,12.0,0.10248035037508998,1,0
11,16.0,0.05050000000000001,1,0
12,14.0,0.13587174698660656,full,0
13,14.0,0.054934807786435086,0.5,0
14,16.0,0.07303497433095832,0.5,0
15,16.0,0.11803911471198926,full,0
