Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,2.0,0.1295493205967381,full,0
1,4.0,0.12765754636484639,full,0
2,2.0,0.12602523788547257,16,0
3,4.0,0.1221162809931711,16,0
4,8.0,0.11259871077392915,0.5,0
5,2.0,0.10975837236129125,1,0
6,4.0,0.11960557722605879,1,0
7,8.0,0.13403642363550763,16,0
8,8.0,0.1027941305210011,1,0
9,0.5,0.11814547633625866,16,0
10,2.0,0.10808510759196795,0.5,0
11,8.0,0.12703580031295367,full,0
12,0.5,0.0939163459118781,1,0
13,0.5,0.11814214804343691,full,0
14,4.0,0.09111763833462362,0.5,0
15,0.5,0.09660073024197892,0.5,0
