Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,8.0,0.09852687212437619,16,0
1,2.0,0.09314148810210993,full,0
2,8.0,0.08112267517322636,0.5,0
3,2.0,0.0937536283654098,0.5,0
4,0.5,0.07317034066334031,0.5,0
5,4.0,0.08107054283291952,0.5,0
6,4.0,0.07119760967068516,1,0
7,4.0,0.09321716977748419,full,0
8,0.5,0.09996650629608116,full,0
9,8.0,0.10548147287150866,full,0
10,8.0,0.08312862483284036,1,0
11,0.5,0.09745299481460977,16,0
12,2.0,0.08498762561520143,1,0
13,2.0,0.09921255867039196,16,0
14,4.0,0.10825813635316502,16,0
15,0.5,0.08557798454770102,1,0
