Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8.0,full,0.12500000000000003,0,1,1,1
0,8.0,full,0.1347450151369915,1,0,1,0
0,8.0,full,0.13230103462322665,2,1,1,1
0,8.0,full,0.13383028888942805,3,1,1,1
0,8.0,full,0.13533665616443974,4,1,0,0
0,8.0,full,0.13309959826453754,5,0,1,0
0,8.0,full,0.13062458573137364,6,1,1,1
0,8.0,full,0.1321757996510963,7,1,1,1
0,8.0,full,0.13370180722828112,8,1,1,1
0,8.0,full,0.1352048456147267,9,1,1,1
0,8.0,full,0.13668703023130888,10,1,1,1
0,8.0,full,0.13808379542860136,11,1,0,0
0,8.0,full,0.13590593023699937,12,0,1,0
0,8.0,full,0.13369179853405858,13,1,1,1
0,8.0,full,0.13519014442886787,14,1,0,0
0,8.0,full,0.1327773668980209,15,1,1,1
0,8.0,full,0.1342865881561825,16,0,1,0
0,8.0,full,0.1318574553345363,17,0,0,1
0,8.0,full,0.13337828619968112,18,0,0,1
0,8.0,full,0.13487588574022868,19,0,0,1
0,8.0,full,0.13635236387818314,20,1,1,1
0,8.0,full,0.1377433966501655,21,0,1,0
0,8.0,full,0.13557503767395118,22,1,1,1
0,8.0,full,0.13697321990996816,23,0,0,1
0,8.0,full,0.13835496845137565,24,1,1,1
0,8.0,full,0.1397218956764859,25,0,0,1
0,8.0,full,0.14107554600099276,26,1,1,1
0,8.0,full,0.14241740285323976,27,0,1,0
0,8.0,full,0.1403204652587904,28,0,1,0
0,8.0,full,0.13819966991905164,29,0,0,1
1,8.0,0.5,0.08124999999999989,0,0,1,0
1,8.0,0.5,0.08890807963900868,1,0,0,1
1,8.0,0.5,0.09178525781284388,2,0,0,1
1,8.0,0.5,0.09444898804804788,3,0,0,1
1,8.0,0.5,0.0970189929090083,4,1,1,1
1,8.0,0.5,0.09950617049980176,5,1,1,1
1,8.0,0.5,0.10182804147784204,6,1,0,0
1,8.0,0.5,0.09777069885215722,7,1,1,1
1,8.0,0.5,0.1002289429312162,8,0,0,1
1,8.0,0.5,0.10252577125596847,9,0,0,1
1,8.0,0.5,0.10476497551468474,10,0,1,0
1,8.0,0.5,0.10084943573168173,11,0,1,0
1,8.0,0.5,0.09676575041704938,12,0,0,1
1,8.0,0.5,0.09924251091265086,13,0,1,0
1,8.0,0.5,0.09508792408194787,14,1,1,1
1,8.0,0.5,0.09761181851134998,15,0,1,0
1,8.0,0.5,0.09301618119422236,16,1,1,1
1,8.0,0.5,0.09560338497689794,17,1,1,1
1,8.0,0.5,0.09810375534049279,18,0,0,1
1,8.0,0.5,0.100527208221997,19,1,0,0
1,8.0,0.5,0.09646115679397935,20,0,0,1
1,8.0,0.5,0.09892817964011986,21,0,1,0
1,8.0,0.5,0.09443580934414689,22,1,1,1
1,8.0,0.5,0.09696135066318341,23,0,1,0
1,8.0,0.5,0.09236394776286029,24,0,1,0
1,8.0,0.5,0.0874685993535138,25,0,1,0
1,8.0,0.5,0.08173450278681063,26,0,0,1
1,8.0,0.5,0.0848701250010851,27,1,1,1
1,8.0,0.5,0.08785240494700643,28,0,0,1
1,8.0,0.5,0.09070168471769632,29,1,1,1
2,0.5,1,0.07100000000000001,0,1,1,1
2,0.5,1,0.08891792510853797,1,0,0,1
2,0.5,1,0.09167869055306954,2,1,1,1
2,0.5,1,0.09434217266765428,3,1,1,1
2,0.5,1,0.0969202291757635,4,0,0,1
2,0.5,1,0.09942309572520229,5,1,0,0
2,0.5,1,0.095207862182614,6,1,0,0
2,0.5,1,0.09040854154980374,7,0,0,1
2,0.5,1,0.09310123413515632,8,1,0,0
2,0.5,1,0.08818275379307627,9,0,0,1
2,0.5,1,0.09094870555796972,10,1,1,1
2,0.5,1,0.09361528663358018,11,1,1,1
2,0.5,1,0.09619460688621366,12,0,0,1
2,0.5,1,0.0986970979676808,13,1,0,0
2,0.5,1,0.09448406218212507,14,0,1,0
2,0.5,1,0.08968158393057167,15,0,1,0
2,0.5,1,0.08456599274556093,16,1,1,1
2,0.5,1,0.08755980737358951,17,1,1,1
2,0.5,1,0.09042869763488476,18,1,0,0
2,0.5,1,0.08538369192647909,19,1,0,0
2,0.5,1,0.0794791764311447,20,1,1,1
2,0.5,1,0.08269592415737927,21,0,0,1
2,0.5,1,0.08575614709419468,22,0,1,0
2,0.5,1,0.07990610686958954,23,0,1,0
2,0.5,1,0.07346453331599549,24,0,0,1
2,0.5,1,0.07711826650650545,25,1,1,1
2,0.5,1,0.08055271413120563,26,0,0,1
2,0.5,1,0.08369597853804682,27,0,1,0
2,0.5,1,0.07768562962608339,28,1,1,1
2,0.5,1,0.08107795079600631,29,0,0,1
3,2.0,full,0.09799999999999999,0,1,1,1
3,2.0,full,0.11084178203019568,1,0,0,1
3,2.0,full,0.11289478408642498,2,1,1,1
3,2.0,full,0.11482156160384448,3,1,1,1
3,2.0,full,0.11671190564820712,4,1,1,1
3,2.0,full,0.11856953276492342,5,0,0,1
3,2.0,full,0.12039788466419402,6,0,1,0
3,2.0,full,0.11732632512612773,7,0,0,1
3,2.0,full,0.11916999082627291,8,0,0,1
3,2.0,full,0.12098555078400998,9,1,0,0
3,2.0,full,0.11793480285798182,10,1,1,1
3,2.0,full,0.11976494960657123,11,1,0,0
3,2.0,full,0.11669142232649225,12,1,1,1
3,2.0,full,0.11853750877568325,13,0,1,0
3,2.0,full,0.11543891998346148,14,0,0,1
3,2.0,full,0.11730235046425073,15,0,0,1
3,2.0,full,0.11913460722837323,16,0,1,0
3,2.0,full,0.11605856790161118,17,0,1,0
3,2.0,full,0.1129026575243071,18,0,1,0
3,2.0,full,0.10965003845557646,19,1,1,1
3,2.0,full,0.11170058261246053,20,1,0,0
3,2.0,full,0.10841175663052331,21,1,1,1
3,2.0,full,0.11048757042687539,22,1,1,1
3,2.0,full,0.11251435075547164,23,0,1,0
3,2.0,full,0.1092627022947311,24,1,0,0
3,2.0,full,0.10560583764393444,25,0,0,1
3,2.0,full,0.10774482675058124,26,1,1,1
3,2.0,full,0.10982792011522426,27,0,1,0
3,2.0,full,0.10620487895113008,28,1,0,0
3,2.0,full,0.10242046069832683,29,0,0,1
4,4.0,0.5,0.06649999999999996,0,0,0,1
4,4.0,0.5,0.08563477614401742,1,0,0,1
4,4.0,0.5,0.08862363584892499,2,1,1,1
4,4.0,0.5,0.09139341960478702,3,0,1,0
4,4.0,0.5,0.08632697120877965,4,0,0,1
4,4.0,0.5,0.0892790938538236,5,0,1,0
4,4.0,0.5,0.08407849512674777,6,0,1,0
4,4.0,0.5,0.0779805907677909,7,1,1,1
4,4.0,0.5,0.08130004806002174,8,0,0,1
4,4.0,0.5,0.08445385804281458,9,0,1,0
4,4.0,0.5,0.07841288068000808,10,1,1,1
4,4.0,0.5,0.08169974098870912,11,1,1,1
4,4.0,0.5,0.08482506653839658,12,0,1,0
4,4.0,0.5,0.07883976811659595,13,0,0,1
4,4.0,0.5,0.08209476915658322,14,1,1,1
4,4.0,0.5,0.08519220468814827,15,1,0,0
4,4.0,0.5,0.07926137939024817,16,0,0,1
4,4.0,0.5,0.08248523307328931,17,0,0,1
4,4.0,0.5,0.08555535400780674,18,0,1,0
4,4.0,0.5,0.07967783627622663,19,0,0,1
4,4.0,0.5,0.08287122995865043,20,1,1,1
4,4.0,0.5,0.08591459356156018,21,0,0,1
4,4.0,0.5,0.08882864142639126,22,1,1,1
4,4.0,0.5,0.09153155865738226,23,0,1,0
4,4.0,0.5,0.08659023810071059,24,0,0,1
4,4.0,0.5,0.0894692672920109,25,0,1,0
4,4.0,0.5,0.08440039824578956,26,1,1,1
4,4.0,0.5,0.08736054989320291,27,1,1,1
4,4.0,0.5,0.09020138583333001,28,1,0,0
4,4.0,0.5,0.08519991524765085,29,1,0,0
5,2.0,16,0.09775000000000002,0,1,1,1
5,2.0,16,0.11062620176436898,1,0,0,1
5,2.0,16,0.11268390939778941,2,0,1,0
5,2.0,16,0.1093810658807277,3,0,1,0
5,2.0,16,0.10566686837706638,4,1,1,1
5,2.0,16,0.10783841559825658,5,0,1,0
5,2.0,16,0.10406209349591848,6,0,0,1
5,2.0,16,0.10627341679750915,7,1,0,0
5,2.0,16,0.10242963087746995,8,1,1,1
5,2.0,16,0.1046839894793774,9,0,0,1
5,2.0,16,0.10687259680276301,10,0,0,1
5,2.0,16,0.10900205648582867,11,0,1,0
5,2.0,16,0.10529806448066482,12,1,1,1
5,2.0,16,0.10746460809401849,13,1,0,0
5,2.0,16,0.10369787111530253,14,0,0,1
5,2.0,16,0.10590453526871396,15,1,1,1
5,2.0,16,0.10804964298061251,16,1,0,0
5,2.0,16,0.10431975800357472,17,1,1,1
5,2.0,16,0.10650361031521195,18,0,1,0
5,2.0,16,0.10270804867141757,19,1,1,1
5,2.0,16,0.10493379471603437,20,1,1,1
5,2.0,16,0.1070954902348474,21,0,1,0
5,2.0,16,0.10333804427837695,22,0,1,0
5,2.0,16,0.09939405873479698,23,0,0,1
5,2.0,16,0.10180704221224342,24,0,1,0
5,2.0,16,0.09778521767339814,25,0,1,0
5,2.0,16,0.09253131498703898,26,1,1,1
5,2.0,16,0.09549683041337284,27,1,1,1
5,2.0,16,0.09832225290073668,28,0,0,1
5,2.0,16,0.10076115934794723,29,0,0,1
6,4.0,16,0.09824999999999999,0,1,1,1
6,4.0,16,0.11105751896200962,1,0,0,1
6,4.0,16,0.11310583151919325,2,0,1,0
6,4.0,16,0.10981825594805825,3,1,1,1
6,4.0,16,0.11189051591093786,4,0,0,1
6,4.0,16,0.11383332206412806,5,0,0,1
6,4.0,16,0.11573759593018433,6,0,1,0
6,4.0,16,0.11254502802029495,7,1,1,1
6,4.0,16,0.11447045460438914,8,0,0,1
6,4.0,16,0.11635879175345516,9,1,1,1
6,4.0,16,0.11821378269411242,10,0,1,0
6,4.0,16,0.11510089477375608,11,1,1,1
6,4.0,16,0.11697379950078472,12,1,0,0
6,4.0,16,0.11383253020000024,13,0,0,1
6,4.0,16,0.1157248373472776,14,0,1,0
6,4.0,16,0.1125526776874826,15,1,1,1
6,4.0,16,0.1144659410995608,16,0,1,0
6,4.0,16,0.11126027271722581,17,0,0,1
6,4.0,16,0.11319611826852205,18,0,1,0
6,4.0,16,0.10995420168491912,19,1,1,1
6,4.0,16,0.11199778144390825,20,0,1,0
6,4.0,16,0.10872011762478348,21,1,1,1
6,4.0,16,0.11078866340454956,22,1,1,1
6,4.0,16,0.11280870463476278,23,1,0,0
6,4.0,16,0.10956785508316885,24,1,1,1
6,4.0,16,0.11161162148196008,25,0,1,0
6,4.0,16,0.10833440657352211,26,1,1,1
6,4.0,16,0.11040352603609965,27,1,1,1
6,4.0,16,0.11242350655764116,28,1,0,0
6,4.0,16,0.10918350484861633,29,1,1,1
7,4.0,1,0.09149999999999985,0,0,1,0
7,4.0,1,0.09859594988019095,1,0,0,1
7,4.0,1,0.10105495481296808,2,0,1,0
7,4.0,1,0.09694457798394397,3,0,1,0
7,4.0,1,0.09222116517647756,4,0,0,1
7,4.0,1,0.09490032520109146,5,1,1,1
7,4.0,1,0.09747606040721116,6,1,0,0
7,4.0,1,0.09280287574740738,7,0,0,1
7,4.0,1,0.0954520909704728,8,0,0,1
7,4.0,1,0.09800092882627992,9,1,1,1
7,4.0,1,0.10046068281360052,10,1,0,0
7,4.0,1,0.09635032064347884,11,0,0,1
7,4.0,1,0.09886089605329115,12,0,1,0
7,4.0,1,0.09430588250039248,13,1,1,1
7,4.0,1,0.09688439176421118,14,0,0,1
7,4.0,1,0.09936977969867916,15,1,0,0
7,4.0,1,0.0948604746237488,16,0,0,1
7,4.0,1,0.09741177066075532,17,1,1,1
7,4.0,1,0.09987260205748386,18,0,0,1
7,4.0,1,0.10225290126344731,19,1,0,0
7,4.0,1,0.09827420253220331,20,1,1,1
7,4.0,1,0.10070020990845106,21,1,1,1
7,4.0,1,0.10295902346537296,22,1,1,1
7,4.0,1,0.10515437161757285,23,0,0,1
7,4.0,1,0.10729276982212282,24,0,0,1
7,4.0,1,0.10938005896305134,25,0,1,0
7,4.0,1,0.10574051100472082,26,0,0,1
7,4.0,1,0.10785948067051021,27,0,1,0
7,4.0,1,0.10416657232255157,28,0,0,1
7,4.0,1,0.10631995720339762,29,0,1,0
8,0.5,0.5,0.06624999999999996,0,1,0,0
8,0.5,0.5,0.07459340882869143,1,0,1,0
8,0.5,0.5,0.06671343857954216,2,1,1,1
8,0.5,0.5,0.0710110941062181,3,0,0,1
8,0.5,0.5,0.07487023551403844,4,0,1,0
8,0.5,0.5,0.06706396771583227,5,0,0,1
8,0.5,0.5,0.07131924689838681,6,0,1,0
8,0.5,0.5,0.06246786187040651,7,0,1,0
8,0.5,0.5,0.05006942331894188,8,1,0,0
8,0.5,0.5,0.039999999999999994,9,1,1,1
8,0.5,0.5,0.041445239971547226,10,0,0,1
8,0.5,0.5,0.04940423746284053,11,0,1,0
8,0.5,0.5,0.039999999999999994,12,1,1,1
8,0.5,0.5,0.04067358394396476,13,1,1,1
8,0.5,0.5,0.048736652665766704,14,1,1,1
8,0.5,0.5,0.05542222762622035,15,0,0,1
8,0.5,0.5,0.061378628920291445,16,0,0,1
8,0.5,0.5,0.06662325768191824,17,1,1,1
8,0.5,0.5,0.07084237135103263,18,0,1,0
