Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,4.0,1,0.09249999999999987,0,1,1,1
0,4.0,1,0.10917019163572066,1,1,1,1
0,4.0,1,0.1111105302630763,2,1,1,1
0,4.0,1,0.11300546030064974,3,0,1,0
0,4.0,1,0.1072111061266308,4,1,1,1
0,4.0,1,0.10918696600178646,5,1,0,0
0,4.0,1,0.10315009159262012,6,1,1,1
0,4.0,1,0.10522741792261184,7,0,0,1
0,4.0,1,0.10724338702996376,8,1,1,1
0,4.0,1,0.10920426583728159,9,0,1,0
0,4.0,1,0.10321449001293158,10,0,1,0
0,4.0,1,0.09671402433723912,11,0,1,0
0,4.0,1,0.08899519683324607,12,1,1,1
0,4.0,1,0.09196754038218513,13,1,1,1
0,4.0,1,0.09449214330128981,14,0,1,0
0,4.0,1,0.08619811802739076,15,1,1,1
0,4.0,1,0.0892027971718074,16,0,1,0
0,4.0,1,0.08026253238789925,17,0,0,1
0,4.0,1,0.08338025842933657,18,0,0,1
0,4.0,1,0.08642497506970409,19,1,1,1
0,4.0,1,0.08940880149559115,20,0,0,1
0,4.0,1,0.09234211780517268,21,0,0,1
0,4.0,1,0.09476529433197116,22,0,0,1
0,4.0,1,0.09706480146528876,23,0,1,0
0,4.0,1,0.08961323404946893,24,1,1,1
0,4.0,1,0.09252313460034334,25,0,1,0
0,4.0,1,0.08387218773272778,26,0,0,1
0,4.0,1,0.08687286792745427,27,0,0,1
0,4.0,1,0.08981611873531206,28,0,0,1
0,4.0,1,0.09267752745191427,29,1,1,1
1,0.5,16,0.08075000000000003,0,1,1,1
1,0.5,16,0.09978537246632377,1,1,0,0
1,0.5,16,0.09295421893133882,2,1,1,1
1,0.5,16,0.0953176787923327,3,0,0,1
1,0.5,16,0.09759789316560363,4,0,1,0
1,0.5,16,0.090590499923101,5,0,1,0
1,0.5,16,0.08275972834445723,6,1,1,1
1,0.5,16,0.08552836919808622,7,1,1,1
1,0.5,16,0.08816421393411736,8,0,0,1
1,0.5,16,0.09068357007220049,9,1,1,1
1,0.5,16,0.09310018004281014,10,1,1,1
1,0.5,16,0.09542577551666645,11,1,1,1
1,0.5,16,0.09767048681383737,12,1,1,1
1,0.5,16,0.09984315132161069,13,1,1,1
1,0.5,16,0.10195154991948668,14,1,1,1
1,0.5,16,0.10400259104688452,15,1,0,0
1,0.5,16,0.09770725661326886,16,0,0,1
1,0.5,16,0.09986350583148276,17,1,1,1
1,0.5,16,0.1019563191578878,18,0,1,0
1,0.5,16,0.09553414449766903,19,0,1,0
1,0.5,16,0.08850401712850571,20,0,0,1
1,0.5,16,0.09095983666268861,21,1,1,1
1,0.5,16,0.0933176309804892,22,1,1,1
1,0.5,16,0.09558838876494422,23,1,0,0
1,0.5,16,0.08861566048696179,24,1,1,1
1,0.5,16,0.0910509256902719,25,1,1,1
1,0.5,16,0.09338967123713245,26,1,1,1
1,0.5,16,0.09564265208641531,27,0,0,1
1,0.5,16,0.09781920026972235,28,1,1,1
1,0.5,16,0.0999274914831271,29,1,1,1
2,1.0,full,0.10075000000000002,0,0,0,1
2,1.0,full,0.11603637819397725,1,1,0,0
2,1.0,full,0.11040622136064841,2,0,1,0
2,1.0,full,0.1043532690169764,3,0,1,0
2,1.0,full,0.09722359667036351,4,1,1,1
2,1.0,full,0.09992761192054522,5,1,0,0
2,1.0,full,0.09194443282116788,6,0,0,1
2,1.0,full,0.09469623139494747,7,1,1,1
2,1.0,full,0.09741220907437322,8,0,0,1
2,1.0,full,0.10009920183271805,9,1,1,1
2,1.0,full,0.10242642232798345,10,0,1,0
2,1.0,full,0.09490120738570536,11,0,0,1
2,1.0,full,0.0975994476766059,12,0,0,1
2,1.0,full,0.1002697091623725,13,0,1,0
2,1.0,full,0.0923902035964538,14,0,0,1
2,1.0,full,0.09510451704679103,15,1,0,0
2,1.0,full,0.08709153079240513,16,0,0,1
2,1.0,full,0.08987455463908904,17,1,1,1
2,1.0,full,0.0926101065885695,18,1,1,1
2,1.0,full,0.09530618705607576,19,1,1,1
2,1.0,full,0.09796988101265487,20,0,1,0
2,1.0,full,0.09011168469221781,21,0,0,1
2,1.0,full,0.09282806768139511,22,0,1,0
2,1.0,full,0.08480916241564863,23,0,0,1
2,1.0,full,0.0876044321790664,24,0,0,1
2,1.0,full,0.09034654958966644,25,0,0,1
2,1.0,full,0.09304412076139425,26,0,0,1
2,1.0,full,0.09570471262086958,27,1,1,1
2,1.0,full,0.09833504962981819,28,1,1,1
2,1.0,full,0.10091026071373145,29,1,1,1
3,4.0,16,0.09524999999999992,0,0,0,1
3,4.0,16,0.11143634073605235,1,0,1,0
