Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,2.0,0.5,0.07053515919328986,0,1,1,1
0,2.0,0.5,0.09210513977226002,1,1,1,1
0,2.0,0.5,0.0944733163091868,2,0,0,1
0,2.0,0.5,0.0967655971170889,3,0,1,0
0,2.0,0.5,0.08969070953427379,4,0,0,1
0,2.0,0.5,0.09212570872651976,5,0,0,1
0,2.0,0.5,0.09447601935034984,6,0,1,0
0,2.0,0.5,0.08721985634722307,7,0,0,1
0,2.0,0.5,0.08973069468680388,8,1,1,1
0,2.0,0.5,0.09214692021828333,9,0,0,1
0,2.0,0.5,0.09447959799863918,10,1,1,1
0,2.0,0.5,0.0967383135933913,11,0,0,1
0,2.0,0.5,0.09893145558028187,12,1,1,1
0,2.0,0.5,0.10106643284018713,13,0,1,0
0,2.0,0.5,0.09448401682882096,14,1,0,0
0,2.0,0.5,0.0873403406762651,15,0,1,0
0,2.0,0.5,0.07936770313151703,16,0,1,0
0,2.0,0.5,0.07005727070794332,17,1,0,0
0,2.0,0.5,0.05714624182583402,18,0,0,1
0,2.0,0.5,0.06181273211117461,19,1,1,1
0,2.0,0.5,0.06618047231188026,20,1,1,1
0,2.0,0.5,0.07031639296250308,21,1,1,1
0,2.0,0.5,0.07363554318810735,22,0,0,1
0,2.0,0.5,0.0767158993822416,23,1,1,1
0,2.0,0.5,0.07962261041654144,24,1,1,1
0,2.0,0.5,0.08237987964332787,25,1,1,1
0,2.0,0.5,0.08500737789952159,26,1,1,1
0,2.0,0.5,0.08752138076691693,27,1,1,1
0,2.0,0.5,0.0899355631799654,28,1,1,1
0,2.0,0.5,0.09226156991157915,29,1,1,1
1,1.0,1,0.08372739969913152,0,0,0,1
1,1.0,1,0.10211350296744073,1,1,1,1
1,1.0,1,0.10421236767678017,2,1,1,1
1,1.0,1,0.10625568947141573,3,0,1,0
1,1.0,1,0.09998715029228086,4,0,0,1
1,1.0,1,0.10213167756714311,5,1,1,1
1,1.0,1,0.10421477050090645,6,1,0,0
1,1.0,1,0.09782619350790646,7,0,1,0
1,1.0,1,0.09085382957362884,8,0,0,1
1,1.0,1,0.09328654565889219,9,1,1,1
1,1.0,1,0.09562466226510496,10,0,1,0
1,1.0,1,0.08844667467824531,11,1,0,0
1,1.0,1,0.07975424744938804,12,1,1,1
1,1.0,1,0.08312679880101766,13,1,1,1
1,1.0,1,0.08596566034423835,14,0,0,1
1,1.0,1,0.08857788141163994,15,1,1,1
1,1.0,1,0.09107314748111166,16,0,0,1
1,1.0,1,0.0934650668632445,17,1,1,1
1,1.0,1,0.09576526450969813,18,1,1,1
1,1.0,1,0.09798378345721899,19,0,1,0
1,1.0,1,0.09118164574915431,20,0,0,1
1,1.0,1,0.09355361722564651,21,0,0,1
1,1.0,1,0.09583525952663761,22,0,0,1
1,1.0,1,0.09803640543357708,23,0,0,1
1,1.0,1,0.10016564506791478,24,1,0,0
1,1.0,1,0.09364168734956743,25,0,1,0
1,1.0,1,0.0864222405158955,26,1,1,1
1,1.0,1,0.08896487448148284,27,1,1,1
1,1.0,1,0.0913963269873458,28,1,1,1
1,1.0,1,0.09372927286504079,29,0,1,0
2,8.0,0.5,0.06573353011485591,0,1,1,1
2,8.0,0.5,0.08868479280781942,1,0,1,0
2,8.0,0.5,0.08070916308387648,2,1,1,1
2,8.0,0.5,0.08349419470767681,3,1,1,1
2,8.0,0.5,0.08615463510347071,4,1,1,1
2,8.0,0.5,0.08870631709678742,5,1,1,1
2,8.0,0.5,0.09116258800420758,6,0,1,0
2,8.0,0.5,0.08355749531697872,7,0,1,0
2,8.0,0.5,0.07496509635167976,8,0,1,0
2,8.0,0.5,0.06464042886649446,9,1,1,1
2,8.0,0.5,0.06849048084896027,10,0,0,1
2,8.0,0.5,0.07190686182553636,11,1,1,1
2,8.0,0.5,0.07510364102871506,12,1,1,1
2,8.0,0.5,0.07811506890393785,13,1,1,1
2,8.0,0.5,0.0809680757953825,14,1,1,1
2,8.0,0.5,0.08368433377085084,15,1,1,1
2,8.0,0.5,0.08628162650143659,16,1,1,1
2,8.0,0.5,0.08877479175406879,17,1,1,1
2,8.0,0.5,0.09117638921032857,18,0,0,1
2,8.0,0.5,0.0934971857282757,19,0,1,0
2,8.0,0.5,0.08632464304013411,20,1,1,1
2,8.0,0.5,0.08879881292580734,21,1,1,1
2,8.0,0.5,0.09118265033492018,22,0,0,1
2,8.0,0.5,0.09348672054021996,23,0,0,1
2,8.0,0.5,0.09572019233273996,24,1,1,1
2,8.0,0.5,0.09789110243553105,25,1,1,1
2,8.0,0.5,0.10000655940339438,26,0,1,0
2,8.0,0.5,0.09347723826410045,27,1,1,1
2,8.0,0.5,0.09569504641365945,28,1,1,1
2,8.0,0.5,0.0978510123190213,29,0,1,0
3,0.5,full,0.07872358323518455,0,1,1,1
3,0.5,full,0.09822244729634733,1,0,0,1
3,0.5,full,0.10041911515310196,2,1,0,0
3,0.5,full,0.0936647619517567,3,0,1,0
3,0.5,full,0.08622765459288367,4,1,1,1
3,0.5,full,0.08883133705584788,5,1,1,1
3,0.5,full,0.09132442653856694,6,0,1,0
3,0.5,full,0.083640502299489,7,0,1,0
3,0.5,full,0.07416724548446271,8,1,1,1
3,0.5,full,0.07784609581991742,9,1,1,1
3,0.5,full,0.08096184477647017,10,1,1,1
3,0.5,full,0.08378173345369577,11,1,1,1
3,0.5,full,0.08646243152250187,12,0,0,1
3,0.5,full,0.08902140103367888,13,0,0,1
3,0.5,full,0.0914732682529402,14,1,0,0
3,0.5,full,0.08392173920310826,15,0,0,1
3,0.5,full,0.08657855524529495,16,1,1,1
3,0.5,full,0.08911567180894717,17,1,0,0
3,0.5,full,0.08129290101587543,18,1,1,1
3,0.5,full,0.08406052931442104,19,1,0,0
3,0.5,full,0.07493858683159346,20,0,1,0
3,0.5,full,0.06359975579027206,21,0,0,1
3,0.5,full,0.06764594261049164,22,0,0,1
3,0.5,full,0.07149709646897077,23,1,1,1
3,0.5,full,0.07519109645524118,24,0,0,1
3,0.5,full,0.07875165556848374,25,1,1,1
3,0.5,full,0.08161742986163995,26,1,1,1
3,0.5,full,0.08433450270916198,27,0,1,0
3,0.5,full,0.07544137240419574,28,1,1,1
3,0.5,full,0.0789389096816307,29,0,1,0
4,4.0,full,0.0988261832629948,0,0,1,0
4,4.0,full,0.10665887268434107,1,0,1,0
4,4.0,full,0.10028091848722054,2,1,1,1
4,4.0,full,0.1025104907004541,3,0,0,1
4,4.0,full,0.10465935900030965,4,1,1,1
4,4.0,full,0.10673569533926805,5,0,0,1
4,4.0,full,0.10874674690365886,6,0,0,1
4,4.0,full,0.11069898828928482,7,1,0,0
4,4.0,full,0.10475275946209772,8,0,0,1
4,4.0,full,0.10681215264603842,9,0,1,0
4,4.0,full,0.10054111405564975,10,1,1,1
4,4.0,full,0.10273244593260693,11,0,1,0
4,4.0,full,0.09559917559515678,12,0,1,0
4,4.0,full,0.08741395187596006,13,1,1,1
4,4.0,full,0.09025038665631098,14,1,1,1
4,4.0,full,0.09303958894554144,15,1,1,1
4,4.0,full,0.09578972664026623,16,1,0,0
4,4.0,full,0.08766068739234127,17,0,0,1
4,4.0,full,0.09047654396976626,18,1,1,1
4,4.0,full,0.09324662885868157,19,1,1,1
4,4.0,full,0.09597888907324972,20,0,0,1
4,4.0,full,0.09868037018800961,21,1,1,1
4,4.0,full,0.10092267357911691,22,0,1,0
4,4.0,full,0.09345198682031834,23,0,1,0
4,4.0,full,0.08531953582699359,24,0,0,1
4,4.0,full,0.08814693655790637,25,0,0,1
4,4.0,full,0.0909228028280135,26,0,0,1
4,4.0,full,0.09365569009887577,27,0,0,1
4,4.0,full,0.09635312802438506,28,1,0,0
4,4.0,full,0.08838654176990984,29,1,1,1
