Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low,Observer_name,Age,Gender
0.5,0.5,0.7037937744565429,0.8021879297424904,0.587729696079824,0.0510439422890745,0.0625813144835195,0.0439598388783449,Ale_2,30,M
1.0,0.5,0.585513265150636,1.2457886982184194,0.4836966063764935,0.0612690276599249,0.0751381600588988,0.0267373441746407,Ale_2,30,M
16.0,0.5,1.8060066939011905,1.925731732922492,1.6952374728095905,0.0170454748699849,0.0183595121743281,0.0158073769490479,Ale_2,30,M
-1.0,0.5,1.985340863988457,2.216327067154769,1.6554146158212415,0.0133550709913891,0.0168768641456792,0.0115858397185766,Ale_2,30,M
0.5,2.0,1.6281601447827805,1.7407125119837614,1.400488655568052,0.0193034564538518,0.0230350866387865,0.0178437164837822,Ale_2,30,M
1.0,2.0,2.0256599596662,2.3511460556612374,1.838729988504742,0.0154932292843044,0.0172800294912557,0.0130928010663298,Ale_2,30,M
16.0,2.0,2.303142150412445,2.387499630883205,2.2166324081024054,0.0128040500882004,0.0133951271230279,0.0122721735117154,Ale_2,30,M
-1.0,2.0,3.081976946751877,3.316009591709625,2.826779031256119,0.0075590198749745,0.0084557687694826,0.0068739214680057,Ale_2,30,M
0.5,4.0,1.9011051908313032,1.9993453926541245,1.7921224341586317,0.016083517590554,0.0172424843696958,0.0151552416269504,Ale_2,30,M
1.0,4.0,1.317310623485236,1.6930528641002467,1.1224120151882486,0.0251219257286712,0.0300299980202144,0.0189620331376919,Ale_2,30,M
16.0,4.0,2.9358253370705607,3.573402391981365,2.707133485973983,0.0096127268034301,0.0105801071091269,0.0076168557284197,Ale_2,30,M
-1.0,4.0,2.321221406307813,2.465759744700037,2.148752863025397,0.0109135169894129,0.0120587444903403,0.0100930794410325,Ale_2,30,M
0.5,8.0,2.2673749370841416,2.3892830492467416,2.117292093677274,0.0130616530624682,0.0141632531741356,0.0122767043787713,Ale_2,30,M
1.0,8.0,2.890514689525917,3.0995240434330693,2.695274596651874,0.0103617601180529,0.0112167590466992,0.0095726120413986,Ale_2,30,M
16.0,8.0,3.311836329419997,3.5537974942018904,2.2526354800587693,0.008334751825539,0.0131431703682085,0.0076666858838142,Ale_2,30,M
-1.0,8.0,2.922950072456324,3.1003179059056216,2.767648432682441,0.0080967918298505,0.0086906896893961,0.0075010427881961,Ale_2,30,M
0.5,0.5,0.963859413762645,1.0751381689704007,0.6560283965646607,0.0355851791869199,0.0552821954192926,0.0313541689296462,Ali_2,29,M
1.0,0.5,1.1185071806134823,1.276448076359494,0.9270257624902708,0.0301465593725025,0.0371163790663267,0.0260217307383028,Ali_2,29,M
16.0,0.5,1.5856033010849395,1.737972787188269,1.4579055956250266,0.0198554522940641,0.0219041058877079,0.0178311891902689,Ali_2,29,M
-1.0,0.5,3.143138229674901,3.3562730052103373,2.8636380624216984,0.0073686929741438,0.0083149272992493,0.0067670293300253,Ali_2,29,M
0.5,1.0,1.3415181990623,1.69612824835296,,0.0242244854688111,,0.0183970007050997,Ali_2,29,M
1.0,1.0,1.9720077328989851,2.092988340104703,1.835177625961507,0.0159695548991623,0.0173177065358686,0.0149318879144421,Ali_2,29,M
16.0,1.0,3.0660613264698093,3.2645879966915565,2.815899512389435,0.0091315003539728,0.0100987564015461,0.0084778110873865,Ali_2,29,M
-1.0,1.0,3.687197758399973,4.700222191686069,,0.0059888181494588,,0.0043672706625263,Ali_2,29,M
0.5,2.0,1.3248556845110384,1.477645925595933,1.1907395257054083,0.0245811318210323,0.0278423198016484,0.0216319881144796,Ali_2,29,M
1.0,2.0,3.6637205485147377,3.852648837832512,3.4458818782428358,0.0079162356025193,0.0084874985904533,0.0074762533961725,Ali_2,29,M
16.0,2.0,3.357963719697348,3.557093488213392,3.0553065253460905,0.0081993039924221,0.0091695536314495,0.0076582665935538,Ali_2,29,M
-1.0,2.0,5.0795885627710105,5.372199220249383,4.77119516733801,0.0039474557389064,0.0042828876862776,0.0036697403540207,Ali_2,29,M
0.5,4.0,1.9762535409638724,2.2253239966302067,1.608817125099902,0.0153644776138348,0.0195765194085089,0.0133540897825659,Ali_2,29,M
1.0,4.0,2.162174218516368,2.4742163809344726,1.7845801524651947,0.0143934469720614,0.0178715174105053,0.0123583505447731,Ali_2,29,M
