VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0465042907041475,0.0398191466317265,0.0514899436777677,NaN
0.5,1,40,40,0.0467670725448512,0.0400999450851564,0.0753996938390952,NaN
0.5,16,40,40,0.0924775188909366,0.0897424166878069,0.095289846781599,NaN
0.5,full,40,40,0.0944962977831374,0.0866528257812577,0.0994119014137014,NaN
2,0.5,40,40,0.0806655516642907,0.0741137636364348,0.0836395859743195,NaN
2,1,40,40,0.0961893493364739,0.091875169160055,0.103015652040985,NaN
2,16,40,40,0.103347385635551,0.101596016207043,0.105007187520901,NaN
2,full,40,40,0.114978079417935,0.110767179335936,0.118622330824121,NaN
4,0.5,40,40,0.0876267965702976,0.0849478727740307,0.0899406729278066,NaN
4,1,40,40,0.0776820216323882,0.0712025471507908,0.0882687159039459,NaN
4,16,40,40,0.114827513063553,0.1109166009185,0.124643500743122,NaN
4,full,40,40,0.101516817359557,0.0980157456576325,0.104303254500289,NaN
8,0.5,40,40,0.0958329798407032,0.0926046086127707,0.0983361288291603,NaN
8,1,40,40,0.112881843930524,0.109485704503431,0.116331499376912,NaN
8,16,40,40,0.120787795210159,0.102331167437266,0.124361862402125,NaN
8,full,40,40,0.112385477706065,0.109751998484381,0.115270776735611,NaN
