Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,0.5,1,0.07896944432693347,0,0,0,1
0,0.5,1,0.09841110548927817,1,0,0,1
0,0.5,1,0.10060284200208043,2,0,1,0
0,0.5,1,0.09386446379123475,3,0,1,0
0,0.5,1,0.08644814365110354,4,1,0,0
0,0.5,1,0.07786397008635694,5,0,1,0
0,0.5,1,0.06664817394741564,6,0,1,0
0,0.5,1,0.05364088943510562,7,1,0,0
0,0.5,1,0.039999999999999994,8,0,0,1
0,0.5,1,0.0431715640840152,9,0,0,1
0,0.5,1,0.048973596846212365,10,1,0,0
0,0.5,1,0.039999999999999994,11,0,0,1
0,0.5,1,0.039999999999999994,12,1,1,1
0,0.5,1,0.04385063059318653,13,1,1,1
0,0.5,1,0.04953546484691632,14,1,1,1
0,0.5,1,0.05460643022924062,15,1,1,1
0,0.5,1,0.05924386378851136,16,1,1,1
0,0.5,1,0.06355826718827666,17,1,1,1
0,0.5,1,0.06762323136318851,18,0,0,1
0,0.5,1,0.0714907756213447,19,0,0,1
0,0.5,1,0.07519936797818007,20,0,0,1
0,0.5,1,0.07877848632568193,21,1,0,0
0,0.5,1,0.06794065922789656,22,0,0,1
0,0.5,1,0.07177294983752631,23,1,1,1
0,0.5,1,0.07545083102065653,24,1,0,0
0,0.5,1,0.06427103357591978,25,0,0,1
0,0.5,1,0.06825443825930323,26,0,0,1
0,0.5,1,0.0720522722844855,27,1,1,1
0,0.5,1,0.07570007720425902,28,0,0,1
0,0.5,1,0.07918396895494002,29,0,0,1
0,0.5,1,0.08201221733005505,30,1,0,0
0,0.5,1,0.07232880084268938,31,0,0,1
0,0.5,1,0.07594714584985987,32,1,0,0
0,0.5,1,0.0649655433185213,33,1,1,1
0,0.5,1,0.06887138262878305,34,1,1,1
0,0.5,1,0.072602591869677,35,0,0,1
0,0.5,1,0.07619207546409668,36,0,1,0
0,0.5,1,0.06530624325879453,37,1,1,1
0,0.5,1,0.06917470786570021,38,0,1,0
0,0.5,1,0.057310105215384655,39,0,0,1
1,2.0,full,0.07649999999999989,0,0,0,1
1,2.0,full,0.09652877786392279,1,1,1,1
1,2.0,full,0.09877063153226759,2,1,0,0
1,2.0,full,0.09186963465140159,3,1,1,1
1,2.0,full,0.09425011744918424,4,0,1,0
1,2.0,full,0.08691558695045738,5,0,0,1
1,2.0,full,0.08947270992999287,6,1,1,1
1,2.0,full,0.09192607978206743,7,1,1,1
1,2.0,full,0.09428779385178433,8,1,1,1
1,2.0,full,0.09656827241003492,9,0,0,1
1,2.0,full,0.09877658672297346,10,0,0,1
1,2.0,full,0.10092070942335525,11,1,1,1
1,2.0,full,0.103007708664507,12,0,0,1
1,2.0,full,0.10504390084776233,13,1,1,1
1,2.0,full,0.10703497232009718,14,0,0,1
1,2.0,full,0.10898607748623854,15,1,1,1
1,2.0,full,0.11090191875489035,16,1,1,1
1,2.0,full,0.11278681232461786,17,0,0,1
1,2.0,full,0.11464474281065701,18,1,0,0
1,2.0,full,0.10936241360372889,19,1,1,1
1,2.0,full,0.11125868650498318,20,0,0,1
1,2.0,full,0.11312519546108504,21,0,0,1
1,2.0,full,0.11496580488193178,22,0,0,1
1,2.0,full,0.11677233235139975,23,0,0,1
1,2.0,full,0.1185606632843838,24,1,1,1
1,2.0,full,0.12033387409289613,25,1,0,0
1,2.0,full,0.11524619666694597,26,1,1,1
1,2.0,full,0.11703804721279064,27,0,0,1
1,2.0,full,0.11881243651904838,28,0,0,1
1,2.0,full,0.12057236889314911,29,1,1,1
1,2.0,full,0.12232068618090161,30,1,0,0
1,2.0,full,0.11730044364608697,31,1,0,0
1,2.0,full,0.11220889974656287,32,0,0,1
1,2.0,full,0.11402590346097942,33,1,1,1
1,2.0,full,0.11581976797126413,34,1,1,1
1,2.0,full,0.11758240983128478,35,1,0,0
1,2.0,full,0.11253352326147212,36,1,0,0
1,2.0,full,0.10691292534964678,37,0,0,1
1,2.0,full,0.10878940352029495,38,0,0,1
1,2.0,full,0.11063276745790811,39,0,0,1
2,4.0,1,0.0714999999999999,0,1,1,1
2,4.0,1,0.09280816265739689,1,1,1,1
2,4.0,1,0.09515541357923211,2,0,0,1
2,4.0,1,0.09742849720273139,3,0,0,1
2,4.0,1,0.0996358656657941,4,1,1,1
2,4.0,1,0.10178498661277294,5,0,0,1
2,4.0,1,0.103882513708564,6,1,1,1
2,4.0,1,0.10593442164903372,7,0,0,1
2,4.0,1,0.1079461143829695,8,0,0,1
2,4.0,1,0.10992251283814354,9,1,1,1
2,4.0,1,0.11186812676739741,10,0,0,1
2,4.0,1,0.1137747198226048,11,0,1,0
2,4.0,1,0.10830407724477367,12,0,1,0
2,4.0,1,0.10216243184383844,13,1,1,1
2,4.0,1,0.10422169968667784,14,1,0,0
2,4.0,1,0.09787449026399667,15,1,1,1
2,4.0,1,0.10002301474860682,16,1,0,0
2,4.0,1,0.09340259143362314,17,0,0,1
2,4.0,1,0.09566565053499781,18,0,1,0
2,4.0,1,0.088689552410878,19,1,1,1
2,4.0,1,0.09109862474647994,20,0,0,1
2,4.0,1,0.09342148321377332,21,0,0,1
2,4.0,1,0.09566792977259952,22,0,0,1
2,4.0,1,0.09784652076913683,23,0,0,1
2,4.0,1,0.0999647951138649,24,1,1,1
2,4.0,1,0.10202945191799132,25,1,0,0
2,4.0,1,0.09567099333111445,26,0,1,0
2,4.0,1,0.08880051175866586,27,1,0,0
2,4.0,1,0.08118133010965813,28,0,0,1
2,4.0,1,0.08385525883094802,29,0,1,0
2,4.0,1,0.07556858698841258,30,1,1,1
2,4.0,1,0.07851247019554651,31,1,0,0
2,4.0,1,0.06894194373399457,32,0,0,1
2,4.0,1,0.07264250118837765,33,0,0,1
2,4.0,1,0.07573805734089675,34,1,1,1
2,4.0,1,0.07865448927957264,35,1,1,1
2,4.0,1,0.08141696479137779,36,0,0,1
2,4.0,1,0.08404585479081333,37,0,0,1
2,4.0,1,0.08655795418086733,38,0,0,1
2,4.0,1,0.08896732982392264,39,1,1,1
3,0.5,16,0.0879999999999999,0,0,0,1
3,0.5,16,0.1055157021759256,1,0,0,1
3,0.5,16,0.10753531799558484,2,1,0,0
3,0.5,16,0.10135110149550493,3,1,0,0
3,0.5,16,0.0946407835406869,4,1,1,1
3,0.5,16,0.09697686497712991,5,0,1,0
3,0.5,16,0.08981727951136592,6,1,1,1
3,0.5,16,0.09233501733786939,7,1,1,1
3,0.5,16,0.09474615698111889,8,1,1,1
3,0.5,16,0.09706263688145181,9,1,1,1
3,0.5,16,0.09929476500903682,10,0,0,1
3,0.5,16,0.10145153157346024,11,0,0,1
3,0.5,16,0.10354084893747728,12,1,0,0
3,0.5,16,0.09714797488398576,13,1,0,0
3,0.5,16,0.09011191564091735,14,0,0,1
3,0.5,16,0.09258488113926934,15,1,0,0
3,0.5,16,0.08449037853676619,16,0,0,1
3,0.5,16,0.08763411013612377,17,0,0,1
3,0.5,16,0.09025715211523544,18,0,0,1
3,0.5,16,0.09270826076371823,19,0,0,1
3,0.5,16,0.09505793890402751,20,1,0,0
3,0.5,16,0.08783236075102677,21,1,1,1
3,0.5,16,0.09040102116096013,22,0,0,1
3,0.5,16,0.09283061536487569,23,1,1,1
3,0.5,16,0.09516042150738996,24,1,1,1
3,0.5,16,0.097401328604589,25,0,0,1
3,0.5,16,0.09956278741644195,26,0,0,1
3,0.5,16,0.10165307824003104,27,1,1,1
3,0.5,16,0.10367951812268657,28,1,1,1
3,0.5,16,0.10564862353827828,29,0,1,0
3,0.5,16,0.09962928450814679,30,1,1,1
3,0.5,16,0.10170352091477919,31,0,0,1
3,0.5,16,0.10371476383977259,32,0,1,0
3,0.5,16,0.09756796698125259,33,1,0,0
3,0.5,16,0.09082457557733636,34,1,1,1
3,0.5,16,0.09319160614172975,35,0,1,0
3,0.5,16,0.08557227134896161,36,0,0,1
3,0.5,16,0.08851119284397987,37,1,1,1
3,0.5,16,0.09096312653760952,38,1,1,1
3,0.5,16,0.093309938568843,39,1,0,0
4,8.0,full,0.09269540942851641,0,1,0,0
4,8.0,full,0.1010983635977861,1,0,0,1
4,8.0,full,0.10325717522058417,2,0,0,1
4,8.0,full,0.10534697315962856,3,1,1,1
4,8.0,full,0.10737485571467062,4,1,1,1
4,8.0,full,0.10934717195058377,5,1,1,1
4,8.0,full,0.11126964016626978,6,1,1,1
4,8.0,full,0.11314744383533042,7,0,0,1
4,8.0,full,0.11498531010333153,8,1,1,1
4,8.0,full,0.11678757462176935,9,1,1,1
4,8.0,full,0.11855823556630095,10,0,0,1
4,8.0,full,0.12030099901043353,11,0,0,1
4,8.0,full,0.12201931732868929,12,0,0,1
4,8.0,full,0.12371642193325429,13,1,0,0
4,8.0,full,0.11850848061616519,14,1,0,0
4,8.0,full,0.1131266118657027,15,1,1,1
4,8.0,full,0.11493798276844332,16,1,0,0
4,8.0,full,0.1094004539374343,17,0,0,1
4,8.0,full,0.11128050589851947,18,0,0,1
4,8.0,full,0.11311747402005803,19,1,0,0
4,8.0,full,0.10750544801955186,20,0,0,1
4,8.0,full,0.1094191497699471,21,1,1,1
4,8.0,full,0.11128543553226355,22,0,0,1
4,8.0,full,0.1131091475742656,23,0,0,1
4,8.0,full,0.11489471225968778,24,1,1,1
4,8.0,full,0.11664619787009053,25,1,1,1
4,8.0,full,0.1183673629924371,26,1,0,0
4,8.0,full,0.11310160349605815,27,1,0,0
4,8.0,full,0.10757225813834137,28,0,0,1
4,8.0,full,0.109457809844987,29,1,0,0
4,8.0,full,0.10370461666349408,30,0,0,1
4,8.0,full,0.10568347013304005,31,0,0,1
4,8.0,full,0.10760597945082079,32,1,1,1
4,8.0,full,0.10947773262621233,33,1,1,1
4,8.0,full,0.11130378806721782,34,1,1,1
4,8.0,full,0.11308875188989655,35,0,1,0
4,8.0,full,0.10763989005871231,36,1,1,1
4,8.0,full,0.10949802439248486,37,1,1,1
4,8.0,full,0.1113110146517125,38,1,1,1
4,8.0,full,0.11308339172518134,39,0,0,1
5,2.0,1,0.0511462667830735,0,1,1,1
5,2.0,1,0.0792365769934542,1,1,1,1
5,2.0,1,0.08205694032631806,2,1,1,1
5,2.0,1,0.08475764110524375,3,0,0,1
5,2.0,1,0.08735438612208107,4,0,0,1
5,2.0,1,0.08986040714043736,5,0,0,1
5,2.0,1,0.09228700329758109,6,1,1,1
5,2.0,1,0.0946439403347906,7,1,1,1
5,2.0,1,0.0969397504421969,8,0,0,1
5,2.0,1,0.09918196150178028,9,0,0,1
5,2.0,1,0.10137727514652944,10,0,0,1
5,2.0,1,0.1035178250026796,11,1,0,0
5,2.0,1,0.09734680670506583,12,0,0,1
5,2.0,1,0.0995648039948683,13,1,1,1
5,2.0,1,0.10173763276986267,14,0,0,1
5,2.0,1,0.10385739028839447,15,0,1,0
5,2.0,1,0.09774730809536682,16,1,1,1
5,2.0,1,0.09994172120768079,17,0,0,1
5,2.0,1,0.10209262754755087,18,1,1,1
5,2.0,1,0.10419209414116659,19,0,1,0
5,2.0,1,0.0981414356606582,20,1,0,0
5,2.0,1,0.09125320416334606,21,0,0,1
5,2.0,1,0.09357374639855548,22,1,1,1
5,2.0,1,0.09583276776015867,23,1,1,1
5,2.0,1,0.09803769195243094,24,0,0,1
5,2.0,1,0.10019512241528138,25,1,1,1
5,2.0,1,0.10231098129356755,26,0,0,1
5,2.0,1,0.10437729231385348,27,1,1,1
5,2.0,1,0.10641322365315088,28,0,1,0
5,2.0,1,0.10054556183495363,29,1,1,1
5,2.0,1,0.10264133655464512,30,1,1,1
5,2.0,1,0.10468901633491,31,1,0,0
5,2.0,1,0.0987907327498046,32,1,0,0
5,2.0,1,0.09209686276715243,33,1,1,1
5,2.0,1,0.09434796804175234,34,1,1,1
5,2.0,1,0.09654245966081323,35,1,0,0
5,2.0,1,0.08973757917303973,36,1,1,1
5,2.0,1,0.09203765595880799,37,1,1,1
5,2.0,1,0.09427414612186169,38,1,0,0
5,2.0,1,0.08733873592341007,39,1,1,1
