VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,30,30,0.0586841948650148,0.0438729000913364,0.0630821683524515,NaN
0.5,1,30,30,0.0710637549877856,0.0637200479171429,0.0763905855366819,NaN
0.5,16,30,30,0.0868932230626816,0.0833711158492876,0.0908137974574199,NaN
0.5,full,30,30,0.115949271904044,0.11139211966121,0.119230425094291,NaN
1,0.5,30,30,0.0722792629951973,NaN,0.0824801677606879,NaN
1,1,30,30,0.0949839491464593,0.091789934522653,0.0976674649932064,NaN
1,16,30,30,0.116953269154343,0.112806478339837,0.120067479703773,NaN
1,full,30,30,0.124040588204565,NaN,0.137097331804993,NaN
2,0.5,30,30,0.0717492444630189,0.0672762149470576,0.076423182129514,NaN
2,1,30,30,0.124850188512797,0.12168435845386,0.127485988761998,NaN
2,16,30,30,0.121483707773556,0.116780315130847,0.124409291480584,NaN
2,full,30,30,0.141486558688234,0.13793622129278,0.144724123596021,NaN
4,0.5,30,30,0.0894048906290862,0.080138212172469,0.0949455060802568,NaN
4,1,30,30,0.0991485206694423,0.0905616729039006,0.105407713734283,NaN
4,16,30,30,0.13725300576593,NaN,0.139970341491762,NaN
4,full,30,30,0.1387197363812,0.133845939091249,0.140999481144422,NaN
8,0.5,30,30,0.102124924445691,0.0967874931397089,0.104766794030692,NaN
8,1,30,30,0.102915749505428,0.0975821235741071,0.107557757504241,NaN
8,16,30,30,0.153390318476234,0.149882925036597,0.155927938089931,NaN
8,full,30,30,0.145729698411685,0.140736984649716,0.148518475669472,NaN
