Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
6,0.5,0.5,0.0521077155186423,0,1,1,1
6,0.5,0.5,0.0798090952748661,1,0,1,0
6,0.5,0.5,0.0706121175636561,2,0,1,0
6,0.5,0.5,0.059578909186457,3,0,0,1
6,0.5,0.5,0.0635893005518998,4,1,1,1
6,0.5,0.5,0.0672807014637722,5,1,1,1
6,0.5,0.5,0.0707137065678407,6,1,1,1
6,0.5,0.5,0.0739329136228876,7,0,1,0
6,0.5,0.5,0.0637589527836617,8,1,1,1
6,0.5,0.5,0.0674136226063876,9,0,1,0
6,0.5,0.5,0.0556941414893972,10,0,0,1
6,0.5,0.5,0.0600033206206032,11,1,1,1
6,0.5,0.5,0.0639271294847631,12,1,0,0
6,0.5,0.5,0.0510380519435795,13,0,0,1
6,0.5,0.5,0.0559543476846758,14,1,1,1
6,0.5,0.5,0.0602120791223409,15,0,1,0
6,0.5,0.5,0.0451268206505965,16,0,0,1
6,0.5,0.5,0.0514177559219456,17,0,0,1
6,0.5,0.5,0.0562111735947707,18,0,0,1
6,0.5,0.5,0.0604185816477612,19,0,0,1
6,0.5,0.5,0.0642590932285656,20,1,1,1
6,0.5,0.5,0.0678072988045735,21,1,1,1
6,0.5,0.5,0.071116577285848,22,1,1,1
6,0.5,0.5,0.0742267618644228,23,0,0,1
6,0.5,0.5,0.0771685728674181,24,1,1,1
6,0.5,0.5,0.0799663428154761,25,0,0,1
6,0.5,0.5,0.0826397752427592,26,1,0,0
6,0.5,0.5,0.0743002487613361,27,0,1,0
6,0.5,0.5,0.0645852703915677,28,1,0,0
6,0.5,0.5,0.0524601621169402,29,1,1,1
6,0.5,0.5,0.0569620296359697,30,0,0,1
6,0.5,0.5,0.0610248648589315,31,1,1,1
6,0.5,0.5,0.0647462153953499,32,0,0,1
6,0.5,0.5,0.0681932552341913,33,1,1,1
6,0.5,0.5,0.0714146611200425,34,1,1,1
6,0.5,0.5,0.0744471107511827,35,0,0,1
6,0.5,0.5,0.0773191099597053,36,0,1,0
6,0.5,0.5,0.0683201794032933,37,1,0,0
6,0.5,0.5,0.0574468793664919,38,1,1,1
6,0.5,0.5,0.0614183395091394,39,1,0,0
0,0.5,1,0.0642286763228062,0,1,1,1
0,0.5,1,0.0876412826783906,1,0,0,1
0,0.5,1,0.0901505847000404,2,0,0,1
0,0.5,1,0.0925716642918086,3,1,1,1
0,0.5,1,0.0949150268047924,4,0,1,0
0,0.5,1,0.0876631147859686,5,1,1,1
0,0.5,1,0.0901534440057117,6,0,0,1
0,0.5,1,0.0925567014486725,7,1,1,1
0,0.5,1,0.0948832015132028,8,1,1,1
0,0.5,1,0.0971419229040079,9,1,1,1
0,0.5,1,0.099340758952597,10,1,1,1
0,0.5,1,0.1014867113555788,11,1,1,1
0,0.5,1,0.103586042312758,12,0,1,0
0,0.5,1,0.097095598276013,13,1,1,1
0,0.5,1,0.0992792336949021,14,1,1,1
0,0.5,1,0.1014105364234213,15,0,0,1
0,0.5,1,0.1034956740444988,16,1,1,1
0,0.5,1,0.1055402079734388,17,0,0,1
0,0.5,1,0.1075491885323766,18,0,1,0
0,0.5,1,0.1018207098667444,19,0,1,0
0,0.5,1,0.0953106794842714,20,0,1,0
0,0.5,1,0.0883174610598311,21,1,1,1
0,0.5,1,0.0907157474318572,22,1,1,1
0,0.5,1,0.0930336183327282,23,1,1,1
0,0.5,1,0.0952803785373699,24,1,0,0
0,0.5,1,0.0883381550373323,25,0,1,0
