Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,0.5,0.5,0.0513405559042556,0,0,0,1
0,0.5,0.5,0.0793516371821421,1,1,1,1
0,0.5,0.5,0.082167278433155,2,1,1,1
0,0.5,0.5,0.0848637797012692,3,0,1,0
0,0.5,0.5,0.0764460135869514,4,0,1,0
0,0.5,0.5,0.0667183182855649,5,0,0,1
0,0.5,0.5,0.0701842030274751,6,0,1,0
0,0.5,0.5,0.0591433718332319,7,1,0,0
0,0.5,0.5,0.0432340868649999,8,1,1,1
0,0.5,0.5,0.0498591578410513,9,1,1,1
0,0.5,0.5,0.0549867387480651,10,1,0,0
0,0.5,0.5,0.0399999999999999,11,0,0,1
0,0.5,0.5,0.0437275720895124,12,0,0,1
0,0.5,0.5,0.050251228407377,13,1,1,1
0,0.5,0.5,0.0552509461296503,14,0,0,1
0,0.5,0.5,0.0595686663793049,15,0,1,0
0,0.5,0.5,0.0442120671028184,16,1,0,0
0,0.5,0.5,0.0399999999999999,17,1,1,1
0,0.5,0.5,0.0399999999999999,18,0,1,0
0,0.5,0.5,0.0399999999999999,19,0,0,1
0,0.5,0.5,0.0399999999999999,20,0,0,1
0,0.5,0.5,0.0399999999999999,21,1,0,0
0,0.5,0.5,0.0399999999999999,22,0,1,0
0,0.5,0.5,0.0399999999999999,23,1,0,0
0,0.5,0.5,0.0399999999999999,24,0,1,0
0,0.5,0.5,0.0399999999999999,25,1,1,1
0,0.5,0.5,0.0399999999999999,26,0,0,1
0,0.5,0.5,0.0399999999999999,27,1,1,1
0,0.5,0.5,0.0399999999999999,28,0,0,1
0,0.5,0.5,0.0399999999999999,29,1,1,1
0,0.5,0.5,0.0399999999999999,30,1,1,1
0,0.5,0.5,0.0399999999999999,31,0,0,1
0,0.5,0.5,0.0399999999999999,32,1,1,1
0,0.5,0.5,0.0399999999999999,33,1,1,1
0,0.5,0.5,0.0399999999999999,34,1,1,1
0,0.5,0.5,0.0399999999999999,35,0,0,1
0,0.5,0.5,0.0399999999999999,36,1,1,1
0,0.5,0.5,0.0399999999999999,37,1,1,1
0,0.5,0.5,0.0399999999999999,38,0,0,1
0,0.5,0.5,0.0401510349473541,39,1,1,1
4,0.5,1,0.0765,0,1,1,1
4,0.5,1,0.0965287778639229,1,1,1,1
4,0.5,1,0.0987706315322677,2,1,0,0
4,0.5,1,0.0918696346514017,3,0,0,1
4,0.5,1,0.0942501174491843,4,0,1,0
4,0.5,1,0.0869155869504575,5,1,0,0
4,0.5,1,0.0786405171400799,6,1,1,1
4,0.5,1,0.0815773314932428,7,1,1,1
4,0.5,1,0.0843616465113343,8,1,1,1
4,0.5,1,0.0870133932641877,9,0,0,1
4,0.5,1,0.0895490847708679,10,0,0,1
4,0.5,1,0.0919826114792887,11,1,1,1
4,0.5,1,0.0943258135340391,12,0,0,1
4,0.5,1,0.0965889021046559,13,1,1,1
4,0.5,1,0.0987807759054092,14,0,1,0
4,0.5,1,0.0920392108180963,15,0,1,0
4,0.5,1,0.0846013094109173,16,0,0,1
4,0.5,1,0.0872074313389669,17,1,0,0
4,0.5,1,0.0791559269034411,18,0,1,0
4,0.5,1,0.0686948435838547,19,1,1,1
4,0.5,1,0.0725748238035437,20,1,1,1
4,0.5,1,0.0763016004065325,21,1,1,1
4,0.5,1,0.0793242820703302,22,1,1,1
4,0.5,1,0.0821517796688825,23,1,1,1
4,0.5,1,0.0848374723108823,24,0,0,1
4,0.5,1,0.0873993314191342,25,1,1,1
4,0.5,1,0.0898523554913248,26,1,0,0
4,0.5,1,0.0822922479282903,27,1,1,1
4,0.5,1,0.0849542467660881,28,0,0,1
4,0.5,1,0.0874944676045595,29,1,0,0
4,0.5,1,0.0796559499567102,30,0,0,1
4,0.5,1,0.0824314806461118,31,1,0,0
4,0.5,1,0.0733547942814527,32,0,0,1
4,0.5,1,0.0769144684360138,33,0,0,1
4,0.5,1,0.0798193053406998,34,1,0,0
4,0.5,1,0.0698602000861449,35,0,0,1
4,0.5,1,0.0736101081236322,36,0,0,1
4,0.5,1,0.0771039880592293,37,0,1,0
4,0.5,1,0.0662606982631477,38,1,0,0
4,0.5,1,0.0536070530237361,39,0,1,0
6,0.5,16,0.0946270617742926,0,1,1,1
6,0.5,16,0.1109209335512461,1,1,0,0
6,0.5,16,0.1049586325791307,2,1,1,1
6,0.5,16,0.1070087050317483,3,0,1,0
6,0.5,16,0.1007518259893257,4,0,1,0
6,0.5,16,0.0937397625071861,5,0,0,1
6,0.5,16,0.0962956982268457,6,1,1,1
6,0.5,16,0.0986169640539338,7,0,0,1
6,0.5,16,0.1008495854761312,8,0,1,0
6,0.5,16,0.0939250040190639,9,1,1,1
6,0.5,16,0.09643186656269,10,1,1,1
6,0.5,16,0.0987329010593752,11,1,1,1
6,0.5,16,0.1009466906460368,12,1,1,1
6,0.5,16,0.1030822969092712,13,0,1,0
6,0.5,16,0.0965667864610941,14,0,1,0
6,0.5,16,0.0885079146769064,15,1,0,0
6,0.5,16,0.0796883454928719,16,0,0,1
6,0.5,16,0.0827721420212596,17,1,1,1
6,0.5,16,0.0857811971189573,18,0,1,0
6,0.5,16,0.0768297183543312,19,1,1,1
6,0.5,16,0.0799750194173709,20,0,0,1
6,0.5,16,0.0830338118217317,21,1,1,1
6,0.5,16,0.0860200806835488,22,0,0,1
6,0.5,16,0.0889456441644826,23,0,0,1
6,0.5,16,0.091820637177406,24,0,1,0
6,0.5,16,0.083292821497383,25,1,1,1
6,0.5,16,0.0862567519273617,26,1,1,1
6,0.5,16,0.0891617614822182,27,1,1,1
6,0.5,16,0.0920176970358165,28,0,0,1
6,0.5,16,0.0947998211090077,29,1,1,1
6,0.5,16,0.0970942377874689,30,1,1,1
6,0.5,16,0.0992986721805161,31,1,0,0
6,0.5,16,0.0922133037517984,32,0,0,1
6,0.5,16,0.0949485700144689,33,0,0,1
6,0.5,16,0.0972231077041782,34,1,1,1
6,0.5,16,0.0994090880677692,35,0,1,0
6,0.5,16,0.0924074790789108,36,1,1,1
6,0.5,16,0.0950958403917881,37,0,0,1
6,0.5,16,0.0973508060892777,38,1,1,1
6,0.5,16,0.0995186067964711,39,1,1,1
12,0.5,full,0.0864999999999999,0,1,1,1
12,0.5,full,0.1043134167532537,1,0,0,1
12,0.5,full,0.1063604096082325,2,1,0,0
12,0.5,full,0.1000884816801203,3,0,0,1
12,0.5,full,0.1022419742007442,4,0,1,0
12,0.5,full,0.0956445690660975,5,1,1,1
12,0.5,full,0.0979317155532181,6,1,1,1
12,0.5,full,0.1001394147013803,7,0,1,0
12,0.5,full,0.0933755292875754,8,1,1,1
12,0.5,full,0.0957317752591906,9,1,1,1
12,0.5,full,0.0980002503378237,10,1,1,1
12,0.5,full,0.1001904322912531,11,1,1,1
12,0.5,full,0.1023106321630493,12,1,1,1
12,0.5,full,0.1043682009141765,13,1,1,1
12,0.5,full,0.1063696917165679,14,1,1,1
12,0.5,full,0.1083209890857555,15,1,0,0
12,0.5,full,0.1023454107458602,16,1,1,1
12,0.5,full,0.1043875012863314,17,1,1,1
12,0.5,full,0.1063742242523015,18,1,1,1
12,0.5,full,0.1083113625833633,19,0,1,0
12,0.5,full,0.1023804613950876,20,1,1,1
12,0.5,full,0.1044072793930279,21,0,1,0
12,0.5,full,0.0982047507025654,22,1,1,1
12,0.5,full,0.1003438262737044,23,1,1,1
12,0.5,full,0.1024157645663264,24,0,1,0
12,0.5,full,0.0960761028439627,25,0,1,0
12,0.5,full,0.0890948766287426,26,1,0,0
12,0.5,full,0.0803629907175836,27,1,1,1
12,0.5,full,0.0835828455935359,28,0,0,1
12,0.5,full,0.0866923698230696,29,0,1,0
12,0.5,full,0.0773233259457251,30,1,0,0
12,0.5,full,0.067127283921379,31,1,1,1
12,0.5,full,0.0707529665137638,32,0,1,0
12,0.5,full,0.0597373080693281,33,0,1,0
12,0.5,full,0.0464210072400669,34,0,1,0
12,0.5,full,0.0399999999999999,35,0,1,0
12,0.5,full,0.0399999999999999,36,1,0,0
12,0.5,full,0.0399999999999999,37,1,1,1
12,0.5,full,0.0399999999999999,38,1,1,1
12,0.5,full,0.0399999999999999,39,0,1,0
4,2.0,0.5,0.047233264,0,0,0,1
4,2.0,0.5,0.076990039,1,0,1,0
4,2.0,0.5,0.067324383,2,1,1,1
4,2.0,0.5,0.070753129,3,1,1,1
4,2.0,0.5,0.073972389,4,0,0,1
