VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0433391575677283,NaN,0.0578840239033042,NaN
0.5,1,40,40,NaN,NaN,NaN,NaN
0.5,16,40,40,0.0977794210396696,0.0825651839696219,0.100309878617802,NaN
0.5,full,40,40,NaN,NaN,NaN,NaN
2,0.5,40,40,0.0794631724776614,0.0755635991496332,0.0821063224789201,NaN
2,1,40,40,0.0727509665799786,NaN,0.0925132120687175,NaN
2,16,40,40,0.107900461489085,0.103034340018601,0.110777811317264,NaN
2,full,40,40,0.104389426976033,0.102038060703601,0.106870108172411,NaN
4,0.5,40,40,0.0385730563813004,NaN,0.0434777085476656,NaN
4,1,40,40,NaN,NaN,NaN,NaN
4,16,40,40,0.120431806364797,NaN,0.123147290617826,NaN
4,full,40,40,0.10717118031157,0.102362451527211,0.120464283997206,NaN
8,0.5,40,40,0.0845330444911339,0.0718909221139755,0.0901040450373472,NaN
8,1,40,40,0.10916588608185,0.10606455160796,0.11274285517276,NaN
8,16,40,40,0.128549818198674,0.12362033814232,0.133829933108267,NaN
8,full,40,40,0.159746262510063,0.155284221902302,0.166125669530368,NaN
