Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.6466757530640423,0.9446603532469645,,0.05618796835694326,,0.03642215138443756
16.0,0.5,2.0367967118850228,2.1547136418287964,1.4298674154831212,0.014798528401415779,0.022406581650313617,0.01384977946953822
0.5,2.0,1.584322060927731,1.6819458209277844,1.4485419172485008,0.01993261772761608,0.02214241634814636,0.018579635359795624
1.0,2.0,1.1667263838229975,1.8654929432722394,,0.028763937530841277,,0.01700103254785391
16.0,2.0,2.5401759240780435,2.6992730442955817,2.28749179104924,0.011406379721113474,0.012907400637200797,0.010616526461760607
-1.0,2.0,2.4703343533593913,2.604757518436412,2.347763464631158,0.010068894562336051,0.01075421087530751,0.00940128094913444
0.5,4.0,0.5679672274043716,0.6490928417628814,,0.06502995212508439,,0.05595129872648594
16.0,4.0,3.288422651533585,3.4701566951567564,,0.008405085519505095,,0.007886169777278011
-1.0,4.0,2.621434125875824,3.439046633742147,2.36439624625484,0.009323887780650675,0.010656455574299955,0.006556255411781584
0.5,8.0,1.7756941335211203,2.0064282402310867,1.3292933792720572,0.017430530876345805,0.02448521207638861,0.015092106630945882
1.0,8.0,2.6774160411332466,2.8823214323715787,2.5088551427345545,0.011301577728107247,0.012165371451517587,0.010395173334304916
16.0,8.0,3.8535776364754932,4.257275285711756,3.5025584279227435,0.006964750126830661,0.007799790185586139,0.006188217990613777
-1.0,8.0,6.8736431375604035,7.5830444126135195,6.4028773287658005,0.0026615020664284656,0.0029194484466109,0.0023414922570683372
