Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8.0,0.5,0.075,0,1,1,1
0,8.0,0.5,0.095399448,1,1,1,1
0,8.0,0.5,0.097672375,2,0,0,1
0,8.0,0.5,0.099877071,3,1,0,0
0,8.0,0.5,0.093087498,4,1,0,0
0,8.0,0.5,0.085632384,5,0,0,1
0,8.0,0.5,0.088234077,6,0,0,1
0,8.0,0.5,0.090727593,7,1,0,0
0,8.0,0.5,0.083030874,8,0,0,1
0,8.0,0.5,0.08573195,9,1,1,1
0,8.0,0.5,0.088311739,10,0,0,1
0,8.0,0.5,0.090785021,11,0,0,1
0,8.0,0.5,0.093164329,12,0,0,1
0,8.0,0.5,0.095460427,13,0,1,0
0,8.0,0.5,0.088389185,14,0,1,0
0,8.0,0.5,0.080486605,15,1,0,0
0,8.0,0.5,0.070702562,16,1,1,1
0,8.0,0.5,0.074556273,17,1,0,0
0,8.0,0.5,0.062778161,18,1,1,1
0,8.0,0.5,0.066982557,19,1,1,1
0,8.0,0.5,0.070974587,20,1,1,1
0,8.0,0.5,0.074796815,21,1,1,1
0,8.0,0.5,0.07788946,22,1,1,1
0,8.0,0.5,0.080777139,23,0,0,1
0,8.0,0.5,0.083515808,24,0,0,1
0,8.0,0.5,0.086124786,25,1,1,1
0,8.0,0.5,0.088620097,26,1,1,1
0,8.0,0.5,0.091015232,27,1,0,0
0,8.0,0.5,0.0836348,28,1,1,1
0,8.0,0.5,0.086221612,29,0,0,1
0,8.0,0.5,0.088696556,30,0,0,1
0,8.0,0.5,0.091072825,31,1,1,1
0,8.0,0.5,0.093361688,32,1,0,0
0,8.0,0.5,0.086317876,33,1,0,0
0,8.0,0.5,0.078395369,34,1,1,1
0,8.0,0.5,0.081203344,35,0,0,1
0,8.0,0.5,0.083870115,36,1,0,0
0,8.0,0.5,0.075618383,37,0,0,1
0,8.0,0.5,0.078560623,38,0,0,1
0,8.0,0.5,0.081342901,39,1,1,1
1,8.0,full,0.109,0,0,0,1
1,8.0,full,0.123085969,1,1,1,1
1,8.0,full,0.124770233,2,1,0,0
1,8.0,full,0.119648424,3,0,0,1
1,8.0,full,0.121393869,4,0,0,1
1,8.0,full,0.123100494,5,0,0,1
1,8.0,full,0.124772168,6,1,1,1
1,8.0,full,0.126412479,7,1,1,1
1,8.0,full,0.128024767,8,0,0,1
1,8.0,full,0.12961216,9,1,1,1
1,8.0,full,0.131177594,10,1,1,1
1,8.0,full,0.132723842,11,0,0,1
1,8.0,full,0.134253528,12,0,0,1
1,8.0,full,0.135769149,13,1,1,1
1,8.0,full,0.137273088,14,1,0,0
1,8.0,full,0.13302251,15,1,1,1
1,8.0,full,0.134538599,16,1,1,1
1,8.0,full,0.13604126,17,1,0,0
1,8.0,full,0.131445101,18,1,1,1
1,8.0,full,0.1329661,19,1,1,1
1,8.0,full,0.13447136,20,0,0,1
1,8.0,full,0.135963281,21,1,1,1
1,8.0,full,0.13744416,22,0,0,1
1,8.0,full,0.138906638,23,0,0,1
1,8.0,full,0.1403629,24,1,1,1
1,8.0,full,0.141814948,25,1,1,1
1,8.0,full,0.143264723,26,0,0,1
1,8.0,full,0.144714117,27,1,1,1
1,8.0,full,0.146164977,28,0,0,1
1,8.0,full,0.147619112,29,0,0,1
1,8.0,full,0.149078303,30,1,1,1
1,8.0,full,0.150544303,31,1,1,1
1,8.0,full,0.152018844,32,0,0,1
1,8.0,full,0.153503647,33,0,0,1
1,8.0,full,0.155000418,34,1,1,1
1,8.0,full,0.156510861,35,0,0,1
1,8.0,full,0.158036675,36,0,0,1
1,8.0,full,0.159569567,37,0,0,1
1,8.0,full,0.160860491,38,1,0,0
1,8.0,full,0.156622739,39,1,1,1
2,2.0,16,0.0825,0,0,0,1
2,2.0,16,0.101149318,1,1,1,1
2,2.0,16,0.103271674,2,0,0,1
2,2.0,16,0.105336872,3,0,0,1
2,2.0,16,0.107351123,4,1,0,0
2,2.0,16,0.101167701,5,1,1,1
2,2.0,16,0.103274103,6,0,0,1
2,2.0,16,0.105324058,7,0,0,1
2,2.0,16,0.10732367,8,0,0,1
2,2.0,16,0.109278451,9,0,1,0
2,2.0,16,0.103277319,10,0,0,1
2,2.0,16,0.105312231,11,0,0,1
2,2.0,16,0.107297395,12,0,0,1
2,2.0,16,0.109238232,13,0,0,1
2,2.0,16,0.111139671,14,0,0,1
2,2.0,16,0.113006219,15,1,1,1
2,2.0,16,0.114842025,16,0,0,1
2,2.0,16,0.116650925,17,1,0,0
2,2.0,16,0.111087426,18,1,1,1
2,2.0,16,0.112940981,19,0,0,1
2,2.0,16,0.114764083,20,1,1,1
2,2.0,16,0.116560514,21,1,0,0
2,2.0,16,0.111036628,22,0,1,0
2,2.0,16,0.105282322,23,0,0,1
2,2.0,16,0.107225249,24,0,0,1
2,2.0,16,0.10912532,25,0,0,1
2,2.0,16,0.110987236,26,1,0,0
2,2.0,16,0.1052741,27,1,1,1
2,2.0,16,0.107203306,28,0,0,1
2,2.0,16,0.109090132,29,0,0,1
2,2.0,16,0.110939206,30,1,1,1
2,2.0,16,0.11275477,31,1,0,0
2,2.0,16,0.107182358,32,1,1,1
2,2.0,16,0.109056106,33,0,0,1
2,2.0,16,0.1108925,34,1,0,0
2,2.0,16,0.105260093,35,1,0,0
2,2.0,16,0.099290124,36,1,1,1
2,2.0,16,0.10133328,37,1,1,1
2,2.0,16,0.103319349,38,1,0,0
2,2.0,16,0.09723655,39,0,1,0
3,8.0,16,0.098584066,0,0,0,1
3,8.0,16,0.114214572,1,0,0,1
3,8.0,16,0.116054357,2,0,0,1
3,8.0,16,0.117854491,3,1,1,1
3,8.0,16,0.119619176,4,0,0,1
3,8.0,16,0.121352296,5,1,1,1
3,8.0,16,0.123057455,6,1,1,1
3,8.0,16,0.124738021,7,0,0,1
3,8.0,16,0.126397145,8,0,0,1
3,8.0,16,0.128037798,9,0,0,1
3,8.0,16,0.129662788,10,0,1,0
3,8.0,16,0.125061186,11,0,0,1
3,8.0,16,0.126704862,12,1,1,1
3,8.0,16,0.128330847,13,1,1,1
3,8.0,16,0.129941881,14,0,0,1
3,8.0,16,0.13153024,15,1,1,1
3,8.0,16,0.13310932,16,0,0,1
3,8.0,16,0.134681446,17,0,1,0
3,8.0,16,0.130185641,18,1,1,1
3,8.0,16,0.131762002,19,1,1,1
3,8.0,16,0.133329582,20,1,1,1
3,8.0,16,0.134890661,21,0,0,1
3,8.0,16,0.136447436,22,0,0,1
3,8.0,16,0.138002034,23,1,1,1
3,8.0,16,0.139556518,24,1,1,1
3,8.0,16,0.141112899,25,0,0,1
3,8.0,16,0.142673142,26,0,0,1
3,8.0,16,0.144239176,27,0,0,1
3,8.0,16,0.145812896,28,0,1,0
3,8.0,16,0.141280032,29,1,1,1
3,8.0,16,0.142831072,30,1,0,0
3,8.0,16,0.138372812,31,1,1,1
3,8.0,16,0.139907959,32,1,1,1
3,8.0,16,0.141445578,33,0,0,1
3,8.0,16,0.142987572,34,1,1,1
3,8.0,16,0.144535811,35,1,0,0
3,8.0,16,0.140081082,36,0,1,0
3,8.0,16,0.135704544,37,1,0,0
3,8.0,16,0.13136064,38,0,1,0
3,8.0,16,0.127002275,39,0,1,0
4,2.0,0.5,0.047233264,0,0,0,1
4,2.0,0.5,0.076990039,1,0,1,0
4,2.0,0.5,0.067324383,2,1,1,1
4,2.0,0.5,0.070753129,3,1,1,1
4,2.0,0.5,0.073972389,4,0,0,1
4,2.0,0.5,0.077015543,5,0,0,1
4,2.0,0.5,0.079908836,6,0,0,1
4,2.0,0.5,0.082673394,7,1,0,0
4,2.0,0.5,0.074022768,8,0,0,1
4,2.0,0.5,0.07704184,9,0,0,1
4,2.0,0.5,0.079913211,10,1,1,1
4,2.0,0.5,0.082657579,11,1,1,1
4,2.0,0.5,0.08529196,12,0,0,1
4,2.0,0.5,0.087830579,13,0,1,0
4,2.0,0.5,0.079918613,14,1,0,0
4,2.0,0.5,0.070984924,15,1,1,1
4,2.0,0.5,0.07412482,16,1,1,1
4,2.0,0.5,0.077096659,17,0,0,1
4,2.0,0.5,0.079925001,18,0,0,1
4,2.0,0.5,0.082629714,19,0,1,0
4,2.0,0.5,0.074176429,20,0,0,1
4,2.0,0.5,0.077125109,21,1,1,1
4,2.0,0.5,0.079932334,22,0,0,1
4,2.0,0.5,0.082617576,23,1,1,1
4,2.0,0.5,0.085196911,24,0,0,1
4,2.0,0.5,0.087683829,25,1,1,1
4,2.0,0.5,0.090089803,26,1,0,0
4,2.0,0.5,0.082606577,27,1,1,1
4,2.0,0.5,0.085167992,28,0,1,0
4,2.0,0.5,0.077183916,29,0,0,1
4,2.0,0.5,0.079949685,30,1,1,1
4,2.0,0.5,0.082596678,31,1,0,0
4,2.0,0.5,0.074333246,32,0,0,1
4,2.0,0.5,0.07721421,33,1,0,0
4,2.0,0.5,0.068173551,34,0,0,1
4,2.0,0.5,0.071371449,35,0,0,1
4,2.0,0.5,0.074386093,36,0,0,1
4,2.0,0.5,0.077245058,37,0,0,1
4,2.0,0.5,0.079970377,38,1,1,1
4,2.0,0.5,0.082580023,39,1,0,0
0,0.5,0.5,0.0513405559042556,0,0,0,1
0,0.5,0.5,0.0793516371821421,1,1,1,1
0,0.5,0.5,0.082167278433155,2,1,1,1
0,0.5,0.5,0.0848637797012692,3,0,1,0
0,0.5,0.5,0.0764460135869514,4,0,1,0
0,0.5,0.5,0.0667183182855649,5,0,0,1
0,0.5,0.5,0.0701842030274751,6,0,1,0
0,0.5,0.5,0.0591433718332319,7,1,0,0
0,0.5,0.5,0.0432340868649999,8,1,1,1
0,0.5,0.5,0.0498591578410513,9,1,1,1
0,0.5,0.5,0.0549867387480651,10,1,0,0
0,0.5,0.5,0.0399999999999999,11,0,0,1
0,0.5,0.5,0.0437275720895124,12,0,0,1
0,0.5,0.5,0.050251228407377,13,1,1,1
0,0.5,0.5,0.0552509461296503,14,0,0,1
0,0.5,0.5,0.0595686663793049,15,0,1,0
0,0.5,0.5,0.0442120671028184,16,1,0,0
0,0.5,0.5,0.0399999999999999,17,1,1,1
0,0.5,0.5,0.0399999999999999,18,0,1,0
0,0.5,0.5,0.0399999999999999,19,0,0,1
