Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,2,16,0.085,0,0,0,1
0,2,16,0.103119551,1,0,1,0
0,2,16,0.096572756,2,0,0,1
0,2,16,0.098833057,3,1,1,1
0,2,16,0.10101864,4,1,1,1
0,2,16,0.103137513,5,0,0,1
0,2,16,0.105196778,6,1,1,1
0,2,16,0.107202785,7,1,1,1
0,2,16,0.109161254,8,1,1,1
0,2,16,0.111077368,9,1,1,1
0,2,16,0.112955854,10,0,1,0
0,2,16,0.107191207,11,0,0,1
0,2,16,0.109135509,12,0,1,0
0,2,16,0.103175096,13,0,0,1
0,2,16,0.105203807,14,1,1,1
0,2,16,0.107180559,15,0,1,0
0,2,16,0.10112358,16,0,0,1
0,2,16,0.103194665,17,1,1,1
0,2,16,0.1052084,18,1,1,1
0,2,16,0.10717081,19,0,0,1
0,2,16,0.109087328,20,1,1,1
0,2,16,0.110962892,21,1,1,1
0,2,16,0.11280201,22,0,0,1
0,2,16,0.114608826,23,0,0,1
0,2,16,0.116387168,24,0,1,0
0,2,16,0.110927213,25,0,1,0
0,2,16,0.105219599,26,0,0,1
0,2,16,0.107153876,27,1,1,1
0,2,16,0.10904332,28,0,0,1
0,2,16,0.11089271,29,0,1,0
0,2,16,0.105226151,30,0,0,1
0,2,16,0.107146632,31,0,0,1
0,2,16,0.109022796,32,1,1,1
0,2,16,0.110859346,33,1,0,0
0,2,16,0.105233304,34,0,0,1
0,2,16,0.107140164,35,1,1,1
0,2,16,0.109003216,36,0,0,1
0,2,16,0.110827088,37,1,1,1
0,2,16,0.11261602,38,0,0,1
0,2,16,0.114373914,39,0,1,0
1,0.5,16,0.075,0,1,1,1
1,0.5,16,0.095399448,1,1,1,1
1,0.5,16,0.097672375,2,0,1,0
1,0.5,16,0.090670251,3,1,1,1
1,0.5,16,0.093087498,4,1,0,0
1,0.5,16,0.085632384,5,0,1,0
1,0.5,16,0.077190403,6,1,1,1
1,0.5,16,0.080190847,7,1,1,1
1,0.5,16,0.083030874,8,0,0,1
1,0.5,16,0.08573195,9,0,0,1
1,0.5,16,0.088311739,10,1,1,1
1,0.5,16,0.090785021,11,0,0,1
1,0.5,16,0.093164329,12,1,1,1
1,0.5,16,0.095460427,13,0,0,1
1,0.5,16,0.097682657,14,0,1,0
1,0.5,16,0.090842517,15,1,1,1
1,0.5,16,0.093203242,16,0,1,0
1,0.5,16,0.085929464,17,1,0,0
1,0.5,16,0.077717367,18,1,1,1
1,0.5,16,0.08063252,19,1,1,1
1,0.5,16,0.083395922,20,0,1,0
1,0.5,16,0.074796815,21,1,0,0
1,0.5,16,0.063125037,22,1,1,1
1,0.5,16,0.067287561,23,0,1,0
1,0.5,16,0.054387963,24,1,1,1
1,0.5,16,0.059092486,25,1,1,1
1,0.5,16,0.06346759,26,0,0,1
1,0.5,16,0.067589267,27,1,1,1
1,0.5,16,0.071510983,28,1,1,1
1,0.5,16,0.075228176,29,1,1,1
1,0.5,16,0.078228438,30,1,1,1
1,0.5,16,0.08106254,31,1,1,1
1,0.5,16,0.083752901,32,0,1,0
1,0.5,16,0.075424374,33,1,1,1
1,0.5,16,0.078395369,34,0,0,1
1,0.5,16,0.081203344,35,1,1,1
1,0.5,16,0.083870115,36,1,1,1
1,0.5,16,0.086413576,37,0,1,0
1,0.5,16,0.078560623,38,1,1,1
1,0.5,16,0.081342901,39,1,1,1
2,4,16,0.0905,0,1,1,1
2,4,16,0.107537428,1,1,0,0
2,4,16,0.10133431,2,0,0,1
2,4,16,0.103470712,3,1,1,1
2,4,16,0.105541855,4,1,1,1
2,4,16,0.107554508,5,1,0,0
2,4,16,0.101400197,6,1,1,1
2,4,16,0.103519654,7,1,1,1
2,4,16,0.10557475,8,0,0,1
2,4,16,0.107572124,9,1,1,1
2,4,16,0.109517737,10,1,1,1
2,4,16,0.111416979,11,0,0,1
2,4,16,0.113274748,12,1,1,1
2,4,16,0.115095527,13,1,0,0
2,4,16,0.109521439,14,1,1,1
2,4,16,0.111406814,15,1,1,1
2,4,16,0.113251195,16,0,0,1
2,4,16,0.11505899,17,1,1,1
2,4,16,0.11683426,18,1,1,1
2,4,16,0.118580759,19,1,1,1
2,4,16,0.12030198,20,0,0,1
2,4,16,0.122001186,21,0,0,1
2,4,16,0.123681439,22,0,0,1
2,4,16,0.125334777,23,1,1,1
2,4,16,0.126975427,24,1,0,0
2,4,16,0.122285142,25,1,1,1
2,4,16,0.123951429,26,0,1,0
2,4,16,0.119228888,27,1,1,1
2,4,16,0.12091857,28,0,0,1
2,4,16,0.122587913,29,1,1,1
2,4,16,0.124239824,30,0,0,1
2,4,16,0.125866436,31,0,0,1
2,4,16,0.127481585,32,0,1,0
2,4,16,0.122864144,33,0,1,0
2,4,16,0.117784541,34,0,0,1
2,4,16,0.119470335,35,1,1,1
2,4,16,0.121133745,36,1,1,1
2,4,16,0.122777741,37,0,0,1
2,4,16,0.124405121,38,0,0,1
2,4,16,0.126008076,39,0,1,0
3,2,0.5,0.062177664,0,1,1,1
3,2,0.5,0.086242392,1,0,0,1
3,2,0.5,0.08879908,2,1,1,1
3,2,0.5,0.091263141,3,1,1,1
3,2,0.5,0.09364576,4,1,1,1
3,2,0.5,0.095956616,5,0,1,0
3,2,0.5,0.088801992,6,0,1,0
3,2,0.5,0.080927882,7,1,1,1
3,2,0.5,0.083666563,8,1,1,1
3,2,0.5,0.086287602,9,0,0,1
3,2,0.5,0.088805847,10,0,1,0
3,2,0.5,0.080993746,11,1,1,1
3,2,0.5,0.083710443,12,1,1,1
3,2,0.5,0.086311214,13,1,1,1
3,2,0.5,0.088810606,14,0,1,0
3,2,0.5,0.081059673,15,0,0,1
3,2,0.5,0.083754685,16,0,0,1
3,2,0.5,0.086335454,17,1,1,1
3,2,0.5,0.088816235,18,0,1,0
3,2,0.5,0.081125643,19,0,0,1
3,2,0.5,0.083799262,20,0,0,1
3,2,0.5,0.086360292,21,1,1,1
3,2,0.5,0.088822696,22,1,1,1
3,2,0.5,0.09119834,23,1,1,1
3,2,0.5,0.093497431,24,0,0,1
3,2,0.5,0.095728848,25,1,1,1
3,2,0.5,0.097900387,26,0,1,0
3,2,0.5,0.091188571,27,1,1,1
3,2,0.5,0.093471566,28,1,1,1
3,2,0.5,0.095687668,29,0,0,1
3,2,0.5,0.097844549,30,1,1,1
3,2,0.5,0.099949011,31,0,0,1
3,2,0.5,0.102007137,32,1,0,0
3,2,0.5,0.095647843,33,1,1,1
3,2,0.5,0.09779024,34,1,1,1
3,2,0.5,0.099880761,35,0,1,0
3,2,0.5,0.093423312,36,0,1,0
3,2,0.5,0.08646504,37,0,1,0
3,2,0.5,0.078764818,38,0,1,0
3,2,0.5,0.069940081,39,1,1,1
0,8,0.5,0.062,0,0,0,1
0,8,0.5,0.086122521,1,0,1,0
0,8,0.5,0.077828207,2,0,1,0
0,8,0.5,0.068214935,3,0,0,1
0,8,0.5,0.071657749,4,1,0,0
0,8,0.5,0.060513196,5,1,1,1
0,8,0.5,0.064728568,6,1,1,1
0,8,0.5,0.068396411,7,1,1,1
0,8,0.5,0.071804799,8,1,1,1
0,8,0.5,0.074997696,9,1,1,1
0,8,0.5,0.078008758,10,0,0,1
0,8,0.5,0.080864478,11,0,0,1
0,8,0.5,0.083586201,12,1,1,1
0,8,0.5,0.086191458,13,1,1,1
0,8,0.5,0.088694889,14,0,0,1
0,8,0.5,0.091108899,15,1,1,1
0,8,0.5,0.093444129,16,0,0,1
0,8,0.5,0.095709815,17,1,1,1
0,8,0.5,0.097914052,18,0,1,0
0,8,0.5,0.091097051,19,0,0,1
0,8,0.5,0.093415762,20,1,1,1
0,8,0.5,0.095665738,21,0,1,0
0,8,0.5,0.088706998,22,0,0,1
0,8,0.5,0.091086254,23,1,1,1
0,8,0.5,0.093388649,24,0,1,0
0,8,0.5,0.086266066,25,0,0,1
0,8,0.5,0.08871427,26,0,0,1
0,8,0.5,0.091076471,27,0,0,1
0,8,0.5,0.093362747,28,0,0,1
0,8,0.5,0.09558187,29,0,1,0
0,8,0.5,0.08872231,30,0,0,1
0,8,0.5,0.091067666,31,0,1,0
0,8,0.5,0.083810924,32,0,1,0
0,8,0.5,0.075684691,33,1,1,1
0,8,0.5,0.078543237,34,0,1,0
0,8,0.5,0.069618068,35,1,1,1
0,8,0.5,0.072801608,36,0,0,1
0,8,0.5,0.075796718,37,0,0,1
0,8,0.5,0.078631141,38,1,1,1
0,8,0.5,0.08132708,39,1,1,1
5,4,0.5,0.093563588,0,0,1,0
5,4,0.5,0.101881444,1,0,0,1
5,4,0.5,0.10402081,2,0,1,0
5,4,0.5,0.097487175,3,0,0,1
5,4,0.5,0.099766318,4,1,1,1
5,4,0.5,0.101962606,5,1,1,1
5,4,0.5,0.104084662,6,1,1,1
5,4,0.5,0.106140104,7,0,1,0
5,4,0.5,0.099865236,8,1,1,1
5,4,0.5,0.102043374,9,1,1,1
5,4,0.5,0.104148368,10,0,1,0
5,4,0.5,0.097722888,11,1,0,0
5,4,0.5,0.090108571,12,0,1,0
5,4,0.5,0.081251155,13,0,1,0
5,4,0.5,0.071781753,14,1,1,1
5,4,0.5,0.075137422,15,1,1,1
5,4,0.5,0.078377236,16,1,1,1
5,4,0.5,0.081520435,17,1,1,1
5,4,0.5,0.084582828,18,1,1,1
5,4,0.5,0.087577632,19,0,0,1
5,4,0.5,0.090516081,20,0,1,0
5,4,0.5,0.081786917,21,0,0,1
5,4,0.5,0.084825766,22,1,1,1
5,4,0.5,0.087799,23,0,0,1
5,4,0.5,0.090717524,24,0,0,1
5,4,0.5,0.093586407,25,1,1,1
5,4,0.5,0.095931762,26,0,0,1
5,4,0.5,0.098182953,27,1,1,1
5,4,0.5,0.100349858,28,0,0,1
5,4,0.5,0.102441113,29,0,0,1
5,4,0.5,0.104464332,30,0,1,0
5,4,0.5,0.098295639,31,1,1,1
5,4,0.5,0.100444791,32,1,0,0
5,4,0.5,0.09388947,33,0,0,1
5,4,0.5,0.096194024,34,1,0,0
5,4,0.5,0.088452018,35,0,1,0
5,4,0.5,0.079807118,36,1,1,1
5,4,0.5,0.082825961,37,0,0,1
5,4,0.5,0.085775186,38,1,1,1
5,4,0.5,0.088666099,39,0,0,1
6,8,full,0.109,0,0,0,1
6,8,full,0.123085969,1,0,0,1
6,8,full,0.124770233,2,0,0,1
6,8,full,0.126422773,3,1,1,1
6,8,full,0.128046984,4,1,1,1
6,8,full,0.129646043,5,1,1,1
6,8,full,0.13122293,6,1,1,1
6,8,full,0.132780459,7,1,0,0
6,8,full,0.128024767,8,0,0,1
6,8,full,0.12961216,9,0,0,1
6,8,full,0.131177594,10,0,0,1
6,8,full,0.132723842,11,1,1,1
6,8,full,0.134253528,12,1,0,0
6,8,full,0.12957939,13,1,1,1
6,8,full,0.131133529,14,1,1,1
6,8,full,0.13266865,15,0,0,1
6,8,full,0.134187342,16,1,1,1
6,8,full,0.135692066,17,1,1,1
6,8,full,0.13718517,18,1,1,1
6,8,full,0.138659242,19,0,1,0
6,8,full,0.134460932,20,1,1,1
6,8,full,0.135953161,21,1,1,1
6,8,full,0.137434329,22,1,0,0
6,8,full,0.133248693,23,1,1,1
6,8,full,0.134741137,24,0,1,0
6,8,full,0.130181334,25,1,1,1
6,8,full,0.131695638,26,0,0,1
6,8,full,0.133192533,27,0,1,0
6,8,full,0.128624225,28,1,0,0
6,8,full,0.123919378,29,0,1,0
6,8,full,0.119003182,30,0,0,1
6,8,full,0.120682458,31,1,1,1
6,8,full,0.122323993,32,1,0,0
6,8,full,0.117343418,33,1,0,0
6,8,full,0.112031841,34,1,1,1
6,8,full,0.113875124,35,0,0,1
6,8,full,0.11566431,36,1,1,1
6,8,full,0.117404307,37,1,1,1
6,8,full,0.11909959,38,0,0,1
6,8,full,0.12075426,39,1,1,1
7,4,1,0.0855,0,1,1,1
7,4,1,0.103516552,1,1,1,1
7,4,1,0.105582063,2,1,1,1
7,4,1,0.107594274,3,1,1,1
7,4,1,0.109558927,4,1,1,1
7,4,1,0.111481228,5,0,0,1
7,4,1,0.113365928,6,0,0,1
7,4,1,0.115217384,7,0,1,0
7,4,1,0.109532137,8,1,1,1
7,4,1,0.111440614,9,1,1,1
7,4,1,0.113311889,10,0,0,1
7,4,1,0.115150253,11,0,1,0
7,4,1,0.109506496,12,0,0,1
7,4,1,0.11140133,13,0,1,0
7,4,1,0.105591428,14,0,1,0
7,4,1,0.099405299,15,1,1,1
7,4,1,0.101529962,16,1,0,0
7,4,1,0.095022598,17,0,0,1
7,4,1,0.097278787,18,0,0,1
7,4,1,0.099456952,19,0,0,1
7,4,1,0.101565351,20,0,0,1
7,4,1,0.103611281,21,1,1,1
7,4,1,0.10560125,22,0,0,1
7,4,1,0.107541095,23,0,0,1
7,4,1,0.109436095,24,1,1,1
7,4,1,0.111291047,25,0,1,0
7,4,1,0.105607149,26,0,0,1
7,4,1,0.10753308,27,1,1,1
7,4,1,0.109414683,28,0,0,1
7,4,1,0.111256679,29,1,1,1
7,4,1,0.113063393,30,1,1,1
7,4,1,0.114838802,31,1,1,1
7,4,1,0.116586587,32,0,0,1
