Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8.0,full,0.11457339435877348,0,0,0,1
0,8.0,full,0.1279363232117775,1,1,1,1
0,8.0,full,0.12954531736933209,2,1,1,1
0,8.0,full,0.13112601669092727,3,0,0,1
0,8.0,full,0.13268148636850513,4,1,1,1
0,8.0,full,0.13421460906282176,5,0,0,1
0,8.0,full,0.1357281065667887,6,1,1,1
0,8.0,full,0.13722455877409429,7,0,0,1
0,8.0,full,0.13870642037789133,8,0,0,1
0,8.0,full,0.14017603564806178,9,1,1,1
0,8.0,full,0.1416356515747682,10,0,0,1
0,8.0,full,0.1430780150223157,11,0,0,1
0,8.0,full,0.14451512307519918,12,1,0,0
0,8.0,full,0.14041926801077506,13,0,0,1
0,8.0,full,0.14186758627830265,14,1,1,1
0,8.0,full,0.14329920437822274,15,1,1,1
0,8.0,full,0.14472597297534104,16,1,1,1
0,8.0,full,0.14614983198040057,17,1,0,0
0,8.0,full,0.1420871680488026,18,1,1,1
0,8.0,full,0.14350850154772857,19,1,1,1
0,8.0,full,0.14492536522107127,20,1,1,1
0,8.0,full,0.14633966460934023,21,1,1,1
0,8.0,full,0.14775325665416977,22,1,1,1
0,8.0,full,0.14916795667703045,23,0,0,1
0,8.0,full,0.1505855447988896,24,1,1,1
0,8.0,full,0.15200777187327072,25,1,1,1
0,8.0,full,0.15343636499527724,26,0,0,1
0,8.0,full,0.15487303264083566,27,0,0,1
0,8.0,full,0.1563194694833992,28,1,0,0
0,8.0,full,0.15216075413275018,29,1,0,0
0,8.0,full,0.14810875154896666,30,0,1,0
0,8.0,full,0.14412201846865114,31,1,1,1
0,8.0,full,0.14551024934338597,32,1,0,0
0,8.0,full,0.14155285167295342,33,0,0,1
0,8.0,full,0.14293980810990045,34,0,0,1
0,8.0,full,0.14432189003431425,35,1,1,1
0,8.0,full,0.1457009228248041,36,1,1,1
0,8.0,full,0.14707868437359925,37,0,0,1
0,8.0,full,0.14845691167872352,38,1,1,1
0,8.0,full,0.14983730690864006,39,0,0,1
1,4.0,16,0.08020692869823831,0,1,1,1
1,4.0,16,0.09936475055686014,1,1,1,1
1,4.0,16,0.10153186329627979,2,1,1,1
1,4.0,16,0.10363865719135318,3,0,0,1
1,4.0,16,0.10569173920930566,4,0,0,1
1,4.0,16,0.10769704546164055,5,1,1,1
1,4.0,16,0.10965994663647419,6,1,1,1
1,4.0,16,0.11158533368946412,7,1,1,1
1,4.0,16,0.11347768819138776,8,1,1,1
1,4.0,16,0.11534114061662071,9,0,0,1
1,4.0,16,0.1171795190566827,10,1,1,1
1,4.0,16,0.11898464422083356,11,0,1,0
1,4.0,16,0.11381488502480738,12,1,1,1
1,4.0,16,0.1156607662284981,13,0,0,1
1,4.0,16,0.11748255379514869,14,1,0,0
1,4.0,16,0.11230486247165618,15,0,0,1
1,4.0,16,0.11415985914883751,16,0,0,1
1,4.0,16,0.11598813019488385,17,0,0,1
1,4.0,16,0.11779328622135309,18,0,1,0
1,4.0,16,0.11266292995126519,19,1,0,0
1,4.0,16,0.10692513905908878,20,0,0,1
1,4.0,16,0.10884923046700867,21,0,0,1
1,4.0,16,0.11073578268492415,22,0,1,0
1,4.0,16,0.1049395782466492,23,0,0,1
1,4.0,16,0.10689211874452172,24,1,1,1
1,4.0,16,0.1088028298307583,25,1,1,1
1,4.0,16,0.11067638767274088,26,1,1,1
1,4.0,16,0.112517078583507,27,0,0,1
1,4.0,16,0.11432885374652849,28,0,0,1
1,4.0,16,0.11611537503569767,29,0,0,1
1,4.0,16,0.11788005368055725,30,1,1,1
1,4.0,16,0.11961483369621093,31,0,0,1
1,4.0,16,0.12133465236429879,32,1,1,1
1,4.0,16,0.12304228026307729,33,1,0,0
1,4.0,16,0.11814630099762863,34,1,1,1
1,4.0,16,0.11986756002019933,35,0,0,1
1,4.0,16,0.12157450056645167,36,1,1,1
1,4.0,16,0.12326983195362186,37,0,0,1
1,4.0,16,0.12495613165067514,38,1,0,0
1,4.0,16,0.12011721923175145,39,0,0,1
2,2.0,16,0.09403854519881776,0,1,1,1
2,2.0,16,0.11043510793137273,1,1,1,1
2,2.0,16,0.11234930925210174,2,1,1,1
2,2.0,16,0.11421964754387927,3,1,1,1
2,2.0,16,0.11605078027396566,4,1,1,1
2,2.0,16,0.11784698501564284,5,1,1,1
2,2.0,16,0.11961221151128695,6,1,0,0
2,2.0,16,0.11420802012716788,7,0,0,1
2,2.0,16,0.1160257788097094,8,1,1,1
2,2.0,16,0.1178089901603147,9,1,0,0
2,2.0,16,0.11235441158110934,10,0,0,1
2,2.0,16,0.11419728845031289,11,0,0,1
2,2.0,16,0.11600185086978375,12,1,1,1
2,2.0,16,0.11777224138519544,13,1,1,1
2,2.0,16,0.11951228857247011,14,1,1,1
2,2.0,16,0.1212255485813133,15,1,1,1
2,2.0,16,0.12291534042943003,16,0,0,1
2,2.0,16,0.12458477619520553,17,1,1,1
2,2.0,16,0.12623678701588487,18,0,0,1
2,2.0,16,0.12786349347848328,19,0,0,1
2,2.0,16,0.12947880275941273,20,0,0,1
2,2.0,16,0.1310851681312076,21,0,0,1
2,2.0,16,0.13268494210175097,22,0,0,1
2,2.0,16,0.1342803892347814,23,1,1,1
2,2.0,16,0.13587369759775864,24,1,1,1
2,2.0,16,0.13746698903797075,25,0,0,1
2,2.0,16,0.13906232845497937,26,0,0,1
2,2.0,16,0.14066173221081396,27,0,0,1
2,2.0,16,0.14226717579749232,28,0,1,0
2,2.0,16,0.1376426782400174,29,1,1,1
2,2.0,16,0.1392283888214452,30,1,0,0
2,2.0,16,0.13467005674179966,31,0,0,1
2,2.0,16,0.13624303687509753,32,0,0,1
2,2.0,16,0.13781665330862714,33,0,0,1
2,2.0,16,0.13939290233076504,34,1,1,1
2,2.0,16,0.1409737357590976,35,0,0,1
2,2.0,16,0.1425610680866489,36,1,1,1
2,2.0,16,0.14415678304619284,37,1,1,1
2,2.0,16,0.14576273967054246,38,0,0,1
2,2.0,16,0.14738077791583412,39,0,1,0
3,4.0,full,0.09612715273099276,0,0,0,1
3,4.0,full,0.11216408093586339,1,0,1,0
3,4.0,full,0.10628585736708686,2,0,0,1
3,4.0,full,0.10830588091533028,3,0,0,1
3,4.0,full,0.11026877865069995,4,1,1,1
3,4.0,full,0.11218031954222406,5,0,0,1
3,4.0,full,0.11404573038618929,6,1,1,1
