Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
1,0.5,0.5,0.0917583612906648,0,1,0,0
1,0.5,0.5,0.1002548798186608,1,0,0,1
1,0.5,0.5,0.1024349973188775,2,1,1,1
1,0.5,0.5,0.1045444946699545,3,1,1,1
1,0.5,0.5,0.1065906778538702,4,1,0,0
1,0.5,0.5,0.100337622903289,5,1,1,1
1,0.5,0.5,0.1025000362048715,6,1,1,1
1,0.5,0.5,0.1045928351623362,7,0,1,0
1,0.5,0.5,0.0981984551074531,8,0,1,0
1,0.5,0.5,0.0910296540263316,9,0,1,0
1,0.5,0.5,0.082031543446172,10,1,0,0
1,0.5,0.5,0.0724331245348482,11,1,1,1
1,0.5,0.5,0.0758254943419163,12,0,1,0
1,0.5,0.5,0.0656202013561043,13,1,1,1
1,0.5,0.5,0.0692770286566428,14,1,1,1
1,0.5,0.5,0.0727712368420539,15,1,1,1
1,0.5,0.5,0.0761318176034988,16,1,0,0
1,0.5,0.5,0.0660301074336014,17,0,1,0
1,0.5,0.5,0.0543862830754128,18,0,1,0
1,0.5,0.5,0.0399999999999999,19,1,1,1
1,0.5,0.5,0.0452561495850791,20,0,1,0
1,0.5,0.5,0.0399999999999999,21,1,1,1
1,0.5,0.5,0.0399999999999999,22,1,1,1
1,0.5,0.5,0.0403209424966608,23,0,1,0
1,0.5,0.5,0.0399999999999999,24,0,1,0
1,0.5,0.5,0.0399999999999999,25,0,0,1
1,0.5,0.5,0.0399999999999999,26,1,1,1
1,0.5,0.5,0.0399999999999999,27,0,0,1
1,0.5,0.5,0.0399999999999999,28,1,0,0
1,0.5,0.5,0.0399999999999999,29,0,0,1
1,0.5,0.5,0.0399999999999999,30,1,1,1
1,0.5,0.5,0.0399999999999999,31,1,0,0
1,0.5,0.5,0.0399999999999999,32,1,1,1
1,0.5,0.5,0.0399999999999999,33,0,0,1
1,0.5,0.5,0.0399999999999999,34,0,0,1
1,0.5,0.5,0.0399999999999999,35,1,1,1
1,0.5,0.5,0.0399999999999999,36,0,0,1
1,0.5,0.5,0.0399999999999999,37,1,1,1
1,0.5,0.5,0.0399999999999999,38,0,0,1
1,0.5,0.5,0.043646465434049,39,1,1,1
0,0.5,1,0.0284999999999998,0,0,0,1
0,0.5,1,0.0684058198027153,1,1,1,1
0,0.5,1,0.0717441493187561,2,1,1,1
0,0.5,1,0.0748965992938467,3,0,0,1
0,0.5,1,0.0778922424659506,4,1,1,1
0,0.5,1,0.0807542187424487,5,1,1,1
0,0.5,1,0.0835013487459336,6,1,1,1
0,0.5,1,0.0861492241898688,7,0,1,0
0,0.5,1,0.0778518938232242,8,0,0,1
0,0.5,1,0.0806944026923753,9,0,1,0
0,0.5,1,0.0717528888723756,10,0,0,1
0,0.5,1,0.0748594913610795,11,1,1,1
0,0.5,1,0.0778132639526126,12,1,0,0
0,0.5,1,0.068496673459588,13,0,0,1
0,0.5,1,0.0717590363300746,14,0,0,1
0,0.5,1,0.0748431093056727,15,1,1,1
0,0.5,1,0.077776296626901,16,0,0,1
0,0.5,1,0.080580510647051,17,0,0,1
0,0.5,1,0.0832736413885749,18,0,0,1
0,0.5,1,0.0858705567498316,19,1,1,1
0,0.5,1,0.088383804711613,20,1,1,1
0,0.5,1,0.0908241195327279,21,1,1,1
0,0.5,1,0.093200795069912,22,1,1,1
0,0.5,1,0.0955069340828122,23,0,1,0
0,0.5,1,0.0888326193894687,24,0,0,1
0,0.5,1,0.0912444658055297,25,0,1,0
0,0.5,1,0.0837143335518376,26,1,1,1
0,0.5,1,0.0862605636763383,27,1,0,0
0,0.5,1,0.0782969688685744,28,1,1,1
0,0.5,1,0.0810218493786935,29,1,1,1
0,0.5,1,0.0836425250631816,30,1,1,1
0,0.5,1,0.0861726663172422,31,0,0,1
0,0.5,1,0.0886238753479203,32,0,0,1
0,0.5,1,0.0910061258771295,33,1,1,1
0,0.5,1,0.0933280902799211,34,1,1,1
0,0.5,1,0.0955826624455417,35,1,1,1
0,0.5,1,0.0977925206593119,36,0,0,1
0,0.5,1,0.0999635601351345,37,1,1,1
0,0.5,1,0.1021011040733475,38,1,1,1
0,0.5,1,0.1042099949045505,39,1,1,1
1,0.5,16,0.0781368438592735,0,0,0,1
1,0.5,16,0.0977733241723739,1,1,1,1
1,0.5,16,0.0999818128216043,2,1,0,0
1,0.5,16,0.0931891433609318,3,0,1,0
1,0.5,16,0.0857020729147384,4,1,0,0
1,0.5,16,0.0770169938037365,5,1,1,1
1,0.5,16,0.0802252160752707,6,0,1,0
1,0.5,16,0.069672861881658,7,1,1,1
1,0.5,16,0.0735365915643102,8,1,1,1
1,0.5,16,0.077251344055692,9,1,1,1
1,0.5,16,0.0803946691861876,10,1,1,1
1,0.5,16,0.0832375549147282,11,1,0,0
1,0.5,16,0.0737987113795987,12,1,1,1
1,0.5,16,0.0774838491696804,13,0,0,1
1,0.5,16,0.0805624293984198,14,1,1,1
1,0.5,16,0.0833786577132068,15,0,1,0
1,0.5,16,0.074058428535899,16,0,0,1
1,0.5,16,0.0777145369579524,17,1,1,1
1,0.5,16,0.0807285173672079,18,1,1,1
1,0.5,16,0.0835185313372677,19,0,0,1
1,0.5,16,0.0861716681020101,20,0,0,1
1,0.5,16,0.0887049891563723,21,0,0,1
1,0.5,16,0.0911328015650144,22,1,1,1
