VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,NaN,NaN,NaN,NaN
0.5,1,40,40,0.0839741702551587,0.0756333208471186,0.0904108839994611,NaN
0.5,16,40,40,0.0807805984510549,0.0771055098459292,0.083969643303835,NaN
0.5,full,40,40,0.0832872627196627,0.0746151817580863,0.0870462692646813,NaN
2,0.5,40,40,0.0804614628191678,0.0759086615246117,0.0830519004784863,NaN
2,1,40,40,0.0907862333033958,0.0868694828880583,0.0942480792353887,NaN
2,16,40,40,0.0878862305183132,NaN,0.103541023312929,NaN
2,full,40,40,0.103720495838466,0.0998402302933215,0.111634933815741,NaN
4,0.5,40,40,0.0750368674795608,NaN,0.0900663331512358,NaN
4,1,40,40,0.0993021531356212,0.0953824432103428,0.102303426145849,NaN
4,16,40,40,0.127711476634463,0.12408528287409,0.130685724527996,NaN
4,full,40,40,0.111732259616918,0.108795629517127,0.114893137862722,NaN
8,0.5,40,40,0.0916973441468618,0.0877318084178832,0.0960521536971094,NaN
8,1,40,40,0.123735527221379,0.121578630162057,0.125510128474332,NaN
8,16,40,40,0.127543515656883,0.123057123913871,0.13117690264146,NaN
8,full,40,40,0.120773636562091,0.117635984670298,0.123825375158551,NaN
