Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
1.0,0.5,1.5315913551207243,1.7784445591769589,1.2529636290946498,0.02122121231359926,0.026566602141731236,0.017940930802767333
16.0,0.5,1.3693085808198662,1.479009552965085,1.2510457344983084,0.02356720176998499,0.02618172100629743,0.02153934249813178
-1.0,0.5,1.5276229016859775,1.670879391692853,1.2337015324273732,0.018711133736099478,0.024594173597966503,0.016676321026415815
0.5,2.0,1.6206524091891306,1.717999874614312,1.4601698180620597,0.019408609432215673,0.021935866059966634,0.018121710242746256
1.0,2.0,1.793748219671849,1.939801392364125,1.6390398885026018,0.017768728146047214,0.01966578705487534,0.01626884746746394
16.0,2.0,1.6231584155736365,2.312863924664031,,0.019318560870460775,,0.012740611873745672
-1.0,2.0,2.4349888694958732,2.8780539453026726,2.2373764894876644,0.01025845436512908,0.011445157200588547,0.008260963319598275
0.5,4.0,1.4309344075795665,2.0047915453390552,,0.02246204471661566,,0.015106652933062473
1.0,4.0,2.1694508075075745,2.3154241563508267,1.989621006494694,0.014338923611710354,0.015810195222576172,0.013321475657221096
16.0,4.0,3.792141009266589,4.013377066198734,3.5346218634184607,0.007098776258908461,0.0077160070730420294,0.006637009123310586
-1.0,4.0,2.8838470909955296,3.0766691422671815,2.712781599586556,0.008239451047175515,0.008919166067021029,0.007575945814509639
0.5,8.0,2.076532246781129,2.277853672656509,1.9054803737137658,0.014492285138751292,0.016039973326612934,0.012990599864851677
1.0,8.0,3.585900531465417,3.7103733777766066,3.4387755217787923,0.008111839213951104,0.008507432685647688,0.00780315317933066
16.0,8.0,3.7799187243562784,4.050794530568329,3.46400583477955,0.007126005684613755,0.007902765917105505,0.006564329987941365
-1.0,8.0,3.460026729058893,3.6719155129800827,3.251442187079108,0.006504663119177483,0.007051678669709773,0.006021232030265417
