Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,0.5,1,0.0285,0,0,0,1
0,0.5,1,0.06840582,1,1,1,1
0,0.5,1,0.071744149,2,1,1,1
0,0.5,1,0.074896599,3,0,0,1
0,0.5,1,0.077892242,4,1,1,1
0,0.5,1,0.080754219,5,1,1,1
0,0.5,1,0.083501349,6,1,1,1
0,0.5,1,0.086149224,7,0,1,0
0,0.5,1,0.077851894,8,0,0,1
0,0.5,1,0.080694403,9,0,1,0
0,0.5,1,0.071752889,10,0,0,1
0,0.5,1,0.074859491,11,1,1,1
0,0.5,1,0.077813264,12,1,0,0
0,0.5,1,0.068496673,13,0,0,1
0,0.5,1,0.071759036,14,0,0,1
0,0.5,1,0.074843109,15,1,1,1
0,0.5,1,0.077776297,16,0,0,1
0,0.5,1,0.080580511,17,0,0,1
0,0.5,1,0.083273641,18,0,0,1
0,0.5,1,0.085870557,19,1,1,1
0,0.5,1,0.088383805,20,1,1,1
0,0.5,1,0.09082412,21,1,1,1
0,0.5,1,0.093200795,22,1,1,1
0,0.5,1,0.095506934,23,0,1,0
0,0.5,1,0.088832619,24,0,0,1
0,0.5,1,0.091244466,25,0,1,0
0,0.5,1,0.083714334,26,1,1,1
0,0.5,1,0.086260564,27,1,0,0
0,0.5,1,0.078296969,28,1,1,1
0,0.5,1,0.081021849,29,1,1,1
0,0.5,1,0.083642525,30,1,1,1
0,0.5,1,0.086172666,31,0,0,1
0,0.5,1,0.088623875,32,0,0,1
0,0.5,1,0.091006126,33,1,1,1
0,0.5,1,0.09332809,34,1,1,1
0,0.5,1,0.095582662,35,1,1,1
0,0.5,1,0.097792521,36,0,0,1
0,0.5,1,0.09996356,37,1,1,1
0,0.5,1,0.102101104,38,1,1,1
0,0.5,1,0.104209995,39,1,1,1
1,0.5,16,0.078136844,0,0,0,1
1,0.5,16,0.097773324,1,1,1,1
1,0.5,16,0.099981813,2,1,0,0
1,0.5,16,0.093189143,3,0,1,0
1,0.5,16,0.085702073,4,1,0,0
1,0.5,16,0.077016994,5,1,1,1
1,0.5,16,0.080225216,6,0,1,0
1,0.5,16,0.069672862,7,1,1,1
1,0.5,16,0.073536592,8,1,1,1
1,0.5,16,0.077251344,9,1,1,1
1,0.5,16,0.080394669,10,1,1,1
1,0.5,16,0.083237555,11,1,0,0
1,0.5,16,0.073798711,12,1,1,1
1,0.5,16,0.077483849,13,0,0,1
1,0.5,16,0.080562429,14,1,1,1
1,0.5,16,0.083378658,15,0,1,0
1,0.5,16,0.074058429,16,0,0,1
1,0.5,16,0.077714537,17,1,1,1
1,0.5,16,0.080728517,18,1,1,1
1,0.5,16,0.083518531,19,0,0,1
1,0.5,16,0.086171668,20,0,0,1
1,0.5,16,0.088704989,21,0,0,1
1,0.5,16,0.091132802,22,1,1,1
1,0.5,16,0.093467266,23,0,0,1
1,0.5,16,0.095718843,24,0,0,1
1,0.5,16,0.097896625,25,1,1,1
1,0.5,16,0.100008594,26,1,1,1
1,0.5,16,0.102061814,27,1,0,0
1,0.5,16,0.095757383,28,0,0,1
1,0.5,16,0.097918954,29,0,1,0
1,0.5,16,0.091280784,30,0,0,1
1,0.5,16,0.093578756,31,0,0,1
1,0.5,16,0.095796154,32,0,0,1
1,0.5,16,0.097941726,33,1,1,1
1,0.5,16,0.10002316,34,1,1,1
1,0.5,16,0.102047277,35,1,1,1
1,0.5,16,0.10402017,36,1,1,1
1,0.5,16,0.105947326,37,1,1,1
1,0.5,16,0.107833713,38,0,0,1
1,0.5,16,0.109683864,39,0,1,0
2,2,16,0.108213847,0,1,1,1
2,2,16,0.122407195,1,1,0,0
2,2,16,0.117144683,2,1,1,1
2,2,16,0.118946032,3,0,0,1
2,2,16,0.120703655,4,1,0,0
2,2,16,0.115364933,5,1,0,0
2,2,16,0.109638135,6,1,0,0
2,2,16,0.10268842,7,0,0,1
2,2,16,0.105159507,8,0,1,0
2,2,16,0.097904603,9,0,0,1
2,2,16,0.100400873,10,0,0,1
2,2,16,0.102874444,11,1,1,1
2,2,16,0.105330348,12,1,1,1
2,2,16,0.107773213,13,1,1,1
2,2,16,0.10987023,14,0,1,0
2,2,16,0.103059033,15,1,1,1
2,2,16,0.105500013,16,0,1,0
2,2,16,0.098336329,17,0,0,1
2,2,16,0.100799746,18,1,1,1
2,2,16,0.103242209,19,1,1,1
2,2,16,0.105668518,20,1,1,1
2,2,16,0.108083099,21,1,0,0
2,2,16,0.100996681,22,0,0,1
2,2,16,0.103423994,23,1,1,1
2,2,16,0.105835879,24,1,1,1
2,2,16,0.108233012,25,1,1,1
2,2,16,0.110210815,26,0,1,0
2,2,16,0.103604408,27,1,0,0
2,2,16,0.096529679,28,1,1,1
2,2,16,0.098969378,29,0,1,0
2,2,16,0.091816719,30,1,1,1
2,2,16,0.094301602,31,1,1,1
2,2,16,0.096752992,32,1,1,1
2,2,16,0.099176653,33,1,1,1
2,2,16,0.101577805,34,0,1,0
2,2,16,0.094539545,35,0,1,0
2,2,16,0.087307898,36,1,1,1
2,2,16,0.089838828,37,0,1,0
2,2,16,0.08241551,38,0,0,1
2,2,16,0.085035394,39,1,1,1
3,4,0.5,0.093522344,0,1,1,1
3,4,0.5,0.110009873,1,0,0,1
3,4,0.5,0.111932789,2,1,1,1
3,4,0.5,0.113811331,3,1,0,0
3,4,0.5,0.108069073,4,0,0,1
3,4,0.5,0.110026494,5,1,1,1
3,4,0.5,0.111934994,6,0,0,1
3,4,0.5,0.113799654,7,1,0,0
3,4,0.5,0.108101047,8,0,0,1
3,4,0.5,0.110043635,9,1,1,1
3,4,0.5,0.111937914,10,1,1,1
3,4,0.5,0.113788876,11,0,1,0
3,4,0.5,0.108133316,12,0,0,1
3,4,0.5,0.110061272,13,0,1,0
3,4,0.5,0.104175679,14,0,0,1
3,4,0.5,0.106199916,15,0,1,0
3,4,0.5,0.100023029,16,0,1,0
3,4,0.5,0.093182332,17,0,0,1
3,4,0.5,0.095624472,18,1,0,0
3,4,0.5,0.087532981,19,1,1,1
3,4,0.5,0.090473165,20,1,1,1
3,4,0.5,0.093366535,21,0,1,0
3,4,0.5,0.08477937,22,1,1,1
3,4,0.5,0.087754484,23,0,0,1
3,4,0.5,0.090674722,24,1,1,1
3,4,0.5,0.093545176,25,0,0,1
3,4,0.5,0.095891738,26,0,0,1
3,4,0.5,0.098144028,27,0,1,0
3,4,0.5,0.090874767,28,1,1,1
3,4,0.5,0.09369755,29,0,1,0
3,4,0.5,0.085258776,30,0,1,0
3,4,0.5,0.076346647,31,1,1,1
3,4,0.5,0.079477309,32,1,1,1
3,4,0.5,0.082522203,33,1,1,1
3,4,0.5,0.085495168,34,1,1,1
3,4,0.5,0.088407897,35,1,1,1
3,4,0.5,0.091270411,36,0,1,0
3,4,0.5,0.082778217,37,0,0,1
3,4,0.5,0.085729407,38,0,1,0
3,4,0.5,0.076955675,39,0,1,0
4,8,0.5,0.043524653,0,1,0,0
4,8,0.5,0.061110654,1,0,0,1
