VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0381959358651544,NaN,0.0435858903442602,NaN
0.5,1,40,40,0.0504963590394311,NaN,0.0544587900120979,NaN
0.5,16,40,40,0.0752779271008322,0.0655332975459316,0.0794954902396003,NaN
0.5,full,40,40,NaN,NaN,NaN,NaN
2,0.5,40,40,0.0490480961551346,0.0417982952397392,0.0577427277785074,NaN
2,1,40,40,0.0612791199142763,NaN,0.072655804206861,NaN
2,16,40,40,0.0826810092586399,0.077324360637887,0.0883226809018134,NaN
2,full,40,40,0.0964423102752183,0.0935011344261527,0.0991653144346851,NaN
4,0.5,40,40,0.0680885107290355,0.0377206979315604,0.0708582756572272,NaN
4,1,40,40,0.0850371688248234,0.0819065291246766,0.0890104330080397,NaN
4,16,40,40,0.089247604868644,NaN,0.092510653626919,NaN
4,full,40,40,0.0924336153021951,0.0876760108762502,0.0977815543228245,NaN
8,0.5,40,40,0.0677450787051838,NaN,0.0880292396121364,NaN
8,1,40,40,0.100611548736238,0.0912932348741791,0.104492315253447,NaN
8,16,40,40,0.12521483967469,0.121847229793356,0.127850447067318,NaN
8,full,40,40,0.123232959151726,0.118063298144027,0.126902041664201,NaN
