Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,8,full,0.133,0,1,0,0
0,8,full,0.138604548,1,1,0,0
0,8,full,0.134022894,2,0,0,1
0,8,full,0.135606915,3,1,1,1
0,8,full,0.137151703,4,1,0,0
0,8,full,0.132412009,5,1,1,1
0,8,full,0.134115202,6,0,0,1
0,8,full,0.135686582,7,1,1,1
0,8,full,0.13721924,8,0,1,0
0,8,full,0.132534472,9,0,0,1
0,8,full,0.134206745,10,1,0,0
0,8,full,0.128877713,11,1,0,0
0,8,full,0.123433899,12,1,1,1
0,8,full,0.125291385,13,0,0,1
0,8,full,0.127152184,14,0,0,1
0,8,full,0.129018624,15,0,0,1
0,8,full,0.130892969,16,1,1,1
0,8,full,0.132777434,17,0,0,1
0,8,full,0.134387555,18,0,0,1
0,8,full,0.13592208,19,1,0,0
0,8,full,0.131023098,20,0,0,1
0,8,full,0.132897945,21,1,0,0
0,8,full,0.127451082,22,1,1,1
0,8,full,0.129297573,23,0,1,0
0,8,full,0.123942458,24,0,0,1
0,8,full,0.125768557,25,0,1,0
0,8,full,0.120481637,26,1,1,1
0,8,full,0.122295402,27,0,1,0
0,8,full,0.117052914,28,0,0,1
0,8,full,0.118862605,29,0,0,1
0,8,full,0.120667795,30,1,0,0
0,8,full,0.115454449,31,1,1,1
0,8,full,0.117259451,32,1,1,1
0,8,full,0.119057875,33,1,1,1
0,8,full,0.120852234,34,0,0,1
0,8,full,0.122644936,35,1,1,1
0,8,full,0.124438295,36,0,0,1
0,8,full,0.126234548,37,1,0,0
0,8,full,0.121034985,38,1,1,1
0,8,full,0.122817422,39,1,1,1
13,0.5,16,0.091305553,0,0,0,1
13,0.5,16,0.108193464,1,1,0,0
13,0.5,16,0.10203847,2,0,0,1
13,0.5,16,0.104157588,3,1,1,1
13,0.5,16,0.106212702,4,1,1,1
13,0.5,16,0.10821042,5,1,1,1
13,0.5,16,0.11015668,6,1,1,1
13,0.5,16,0.112056851,7,0,0,1
13,0.5,16,0.113915819,8,0,1,0
13,0.5,16,0.108227908,9,0,1,0
13,0.5,16,0.102169002,10,0,1,0
13,0.5,16,0.095582584,11,1,0,0
13,0.5,16,0.087743209,12,1,0,0
13,0.5,16,0.078561906,13,0,1,0
13,0.5,16,0.068640977,14,1,1,1
13,0.5,16,0.072171998,15,0,0,1
13,0.5,16,0.075564446,16,0,1,0
13,0.5,16,0.065355923,17,0,0,1
13,0.5,16,0.069014158,18,0,1,0
13,0.5,16,0.057898419,19,1,1,1
13,0.5,16,0.061952918,20,1,1,1
13,0.5,16,0.065764558,21,0,0,1
13,0.5,16,0.069382129,22,1,1,1
13,0.5,16,0.072841913,23,1,1,1
13,0.5,16,0.076171833,24,1,1,1
