Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.473839594256053,0.499798688204478,0.473839594256053,18.9327392774772,20.5797359786369,18.9327392774772
1,0.5,0.5,0.473839594256053,1.08816178256755,0.473839594256053,18.9327392774772,69.484322202689,18.9327392774772
16,0.5,0.5,1.7495254400674,1.8809322748143,1.62808059460162,146.019097262115,163.530802824292,130.48058083891
-1,0.5,0.5,1.79115529411521,2.02914740443805,1.45251916888411,151.489304750977,184.126322565421,109.155895273566
0.5,2,2,1.26817007403456,1.37898576966237,1.04724231994386,85.5033928971046,97.4725753178908,63.3831663647572
1,2,2,1.92438241980772,2.27710161479505,1.7222464663463,164.14645921012,213.570008965488,137.9928427323
16,2,2,2.29529425257293,2.38780818602425,2.20036003326693,216.244523791721,230.029590917329,202.420988907938
-1,2,2,2.92122092152275,3.16153468700652,2.6586091604795,315.303342406975,356.798978652324,272.112586612176
0.5,4,4,1.53835347763504,1.6366759295249,1.42989529522047,110.829974597269,122.10600409921,98.8552423047263
1,4,4,1.16369184937439,1.56519469326482,0.958851965632335,71.627762227898,113.869072167934,52.9147414509086
16,4,4,2.98689531745407,3.67649280320188,2.73759174005366,312.840766506717,432.922994600556,272.97746063985
-1,4,4,2.13732756429782,2.28642332844764,1.95948146651747,185.35692813682,205.972470954284,161.808794297365
0.5,8,8,1.9070851080976,2.03090253533075,1.75531979763629,142.423401623817,157.147030390618,125.100344414327
1,8,8,2.86107588510736,3.08659824314568,2.64994478803292,268.584499901644,302.421977063086,238.239603411068
16,8,8,3.39463254765423,3.65542008040329,2.23987547068085,350.932167639122,393.998653942534,183.158601932472
-1,8,8,2.75763451219327,2.94007349974293,2.59769239892735,253.553516915036,280.272376125015,230.93376056893
