Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.641240685452668,0.741854386421382,0.473839594256053,30.3876326721332,38.1671245366126,18.9327392774772
1,0.5,0.5,0.954782504275609,1.12049341870433,0.757398190296492,56.6334701997171,72.7400210405087,39.4251630607718
16,0.5,0.5,1.50808575378288,1.67491454685784,1.36870350827954,115.756571466927,136.398105314922,99.4668684011815
-1,0.5,0.5,2.9840760180736,3.20282144087356,2.69656997418712,336.563627518915,375.937236634062,287.2482555245
0.5,1,1,0.990865327528812,1.3349795148111,0.990865327528812,59.3802186859753,94.6470805608387,59.3802186859753
1,1,1,1.86631382932762,1.99729582860453,1.71841085201828,159.835696565767,177.722898009075,140.473740075782
16,1,1,3.12844248885102,3.34355795737545,2.85627378522188,358.533507192289,397.829432696394,310.964251309165
-1,1,1,3.54145184047107,4.56929458317947,3.54145184047107,435.263203983413,648.377454084613,435.263203983413
0.5,2,2,0.97500812792929,1.12156895226496,0.848661527976933,56.6802040421681,70.5579044149422,45.621330151092
1,2,2,3.69200625229137,3.89346059067563,3.45889857345838,454.753928991081,494.15297241656,410.656748748592
16,2,2,3.44444889316881,3.65896345968511,3.11676611162814,407.976947511643,448.404898805699,348.929005872235
-1,2,2,4.95060819788804,5.24337688195915,4.64078238569282,719.472504381904,787.114693586081,650.307888155422
0.5,4,4,1.61352132389339,1.86448233541863,1.24922184768678,119.415165625296,149.709082045631,80.0299750868634
1,4,4,2.07225801061853,2.41050583978405,1.66380820203085,176.607695157086,223.71939166053,125.286510766491
16,4,4,4.69865206585241,4.9391255547478,4.69865206585241,635.375313647951,686.95952877097,635.375313647951
-1,4,4,4.70814525830044,4.90740665764734,4.298438249056,637.384091810875,680.072582500797,552.796155899251
0.5,8,8,2.22874096078325,2.37425502404688,1.95366057557034,181.736664992539,200.631922162241,147.900541070996
1,8,8,2.27164219591085,2.53484491673974,1.99303459925038,187.237294315003,222.255761011973,152.588671058511
16,8,8,6.23108419103503,6.49468844219745,5.87677884683567,907.278222691483,968.016628003258,827.90190649545
-1,8,8,5.33629121979482,5.59886886397528,4.88421612389829,711.95210831424,767.494769121943,619.906667081901
