VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
10,0.5,40,40,0.0786279628120049,0.0747025750100397,0.0838128917462449,NaN
10,1,40,40,0.123107124403443,0.11970682488706,0.126040239467387,NaN
10,16,40,40,0.12217835922922,0.119071021109325,0.133678706917983,NaN
10,full,40,40,0.138452761955272,0.13634670090536,0.140506876996857,NaN
12,0.5,40,40,0.0647481153082286,0.0495248312352971,0.0682318037446952,NaN
12,1,40,40,0.101050479082708,0.0975384222343823,0.103935249444728,NaN
12,16,40,40,0.122224414726243,0.119639181794356,0.124468288722796,NaN
12,full,40,40,0.124462802310158,0.120916657300119,0.127637156613385,NaN
14,0.5,40,40,0.0477600751515425,NaN,0.0717330546843317,NaN
14,1,40,40,0.0818500049102661,0.0756051065236623,0.0867620944281699,NaN
14,16,40,40,0.142837944241479,0.118087154322872,0.148156501256743,NaN
14,full,40,40,0.126536471812766,0.123424806302598,0.130014373060672,NaN
16,0.5,40,40,0.0447536165277415,NaN,0.0588270927630101,NaN
16,1,40,40,0.0616384012282356,0.0562522568103185,0.0677432333969608,NaN
16,16,40,40,0.137368386879222,0.134167053955491,0.152121459326871,NaN
16,full,40,40,0.161180022312007,0.157527665287148,0.164846373718937,NaN
