Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.473839594256053,0.624129514334872,0.473839594256053,18.9327392774772,29.1290607693183,18.9327392774772
1,0.5,0.5,0.90060157687557,1.03579274857085,0.748588017030744,51.6884739755437,64.326015545468,38.7103048859928
16,0.5,0.5,2.00289556285066,2.13238375740753,1.3381711698411,180.414499231403,198.985388538104,96.018646157486
-1,0.5,0.5,2.53654348442583,3.11829771384274,2.53654348442583,261.038719457356,360.537250723411,261.038719457356
0.5,2,2,1.22527024818807,1.32101044426947,1.09346145035797,81.0232315758211,91.1401523485397,67.8121211459857
1,2,2,1.0051394661011,1.75115114220389,1.0051394661011,59.4433777982417,141.6319101348,59.4433777982417
16,2,2,2.55505457331369,2.72900718510669,2.27812385889296,255.719712775036,283.464999291765,213.719971513358
-1,2,2,2.29114209851348,2.42978208140264,2.16470552880251,215.633055482626,236.38466653568,197.314786036241
0.5,4,4,1.72626938297106,1.83747940588007,1.54047879994629,132.719697403533,146.332049433191,111.069532436244
1,4,4,2.86886049527068,3.13986240212669,2.64942722875304,293.723134754495,338.256221295401,259.354021123646
16,4,4,3.36932877703445,3.56541907508358,3.36932877703445,377.70531428283,412.642820837871,377.70531428283
-1,4,4,2.44697808661594,3.28764240542628,2.1818626313935,229.035797931785,363.482515320317,191.432563345992
0.5,8,8,1.41360824948872,1.64378311664993,0.979228116754098,89.1676316486869,112.893345974481,50.216589691674
1,8,8,2.63061425965135,2.85222402453895,2.44804404947115,235.527282340702,267.286058617975,210.468683214912
16,8,8,3.97667256906897,4.40591767746516,3.6003034558894,449.476526350827,527.627552309597,384.747390666708
-1,8,8,6.72810189002427,7.42022790681831,6.26561021696362,1022.97350292462,1192.25655571724,915.152600998728
