Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.6466757530295312,0.9446603532469645,,0.05618796836033546,,0.03642215138443756
1.0,0.5,1.0663708458362358,1.1959770304289281,0.9183668804137919,0.031787853341177334,0.03750268165392795,0.02798163978582117
16.0,0.5,2.0367967115981065,2.1547136418287964,1.4298674154831184,0.014798528403868829,0.022406581650313666,0.01384977946953822
-1.0,0.5,2.7083127356638204,3.273862552857777,,0.008938241489739068,,0.006989044499941396
0.5,2.0,1.584322060927731,1.6819458209277844,1.4485419172485008,0.01993261772761608,0.02214241634814636,0.018579635359795624
1.0,2.0,1.1667263829450223,1.8654926859078624,,0.028763937554935063,,0.01700103519027435
16.0,2.0,2.5401759240780435,2.6992730442955817,2.28749179104924,0.011406379721113474,0.012907400637200797,0.010616526461760607
-1.0,2.0,2.4703343533677855,2.604757518436412,2.347763464631158,0.010068894562291769,0.01075421087530751,0.00940128094913444
0.5,4.0,2.0884672277822403,2.198640051496455,1.9032340261782257,0.014394501325718474,0.01606230322306238,0.01354595149589836
1.0,4.0,2.8977207085176224,3.148969680253211,2.6947964153541855,0.010332538690644653,0.011219014627688925,0.009402158764569289
16.0,4.0,3.2884226518914215,3.4701566951567564,,0.008405085518421847,,0.007886169777278011
-1.0,4.0,2.6214341258477862,3.439046633742147,2.36439624625484,0.009323887780779848,0.010656455574299955,0.006556255411781584
0.5,8.0,1.7756941335211203,2.0064282402310867,1.3292933792720572,0.017430530876345805,0.02448521207638861,0.015092106630945882
1.0,8.0,2.677416041058164,2.8823214323715787,2.5088551427345545,0.011301577728466372,0.012165371451517587,0.010395173334304916
16.0,8.0,3.8535776364754932,4.257275285711756,3.5025584279227435,0.006964750126830661,0.007799790185586139,0.006188217990613777
-1.0,8.0,6.8736431375604035,7.5830444126135195,6.4028773287658005,0.0026615020664284656,0.0029194484466109,0.0023414922570683372
