Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.473839594256053,0.473839594256053,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0571636583569491
1,0.5,0.5,0.825111328721548,0.951031482784132,0.704641338030425,0.0277012444395241,0.0345368999505986,0.0224771288524249
16,0.5,0.5,1.3414955777187,1.44240958408096,1.22209393231499,0.0130089994027034,0.0151683302510683,0.0115167625876771
-1,0.5,0.5,1.28143970252388,1.51384177609661,0.959603974450119,0.0140349075192408,0.022174795509498,0.0106082973394332
0.5,2,2,1.49783088943362,1.60159477036219,1.37326044029446,0.0101941639472103,0.0117732797254559,0.00912583895766209
1,2,2,1.60248274850642,1.70343225979103,1.50053321789368,0.00911751842568918,0.0101637499587368,0.0082507136542606
16,2,2,2.62764157566201,2.78479535105863,2.46528197764909,0.00451250601299071,0.0048402534166899,0.0042660492745222
-1,2,2,2.07198827161349,2.26980059500952,1.9098005309087,0.00608849643951243,0.00688099274784614,0.00536414409636932
0.5,4,4,1.54086557035737,1.68201314025411,1.22756890108235,0.0082308788731335,0.01243017805114,0.00702894344451961
1,4,4,2.85307417837652,3.02859381500626,2.6313936175144,0.00354202161806328,0.0037396791064206,0.00345318057524433
16,4,4,3.63325198666002,3.82138918933885,3.39408576479194,0.00342137437349923,0.00342137437349923,0.00342137437349923
-1,4,4,3.25913451405164,3.42875137880262,3.09004923394778,0.0034015346055305,0.00343309335296298,0.00339802536311277
0.5,8,8,1.10843048890801,1.29529178038562,0.836323908896724,0.0127998256937678,0.0221278669345534,0.00900984500716231
1,8,8,1.80106374097155,2.00673608732325,1.59244796381723,0.00368578156698829,0.00528477076692341,0.0026178126311635
16,8,8,1.96289649289739,2.22140801864205,1.71325610159041,0.00281206975896596,0.00428334982996996,0.00187096740827088
-1,8,8,3.27692523627397,4.34350841154877,2.72521900714418,0.000829108944047103,0.00101319225313802,0.000829108944047103
0.5,10,10,0.526805329172614,0.722736620192703,0.526805329172614,0.0489305196640431,0.0489305196640431,0.030790562465257
1,10,10,0.473839594256053,0.473839594256053,0.473839594256053,0.0562854411356575,0.0562854411356575,0.0562854411356575
16,10,10,1.8220325073696,2.42273187233638,1.8220325073696,0.00394541357270129,0.00394541357270129,0.00131865074814416
-1,10,10,2.11795668010244,2.54796504588817,2.11795668010244,0.00231860194234856,0.00231860194234856,0.00104082129419057
1,12,11.9,0.473839594256053,1.21451274945767,0.473839594256053,0.063013886775297,0.063013886775297,0.0152097194086498
16,12,11.9,2.74573564481876,2.92561963732975,2.53101552780516,0.00209451396155266,0.00264619331436492,0.00174689207295634
-1,12,11.9,2.39221553205904,2.54813974196293,2.18594848410776,0.00310451457845829,0.0039795561877369,0.00259570725694048
0.5,14,13.3,0.473839594256053,0.475340732645779,0.473839594256053,0.0704608163413424,0.0704608163413424,0.0702089145480994
16,14,13.3,1.21043426455003,1.35442382509939,1.01649397914188,0.0198644690681265,0.0260501067724459,0.0165226678492543
-1,14,13.3,2.71515466117761,2.91563790172643,2.49347975312715,0.00465121097031408,0.00544918263161163,0.00408820967385074
0.5,16,14.9,0.473839594256053,0.555492445296518,0.473839594256053,0.0819619933183805,0.0819619933183805,0.0693628885327105
16,16,14.9,2.51936748968234,2.75794396716972,2.29951721920178,0.0103486523659367,0.011657451640144,0.00922626355624988
-1,16,14.9,2.25751518603369,2.42513938224535,2.09918268269241,0.0119448637438066,0.0131596393663598,0.0108724267088719
