VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0393031279297515,NaN,0.0433972142151501,NaN
0.5,1,40,40,0.0663875437151729,0.0615123306117832,0.0709354295764778,NaN
0.5,16,40,40,0.082653579592374,0.0793729276856447,0.0852642956430509,NaN
0.5,full,40,40,0.0821898628893367,0.0724703483780956,0.0881616802043505,NaN
2,0.5,40,40,0.0866422872562178,0.0834902774218743,0.0891267766233664,NaN
2,1,40,40,0.0891475341075273,0.0867085325830121,0.0914557855875783,NaN
2,16,40,40,0.109116564627774,0.106363898178717,0.111674641781759,NaN
2,full,40,40,0.100254355702521,0.0969992918730264,0.10399874546735,NaN
4,0.5,40,40,0.0876872131473121,0.0795283742550875,0.0909743209431537,NaN
4,1,40,40,0.112756216330655,0.109178810674787,0.115460452011182,NaN
4,16,40,40,0.124064474970833,0.120780120745044,0.126553062000306,NaN
4,full,40,40,0.120051864470119,0.117557381570589,0.122473146668499,NaN
8,0.5,40,40,0.0760233931125383,0.0668130203009189,0.0814104265040386,NaN
8,1,40,40,0.0935976786740244,0.0889124800822492,0.0978560793648362,NaN
8,16,40,40,0.0969748825806669,0.0916751737681478,0.101988711721343,NaN
8,full,40,40,0.120309506678507,0.11185996917101,0.134395301363281,NaN
10,0.5,40,40,0.052976757987334,NaN,0.0622834281143861,NaN
10,1,40,40,0.0365201373315568,NaN,0.0425626957025591,NaN
10,16,40,40,0.0940469640351393,NaN,0.105622398230466,NaN
10,full,40,40,0.101145292733594,NaN,0.108911643944859,NaN
12,0.5,40,40,NaN,NaN,NaN,NaN
12,1,40,40,0.0380904779925043,NaN,0.0791568345497398,NaN
12,16,40,40,0.111047999364569,0.107492614139922,0.113886820167073,NaN
12,full,40,40,0.106207433738848,0.102439449864877,0.10891461497371,NaN
14,0.5,40,40,0.0445045865017326,NaN,0.0500878893253556,NaN
14,1,40,40,NaN,NaN,NaN,NaN
14,16,40,40,0.0790401717324576,0.0731226250433125,0.0829958333236279,NaN
14,full,40,40,0.111695981716503,0.107978392847704,0.114891166189469,NaN
16,0.5,40,40,0.0387650573093288,NaN,0.0544920249490982,NaN
16,1,40,40,NaN,NaN,NaN,NaN
16,16,40,40,0.107294056046896,0.103424132599738,0.11124449160786,NaN
16,full,40,40,0.10377273090979,0.100783019754302,0.106788580644431,NaN
