Block_ID,VRR_Frequency,Size_Degree,Threshold_Color_Value,Trail_ID,Real_VRR_period,Observer_choice,Response
0,2.0,16,0.085,0,0,0,1
0,2.0,16,0.103119551,1,0,1,0
0,2.0,16,0.096572756,2,0,0,1
0,2.0,16,0.098833057,3,1,1,1
0,2.0,16,0.10101864,4,1,1,1
0,2.0,16,0.103137513,5,0,0,1
0,2.0,16,0.105196778,6,1,1,1
0,2.0,16,0.107202785,7,1,1,1
0,2.0,16,0.109161254,8,1,1,1
0,2.0,16,0.111077368,9,1,1,1
0,2.0,16,0.112955854,10,0,1,0
0,2.0,16,0.107191207,11,0,0,1
0,2.0,16,0.109135509,12,0,1,0
0,2.0,16,0.103175096,13,0,0,1
0,2.0,16,0.105203807,14,1,1,1
0,2.0,16,0.107180559,15,0,1,0
0,2.0,16,0.10112358,16,0,0,1
0,2.0,16,0.103194665,17,1,1,1
0,2.0,16,0.1052084,18,1,1,1
0,2.0,16,0.10717081,19,0,0,1
0,2.0,16,0.109087328,20,1,1,1
0,2.0,16,0.110962892,21,1,1,1
0,2.0,16,0.11280201,22,0,0,1
0,2.0,16,0.114608826,23,0,0,1
0,2.0,16,0.116387168,24,0,1,0
0,2.0,16,0.110927213,25,0,1,0
0,2.0,16,0.105219599,26,0,0,1
0,2.0,16,0.107153876,27,1,1,1
0,2.0,16,0.10904332,28,0,0,1
0,2.0,16,0.11089271,29,0,1,0
0,2.0,16,0.105226151,30,0,0,1
0,2.0,16,0.107146632,31,0,0,1
0,2.0,16,0.109022796,32,1,1,1
0,2.0,16,0.110859346,33,1,0,0
0,2.0,16,0.105233304,34,0,0,1
0,2.0,16,0.107140164,35,1,1,1
0,2.0,16,0.109003216,36,0,0,1
0,2.0,16,0.110827088,37,1,1,1
0,2.0,16,0.11261602,38,0,0,1
0,2.0,16,0.114373914,39,0,1,0
1,0.5,16,0.075,0,1,1,1
1,0.5,16,0.095399448,1,1,1,1
1,0.5,16,0.097672375,2,0,1,0
1,0.5,16,0.090670251,3,1,1,1
1,0.5,16,0.093087498,4,1,0,0
1,0.5,16,0.085632384,5,0,1,0
1,0.5,16,0.077190403,6,1,1,1
1,0.5,16,0.080190847,7,1,1,1
1,0.5,16,0.083030874,8,0,0,1
1,0.5,16,0.08573195,9,0,0,1
1,0.5,16,0.088311739,10,1,1,1
1,0.5,16,0.090785021,11,0,0,1
1,0.5,16,0.093164329,12,1,1,1
1,0.5,16,0.095460427,13,0,0,1
1,0.5,16,0.097682657,14,0,1,0
1,0.5,16,0.090842517,15,1,1,1
1,0.5,16,0.093203242,16,0,1,0
1,0.5,16,0.085929464,17,1,0,0
1,0.5,16,0.077717367,18,1,1,1
1,0.5,16,0.08063252,19,1,1,1
1,0.5,16,0.083395922,20,0,1,0
1,0.5,16,0.074796815,21,1,0,0
1,0.5,16,0.063125037,22,1,1,1
1,0.5,16,0.067287561,23,0,1,0
1,0.5,16,0.054387963,24,1,1,1
1,0.5,16,0.059092486,25,1,1,1
1,0.5,16,0.06346759,26,0,0,1
1,0.5,16,0.067589267,27,1,1,1
1,0.5,16,0.071510983,28,1,1,1
1,0.5,16,0.075228176,29,1,1,1
1,0.5,16,0.078228438,30,1,1,1
1,0.5,16,0.08106254,31,1,1,1
1,0.5,16,0.083752901,32,0,1,0
1,0.5,16,0.075424374,33,1,1,1
1,0.5,16,0.078395369,34,0,0,1
1,0.5,16,0.081203344,35,1,1,1
1,0.5,16,0.083870115,36,1,1,1
1,0.5,16,0.086413576,37,0,1,0
