Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.796272402999353,1.17052041162472,0.796272402999353,0.0291441389649727,0.0291441389649727,0.0162641437345722
1,0.5,0.5,0.755382570418146,1.39807491445743,0.755382570418146,0.0313856456047149,0.0313856456047149,0.0121396428539606
16,0.5,0.5,2.08864393625916,2.21582380816261,1.96096799145268,0.00608969834916796,0.00678671098732788,0.00550829786905489
-1,0.5,0.5,1.1673400996656,1.36181607651035,1.1673400996656,0.0163354218514231,0.0163354218514231,0.0126865766051607
0.5,2,2,1.49958567037821,1.63155435626633,1.12648372312885,0.0101743974297946,0.0162804787499844,0.00885213554205447
1,2,2,1.87359764487624,2.03393919184472,1.17383458295268,0.00708847290052503,0.015233370278749,0.00625613539604559
16,2,2,5.02097931172358,5.58371731732082,4.67168385721962,0.00342257177494656,0.00345455064287767,0.00335587755801166
-1,2,2,3.14067350479145,3.29168630509933,2.99749478181985,0.00389149632198983,0.00401700244927883,0.00378743610755291
0.5,4,4,1.61937556831817,1.73016290191141,1.47557619059443,0.0075230776380093,0.00890588960801808,0.00668658082933068
1,4,4,2.11755644910768,2.26046327191945,1.91450294907931,0.00480888650225544,0.00562556141105772,0.00439523430263321
16,4,4,3.09166688046492,3.41921968678321,2.76076571735302,0.0034326323587163,0.00361104540000598,0.00339760357648749
-1,4,4,3.94217993592706,4.15869697337311,3.60072044550527,0.00349458397304545,0.00349458397304545,0.00349458397304545
0.5,8,8,1.47144622430348,2.1188950976363,1.30172926474449,0.00654719250742839,0.00890375692960049,0.00218895998865497
1,8,8,4.73622798013035,5.19159862935365,4.39178329361049,0.00148402272371624,0.00148402272371624,0.00148402272371624
16,8,8,5.08484690057043,5.57876380742723,4.72580940060615,0.00168475313431941,0.00168475313431941,0.00168475313431941
-1,8,8,5.32500860447894,5.69240909223878,5.07607910031374,0.00181697949980046,0.00181697949980046,0.00181697949980046
