Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.796272402999353,1.17052041162472,0.796272402999353,42.635280138507,77.8826184185856,42.635280138507
1,0.5,0.5,0.755382570418146,1.39807491445743,0.755382570418146,39.2611995845657,102.825179786337,39.2611995845657
16,0.5,0.5,2.08864393625916,2.21582380816261,1.96096799145268,192.6390750945,211.296140014143,174.542995755931
-1,0.5,0.5,1.1673400996656,1.36181607651035,1.1673400996656,77.5519340356069,98.6851962091242,77.5519340356069
0.5,2,2,1.49958567037821,1.63155435626633,1.12648372312885,111.128952380687,126.798505952384,71.0420481068769
1,2,2,1.87359764487624,2.03393919184472,1.17383458295268,157.422380850524,178.994021651946,75.7672480006505
16,2,2,5.02097931172358,5.58371731732082,4.67168385721962,735.530785250541,868.465220618592,657.092674732527
-1,2,2,3.14067350479145,3.29168630509933,2.99749478181985,353.123868092588,380.035616280598,328.273013010387
0.5,4,4,1.61937556831817,1.73016290191141,1.47557619059443,120.093454726072,133.188144441146,103.838601470674
1,4,4,2.11755644910768,2.26046327191945,1.91450294907931,182.682391698401,202.326789992752,156.037782404828
16,4,4,3.09166688046492,3.41921968678321,2.76076571735302,330.17142084541,386.488500534135,276.599958581396
-1,4,4,3.94217993592706,4.15869697337311,3.60072044550527,482.838376219871,524.949319005361,419.050188668525
0.5,8,8,1.47144622430348,2.1188950976363,1.30172926474449,94.9387388059295,167.924562914859,78.380069813285
1,8,8,4.73622798013035,5.19159862935365,4.39178329361049,590.784019431065,681.993162636044,524.98276868443
16,8,8,5.08484690057043,5.57876380742723,4.72580940060615,660.189156380021,763.188951504897,588.752829713674
-1,8,8,5.32500860447894,5.69240909223878,5.07607910031374,709.59934980262,787.642449665,658.409708471087
