VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0652726566649539,NaN,0.0778829098777239,NaN
0.5,1,40,40,0.0636379003297597,NaN,0.0841341789094977,NaN
0.5,16,40,40,0.0994673046963955,0.0969358056355259,0.101884775711715,NaN
0.5,full,40,40,0.0789707457781679,NaN,0.0843362362532211,NaN
2,0.5,40,40,0.0866853140189542,0.0765718422006662,0.0898226305035826,NaN
2,1,40,40,0.0951365753209654,0.0779800975677735,0.0983961691054528,NaN
2,16,40,40,0.140877294674204,0.136943128141202,0.146889995972754,NaN
2,full,40,40,0.118313153122171,0.116154901089378,0.120522603072327,NaN
4,0.5,40,40,0.0895408688863436,0.0860934353518006,0.0920506635298775,NaN
4,1,40,40,0.100025602625099,0.0959860820343334,0.102710672184046,NaN
4,16,40,40,0.11640710587159,0.111289825345889,0.121132077415199,NaN
4,full,40,40,0.129375548865663,0.124852417100295,0.132120238748243,NaN
8,0.5,40,40,0.0859909263969342,0.0815855510565413,0.10005132405922,NaN
8,1,40,40,0.137682998132114,0.133661214312792,0.142740141753933,NaN
8,16,40,40,0.141578909238554,0.137563980610444,0.146838643125135,NaN
8,full,40,40,0.145608130252702,0.142887301543431,0.149493948454425,NaN
