Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.871110882964364,0.968703995910283,0.773372730499056,0.0256063770606267,0.0303694159158413,0.0218602369425356
1,0.5,0.5,1.39187845194152,1.65719086160012,1.09572160767555,0.0122306301159526,0.0180675752066361,0.00908149143498615
16,0.5,0.5,1.27233169086035,1.39170343167032,1.14425833832863,0.0142007066596995,0.0168665056417815,0.0122332145926502
-1,0.5,0.5,1.32209897104952,1.46833741101583,1.02488571541456,0.0133280489741305,0.0200535695767018,0.0111741212668247
0.5,2,2,1.26081203085478,1.35655029898064,1.10468115530589,0.0135558701061743,0.0167988454142111,0.0120144223541847
1,2,2,1.67369776150623,1.83147421310705,1.50711342166002,0.00849049829494258,0.0100903099349778,0.00734606867907359
16,2,2,1.54916141441745,2.30595925119266,1.54916141441745,0.00964099545957096,0.00964099545957096,0.00525466135604922
-1,2,2,2.25468220704335,2.7114141887179,2.05085311787094,0.00541181265711407,0.00618034273726137,0.00437352704775219
0.5,4,4,1.07649810000136,1.64214058786829,1.07649810000136,0.0156569958830054,0.0156569958830054,0.007336732977471
1,4,4,2.08014378814772,2.23837558074394,1.88537310070711,0.00493704322134859,0.00577009101967691,0.00445199224516488
16,4,4,3.91100657866917,4.14705277862303,3.634800292731,0.00348571643208746,0.00348571643208746,0.00348571643208746
-1,4,4,2.71737904162196,2.91576447918752,2.54114957815123,0.00364973341368528,0.00385542180387552,0.00350442677827007
0.5,8,8,1.71425108258454,1.917710356983,1.54272170598809,0.00427601222729057,0.00576840412364702,0.00302989649078028
1,8,8,3.60883057008979,3.74181558631016,3.45127982971121,0.000900040832423486,0.000900040832423486,0.000900040832423486
16,8,8,3.89793228007303,4.18685949424749,3.55879426676547,0.00101901558078655,0.00101901558078655,0.00101901558078655
-1,8,8,3.30912908873221,3.52584269247084,3.09528990013874,0.000831760799324319,0.000836508596893788,0.000831760799324319
