Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.871110882964364,0.968703995910283,0.773372730499056,49.065986503127,57.9301953774786,40.7333211892862
1,0.5,0.5,1.39187845194152,1.65719086160012,1.09572160767555,102.11333580896,134.14757247589,70.2407535661837
16,0.5,0.5,1.27233169086035,1.39170343167032,1.14425833832863,88.7335696545514,102.093255541877,75.1671753110836
-1,0.5,0.5,1.32209897104952,1.46833741101583,1.02488571541456,94.221188149505,111.020678418932,63.2698246203268
0.5,2,2,1.26081203085478,1.35655029898064,1.10468115530589,84.7288029011596,95.0038566631655,68.9034445308027
1,2,2,1.67369776150623,1.83147421310705,1.50711342166002,131.957885396751,151.92243670055,112.002628376722
16,2,2,1.54916141441745,2.30595925119266,1.54916141441745,116.927924905696,217.817967300166,116.927924905696
-1,2,2,2.25468220704335,2.7114141887179,2.05085311787094,210.290654811305,280.61227978406,181.327352171662
0.5,4,4,1.07649810000136,1.64214058786829,1.07649810000136,63.4135573380233,122.744210545548,63.4135573380233
1,4,4,2.08014378814772,2.23837558074394,1.88537310070711,177.659877903723,199.243447732872,152.340726852065
16,4,4,3.91100657866917,4.14705277862303,3.634800292731,476.880468563534,522.652420545099,425.269546176892
-1,4,4,2.71737904162196,2.91576447918752,2.54114957815123,269.831945806163,301.26791464046,242.969599907545
0.5,8,8,1.71425108258454,1.917710356983,1.54272170598809,120.553141497245,143.666332375614,102.228369575442
1,8,8,3.60883057008979,3.74181558631016,3.45127982971121,386.173470581988,408.658816178675,360.133667006751
16,8,8,3.89793228007303,4.18685949424749,3.55879426676547,435.635731209659,487.180292327171,377.832589436121
-1,8,8,3.30912908873221,3.52584269247084,3.09528990013874,337.206842919889,372.375623625576,303.754871473694
