VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,30,30,0.0599676421329689,0.0442372403259155,0.0638756050347848,NaN
0.5,1,30,30,0.0580053364770703,0.0435495825670924,0.0618704502889118,NaN
0.5,16,30,30,0.0945459165656122,0.0899393586066386,0.0989946338213099,NaN
0.5,full,30,30,0.0822197039038381,0.0788109863054902,0.0850410360054986,NaN
2,0.5,30,30,0.0800299229137183,0.0729860656146003,0.083494847983797,NaN
2,1,30,30,0.0787747596612505,NaN,0.0873074941604021,NaN
2,16,30,30,0.0934224269991287,0.0885095005744302,0.0988801931121468,NaN
2,full,30,30,0.110624629570415,0.105750415276314,0.113168951070589,NaN
4,0.5,30,30,0.0693737104800632,0.0607059636187416,0.0736180890808562,NaN
4,1,30,30,0.0919890020710138,0.0871398390529,0.095346075188642,NaN
4,16,30,30,0.0877036721359268,NaN,0.0935539584848441,NaN
4,full,30,30,0.122524153118214,0.118579969698275,0.125915481614287,NaN
8,0.5,30,30,0.0834499615324344,0.0806364820116939,0.0864347207238465,NaN
8,1,30,30,0.0943797325178844,0.0901253707904369,0.0981351290714582,NaN
8,16,30,30,0.123668886296892,0.121525812955647,0.125741840588456,NaN
8,full,30,30,0.12878320787008,0.123907031622999,0.134487512480106,NaN
10,0.5,40,40,0.0578897237266304,NaN,0.0651329145791648,NaN
10,1,40,40,0.0809345836341601,0.0737405518595278,0.0918564095741656,NaN
10,16,40,40,0.120606939874304,0.117300239563682,0.123802424938641,NaN
10,full,40,40,0.118493681135464,0.114689297503538,0.124291346242143,NaN
12,0.5,40,40,0.045803981069417,NaN,0.0514886956650613,NaN
12,1,40,40,0.0664956065861985,NaN,0.0865296827769041,NaN
12,16,40,40,0.119961867118821,0.116985804506419,0.12258105847632,NaN
12,full,40,40,0.143190651251416,0.140974435654876,NaN,NaN
14,0.5,40,40,NaN,NaN,NaN,NaN
14,1,40,40,0.0376482469615952,NaN,0.0470166173294033,NaN
14,16,40,40,0.124522034855607,0.120176143271787,0.126925897998511,NaN
14,full,40,40,0.140539554917576,0.138215516087835,0.143086419279943,NaN
16,0.5,40,40,0.0500630804297391,NaN,0.0541820959457797,NaN
16,1,40,40,NaN,NaN,NaN,NaN
16,16,40,40,0.119739361172068,0.117609641575248,0.121670711601826,NaN
16,full,40,40,0.132756950440081,0.130260000123133,0.135865482136183,NaN
