Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.706010802739136,0.823030370396204,0.567001841005582,0.034445837233143,0.0459027838586463,0.0278018346999371
1,0.5,0.5,0.473839594256053,0.526128186846624,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0503809266068279
16,0.5,0.5,0.473839594256053,0.730574581286159,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0328709009257849
0.5,2,2,0.492183611173313,0.577475157042153,0.473839594256053,0.0527394789713792,0.0552421087148599,0.0430967738736976
1,2,2,2.20096233352826,2.44227102613611,1.93694934958099,0.0055907554631839,0.00673331584755179,0.00489386711009449
16,2,2,2.04047647346358,2.20435983847586,1.87349125038942,0.00622659548478292,0.00708910111767846,0.00557897994114543
-1,2,2,2.42775383715659,2.5837673280796,2.21018157429541,0.00492870513549325,0.00555894962638045,0.00459297112930428
0.5,4,4,0.87196755557771,0.990849300027296,0.622275554083374,0.0222336521663092,0.0368837784952301,0.018029291758631
1,4,4,1.85185450144864,1.98269557439806,1.68947210853915,0.00594633178082123,0.0069738729158088,0.00531622817671893
16,4,4,1.73577212978227,1.85359177429066,1.6107727333694,0.00664865845977231,0.00759560320834995,0.00593692602093111
-1,4,4,2.65322203580756,2.78436683048422,2.50187531479924,0.00371507708829886,0.00391344686687552,0.00359173827488493
0.5,8,8,1.2269521306061,1.63654719495682,1.08614236376999,0.010226771803886,0.0133618831757793,0.00489249096606301
1,8,8,1.53345667880678,1.71072858913347,1.38071380952821,0.00586370362832777,0.0077082378086041,0.00430205106032283
16,8,8,3.00527177047378,3.22934190782549,2.73721909146641,0.000856707132484116,0.00100299925190329,0.000827221130274756
-1,8,8,3.97498941964131,3.97498941964131,3.82856142158009,0.00105650839925378,0.00105650839925378,0.00105650839925378
0.5,10,10,0.473839594256053,0.551764929072684,0.473839594256053,0.0562854411356575,0.0562854411356575,0.045926547885038
1,10,10,1.53069414790367,1.71187643410691,1.53069414790367,0.00660812881661156,0.00660812881661156,0.00479609632583151
16,10,10,3.010400939186,3.21153817574512,2.78862702571531,0.000444808593626018,0.000660729442536544,0.000329474385491118
-1,10,10,5.32814309304941,5.57950410916488,4.8708840524488,0.000760756339811441,0.000760756339811441,0.000760756339811441
0.5,12,11.9,0.483843410293225,0.639652961539189,0.483843410293225,0.0614317191665702,0.0614317191665702,0.042787935429384
1,12,11.9,0.473839594256053,0.483119209717788,0.473839594256053,0.063013886775297,0.063013886775297,0.0615442523424642
16,12,11.9,3.51329248109477,4.19859760206399,3.0354743593649,0.00108548738608465,0.00157522349641382,0.000812944240420638
-1,12,11.9,4.97707943168748,5.18649660348715,4.69895003270308,0.000761403567341671,0.000763992580282317,0.000761403567341671
1,14,13.3,0.498672096073644,0.702520817676106,0.498672096073644,0.066469289094735,0.066469289094735,0.0436806205193299
16,14,13.3,3.90725215593405,4.15228133536121,3.68056750540977,0.00257116579154579,0.00279471801723065,0.00237808500345154
-1,14,13.3,3.79935782197013,4.04867342116542,3.0332625543772,0.00267139621501998,0.00381309407497689,0.00245444470258816
0.5,16,14.9,0.529522022177501,0.635532995791859,0.473839594256053,0.0729941076813612,0.0819619933183805,0.0598769469860827
16,16,14.9,4.25861168949826,4.56588869140469,3.95588729045947,0.00566192720116275,0.00610477162028169,0.00528310654641627
-1,16,14.9,2.47466803566259,2.8061193741525,2.06720161883925,0.0105907061857664,0.0134332497278262,0.00902967506108518
