Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,1.91348360000562,2.09825288665747,1.58459538248984,0.00708025049016573,0.00980996165970451,0.00604213565560211
1,0.5,0.5,1.54374650756544,1.66182060747935,1.41971511202758,0.0102593995928076,0.0118295696963571,0.00903785238173966
16,0.5,0.5,1.53230304856606,1.72048243329718,1.37554180500391,0.010390854325357,0.0124753658457049,0.00851170554762092
-1,0.5,0.5,2.48388076457101,3.05671619813839,2.48388076457101,0.0045619271928617,0.0045619271928617,0.00333134785747579
0.5,2,2,2.32375716113173,2.49882222746587,1.79493550751542,0.00520302990877496,0.00758463930102268,0.00476550828253934
1,2,2,2.96282209364907,3.16633141969995,2.66560161298522,0.00405203264028332,0.00444724579366029,0.00387194163981509
16,2,2,3.36178602354673,3.64219125369504,2.61410536647546,0.00374730634538768,0.00453673978465817,0.00362676802686557
-1,2,2,3.34200393477774,3.61819104963904,3.05889655141703,0.00375815924071912,0.00395958647759179,0.00363498986565123
0.5,4,4,2.11933545966455,2.56407521256483,1.88641529468415,0.00480301461499537,0.00576478453105837,0.00382377351085802
1,4,4,3.03227325966028,3.28461321863513,2.82347826389787,0.00345183219253196,0.00356229169692568,0.00339939996875581
16,4,4,4.34446303525937,4.57021006062219,4.12860598447494,0.00362587170059751,0.00362587170059751,0.00362587170059751
-1,4,4,3.93648742856869,4.30015734890673,3.22003051613497,0.00349294511089719,0.00349294511089719,0.00349294511089719
0.5,8,8,2.81298936567633,3.02344703459687,2.53506405646756,0.000946567376113563,0.00122776400186899,0.000851624883780464
1,8,8,4.5421517506883,4.82803564902936,4.23128000077848,0.00137051769333421,0.00137051769333421,0.00137051769333421
16,8,8,5.81402469544802,5.81402469544802,5.59597214158937,0.00206241380084632,0.00206241380084632,0.00206241380084632
-1,8,8,4.66283225962341,5.03824723001983,4.24126342807725,0.00144109226577939,0.00144109226577939,0.00144109226577939
