Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,1.91348360000562,2.09825288665747,1.58459538248984,167.978336298053,194.026897593754,125.071406712575
1,0.5,0.5,1.54374650756544,1.66182060747935,1.41971511202758,120.065821576752,134.734148965105,105.325137744475
16,0.5,0.5,1.53230304856606,1.72048243329718,1.37554180500391,118.676808145685,142.245949460694,100.245161744088
-1,0.5,0.5,2.48388076457101,3.05671619813839,2.48388076457101,252.61267614978,349.46422654918,252.61267614978
0.5,2,2,2.32375716113173,2.49882222746587,1.79493550751542,220.452899856941,246.972826962128,147.209055608472
1,2,2,2.96282209364907,3.16633141969995,2.66560161298522,322.35387498627,357.645956899202,273.232697102196
16,2,2,3.36178602354673,3.64219125369504,2.61410536647546,392.768580999962,445.194523621622,265.02257690207
-1,2,2,3.34200393477774,3.61819104963904,3.05889655141703,389.16003363504,440.61511982333,338.850118175415
0.5,4,4,2.11933545966455,2.56407521256483,1.88641529468415,182.922473061559,246.406448185767,152.472446431023
1,4,4,3.03227325966028,3.28461321863513,2.82347826389787,320.305526381388,362.958881695511,286.489042841427
16,4,4,4.34446303525937,4.57021006062219,4.12860598447494,562.080872178836,608.422407531798,519.021102475191
-1,4,4,3.93648742856869,4.30015734890673,3.22003051613497,481.748424102132,553.14195174513,351.859893339721
0.5,8,8,2.81298936567633,3.02344703459687,2.53506405646756,261.558272392926,292.801201316993,222.285811305284
1,8,8,4.5421517506883,4.82803564902936,4.23128000077848,553.36381523397,608.791422291693,495.287951066849
16,8,8,5.81402469544802,5.81402469544802,5.59597214158937,814.117573649859,814.117573649859,766.873851453007
-1,8,8,4.66283225962341,5.03824723001983,4.24126342807725,576.528726429169,650.751513247126,497.116766019288
