VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0959650675480673,0.0887278029628555,0.0996534412487049,NaN
0.5,1,40,40,0.0877564136900225,0.0846889882448934,0.0905164265746482,NaN
0.5,16,40,40,0.0874809910288527,0.0835498262391758,0.0918359857006284,NaN
0.5,full,40,40,0.107812586353205,NaN,0.117055424210181,NaN
2,0.5,40,40,0.103862814129552,0.0934656778868365,0.106942320292768,NaN
2,1,40,40,0.114459469155071,0.10974360243365,0.117511620142478,NaN
2,16,40,40,0.120325358801409,0.108891504810211,0.124184533872004,NaN
2,full,40,40,0.121244503922912,0.117088364544222,0.125090130279242,NaN
4,0.5,40,40,0.100059782936703,0.095404152050193,0.108052840887761,NaN
4,1,40,40,0.115516027788773,0.11228952565627,0.119227328037467,NaN
4,16,40,40,0.133093944561856,0.130457123320114,0.135767409476742,NaN
4,full,40,40,0.129302162009068,0.11948241932851,0.133866956598895,NaN
8,0.5,40,40,0.112123353135756,0.107561483381338,0.115382638940152,NaN
8,1,40,40,0.135439542426481,0.131721632735421,0.138725070038356,NaN
8,16,40,40,0.14924933880039,0.147016928732015,NaN,NaN
8,full,40,40,0.138193424593939,0.133144024288074,0.14246709178499,NaN
