Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.473839594256053,0.473839594256053,0.473839594256053,0.0571636583569491,0.0571636583569491,0.0571636583569491
1,0.5,0.5,0.482366638920644,0.554850417997511,0.482366638920644,0.0559642416196787,0.0559642416196787,0.0471685176755365
16,0.5,0.5,1.08423697129164,1.22640919792899,0.802944627348233,0.0183697510603756,0.0288007223671661,0.0150815243581833
0.5,2,2,0.473839594256053,0.62114511152581,0.473839594256053,0.0552421087148599,0.0552421087148599,0.0391549068091195
1,2,2,0.699237787339398,1.00224747287407,0.699237787339398,0.0333275616177025,0.0333275616177025,0.0195918963245205
16,2,2,1.34252838074668,1.56746635582576,1.15160709068944,0.0122227685824154,0.0157120323647293,0.00945569327848073
-1,2,2,1.88294598771589,2.01672255285374,1.74542847168901,0.00703370403045228,0.00793216404661024,0.00633544357395964
0.5,4,4,0.87063024448608,0.948781565386676,0.473839594256053,0.0222883531114723,0.0529981048046184,0.0193800465661221
1,4,4,1.43341891172485,1.59662424189125,1.31358879857645,0.00938925869671805,0.0110043182646946,0.00771747228188796
16,4,4,1.60676857582475,1.7510348365312,1.60676857582475,0.0076297635249182,0.0076297635249182,0.00654745250221106
-1,4,4,1.69728174538048,1.9479576336276,1.49390815923103,0.00691702990087749,0.00870772024263078,0.00546891603853004
0.5,8,8,0.861290159462887,1.55514233235598,0.861290159462887,0.0209918973515837,0.0209918973515837,0.0056432690884345
1,8,8,2.14819637502036,2.35884412408164,1.6961793001731,0.00209142659133279,0.00441144701790305,0.00153571274234183
16,8,8,3.71947653350896,3.9218448601024,3.4706560182475,0.000940828101208439,0.000940828101208439,0.000940828101208439
-1,8,8,3.48309771619056,3.75308597087169,3.12387924559543,0.000862856594215523,0.000862856594215523,0.000862856594215523
