Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.473839594256053,0.473839594256053,0.473839594256053,18.9327392774772,18.9327392774772,18.9327392774772
1,0.5,0.5,0.482366638920644,0.554850417997511,0.482366638920644,19.4682749390613,24.2332624846795,19.4682749390613
16,0.5,0.5,1.08423697129164,1.22640919792899,0.802944627348233,69.0927738643397,83.7760745115677,43.1953176369483
0.5,2,2,0.473839594256053,0.62114511152581,0.473839594256053,18.3372441840423,28.0021615713319,18.3372441840423
1,2,2,0.699237787339398,1.00224747287407,0.699237787339398,33.6997720151219,59.1761158147219,33.6997720151219
16,2,2,1.34252838074668,1.56746635582576,1.15160709068944,93.4725624645008,119.095865340865,73.5354801563172
-1,2,2,1.88294598771589,2.01672255285374,1.74542847168901,158.652508757041,176.630142583888,140.908722400259
0.5,4,4,0.87063024448608,0.948781565386676,0.473839594256053,45.5009479590929,52.0481842065696,17.5722842631567
1,4,4,1.43341891172485,1.59662424189125,1.31358879857645,99.2364845573422,117.465205904102,86.5719643599479
16,4,4,1.60676857582475,1.7510348365312,1.60676857582475,118.634495422647,135.70946935821,118.634495422647
-1,4,4,1.69728174538048,1.9479576336276,1.49390815923103,129.250821227469,160.323023169264,105.863193930696
0.5,8,8,0.861290159462887,1.55514233235598,0.861290159462887,41.0849648061814,103.518478409229,41.0849648061814
1,8,8,2.14819637502036,2.35884412408164,1.6961793001731,171.570367641628,198.599004748725,118.571497531912
16,8,8,3.71947653350896,3.9218448601024,3.4706560182475,404.849681682896,439.822518734296,363.30070782707
-1,8,8,3.48309771619056,3.75308597087169,3.12387924559543,365.33957170339,410.58545861761,308.154029569626
