Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,Sensitivity,Sensitivity_high,Sensitivity_low
0.5,0.5,0.5,0.473839594256053,0.637865600487455,0.473839594256053,18.9327392774772,30.1378683554984,18.9327392774772
1,0.5,0.5,0.840424066509224,1.0950092460911,0.618566554646563,46.3897997338434,70.1693491323725,28.7240385930749
16,0.5,0.5,1.2286089644305,1.40143081529266,0.878557481351263,84.0111980450856,103.211446483634,49.7235302327458
-1,0.5,0.5,1.7728122415251,1.94309590361271,1.52655163488517,149.070070153453,172.061556615486,117.980901384227
0.5,2,2,0.800922800554255,0.941260993114776,0.705375622559621,41.6720518879752,53.6421575158418,34.16354438994
1,2,2,1.21375523392117,1.36472518791023,1.07110609681916,79.8355401963797,95.9007467871577,65.6564502198003
16,2,2,1.88276206672045,2.25595883656144,1.54100770560386,158.628273713321,210.476899638838,115.966873408729
-1,2,2,1.99155727943342,2.09469844319168,1.86969992092429,173.195336796769,187.426504955383,156.910508463418
0.5,4,4,1.08776949088772,1.18494450236429,0.767150501508615,64.4550112609543,73.6841107008436,37.3317119042513
1,4,4,1.42436940311092,1.52838698044323,1.28402498371083,98.2584276302745,109.709081472356,83.5442159548589
16,4,4,2.50633610682418,2.66747525873543,2.36134019767349,237.783985889449,262.122356581637,216.624264299119
-1,4,4,2.58522508367537,2.91151286678841,2.33858130878426,249.592494639777,300.581176998541,213.367911325666
0.5,8,8,1.16895846090592,1.27792318072854,1.06838865027055,66.2424940019199,76.149904534684,57.5485644118263
1,8,8,1.8407657859444,2.05202876658033,1.63839911936365,134.753932050914,159.711068902838,112.31559248055
16,8,8,4.75647712106935,5.0468344801056,4.41536824015298,594.738969637374,652.48697006672,529.398585226684
-1,8,8,3.72360417611153,3.90266037382305,3.55113483448426,405.552535961521,436.462414471366,376.561591701968
