VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
0.5,0.5,40,40,0.0476838607754559,0.0404668099794918,0.0585276859875588,NaN
0.5,1,40,40,0.0669675252786009,0.0576202217814663,0.0756113573247437,NaN
0.5,16,40,40,0.0795578464322654,0.0683778128453594,0.0842206225622601,NaN
0.5,full,40,40,0.0940992255707356,0.0884690043499317,0.0976824688978475,NaN
2,0.5,40,40,0.0654544925045549,0.0615439152198792,0.070599379291137,NaN
2,1,40,40,0.0791351880241116,0.0748681488730702,0.0832668489939477,NaN
2,16,40,40,0.0953280186107999,0.0876906294310433,0.102627842418941,NaN
2,full,40,40,0.0986626952161408,0.0961655712082457,0.100696165718276,NaN
4,0.5,40,40,0.0753875377212168,0.0641151641261891,0.0783044268327461,NaN
4,1,40,40,0.0848075139500311,0.0811023905060096,0.087386399870364,NaN
4,16,40,40,0.107071183288728,0.104536854535699,0.109774397188736,NaN
4,full,40,40,0.109542310312169,0.105249232190679,0.114826881059492,NaN
8,0.5,40,40,0.0778370355105109,0.0747828792141778,0.0809347412408202,NaN
8,1,40,40,0.0944452866011669,0.0899803300048011,0.0987525518067294,NaN
8,16,40,40,0.137913868470238,0.133942558644732,0.141161955935786,NaN
8,full,40,40,0.126509528711159,0.124173796277379,0.128864723418422,NaN
