Size_Degree,VRR_Frequency,FRR,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.5,0.757727933321663,0.897422554311398,0.627586341465351,0.031250357856824,0.0402982079920703,0.0245101045730421
1,0.5,0.5,1.59400159524538,1.71122178892057,1.39681292898607,0.00971067349225104,0.0121580927240497,0.00859157772909807
16,0.5,0.5,0.926757835947875,1.79184376084182,0.926757835947875,0.0233662114680169,0.0233662114680169,0.00793315274550841
-1,0.5,0.5,1.33762211963694,1.61352324799293,1.33762211963694,0.0130718156888303,0.0130718156888303,0.00950940129808485
0.5,2,2,1.56505992675603,1.67216475377711,1.44647061700268,0.00947971116487391,0.0108015740400008,0.0085031963105065
1,2,2,1.87169602737727,2.02131766198717,1.59176785984967,0.00709971789391805,0.00921879119795744,0.00631405951390499
16,2,2,2.30521934932645,2.45411407448559,2.1643557152317,0.00525683942938685,0.00572175813539611,0.0048660309663916
-1,2,2,2.63598842623589,2.77224290026055,2.49800168588242,0.00449781879039819,0.00476729013267142,0.00428355820131937
0.5,4,4,1.05424722208012,1.55264689140538,0.868228985569559,0.0162293638906482,0.0223870430403576,0.00811781832105475
1,4,4,2.34491624641791,2.6960655081706,2.04407751033691,0.00419950284057714,0.00506940787080399,0.00367032739052888
16,4,4,2.98830332672317,3.18173970987997,2.78578807146447,0.00346922783378416,0.00359061331046689,0.00341201411260723
-1,4,4,3.11547094286863,3.3198402219406,2.8688282698386,0.0034262320748373,0.00353190772247561,0.00339744211142314
0.5,8,8,2.53420338210371,2.72465104457413,2.03782547434603,0.00122898736654837,0.00248954913735169,0.00101368359048223
1,8,8,2.09812563220112,2.27180687790663,1.90822144394296,0.00226154360562903,0.0030780456575816,0.00173691811955069
16,8,8,4.58775710011442,4.76848618101616,4.35609832277211,0.00139716170476183,0.00139716170476183,0.00139716170476183
-1,8,8,4.34889421261586,4.58519022251688,4.1222059472546,0.00125874682075218,0.00125874682075218,0.00125874682075218
