Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low
0.5,0.5,0.579477392572602,0.6476876678445427,,0.06358302889709176,,0.056088664696979436
1.0,0.5,0.9932230816391032,1.1149065862153198,0.8750002541875235,0.034392313757916494,0.03955596235733575,0.030254790488047547
16.0,0.5,1.43292156843799,1.5254883283144234,1.3229986840742785,0.022350825662266826,0.02453158971082648,0.02077406873491373
-1.0,0.5,1.487662992150444,1.7153309453431518,1.16842295049941,0.019358202022637713,0.0263582231548271,0.016122618262600186
0.5,2.0,1.8604676162920122,1.9643492182116231,1.7349198448392094,0.016498545338288817,0.01791387133830277,0.015474421603919857
1.0,2.0,1.7276859421607298,1.8213028597579792,1.6329150112408686,0.01853509535379448,0.01974868048240403,0.017466348373870077
16.0,2.0,2.6065232746311993,2.7503716698641276,2.4581931112969637,0.011064282892667088,0.011856804595017194,0.010383807037910567
-1.0,2.0,2.2578709338606195,2.449645025741386,2.10054629230114,0.011311050197802259,0.01241734588205032,0.010179095397227085
0.5,4.0,1.9036214095044737,2.0444878232701216,1.5866750711609419,0.01605844836389475,0.019897897120074077,0.014760942598448713
1.0,4.0,2.883108300733517,3.045715023176875,2.678136004444599,0.010391955630266675,0.011298135082537561,0.00976479311547554
16.0,4.0,3.5331823103713815,3.7084293500465764,3.311330273470155,0.007719733223151879,0.008336260564634457,0.007289192041549838
-1.0,4.0,3.411218445517862,3.576920623232871,3.2463360424148657,0.006625810395427533,0.00706608184473364,0.006229854945615224
0.5,8.0,1.4640524500750565,1.6557949602206006,1.1775004422306958,0.021867681295305984,0.02820735848495338,0.01892523742054996
1.0,8.0,1.91167789997648,2.1017028361108605,1.7183687518291064,0.01653890212984181,0.018648173464117374,0.014862005207639894
16.0,8.0,2.0003743170816652,2.235808591955149,1.7729409964172618,0.015116054649079572,0.017419239364032394,0.013259836190866162
-1.0,8.0,3.428583981291291,4.476512809747016,2.8914617341099915,0.006582254559839749,0.008211324637242496,0.004653461846912933
0.5,10.0,0.8336298951429926,1.054189235551466,,0.04206329601056074,,0.032078455332242926
1.0,10.0,0.43546038953262867,0.5194227969812684,,0.08394500982580522,,0.06965593651373626
16.0,10.0,1.8720798157050478,2.4193607358649882,,0.01634110348562873,,0.012081715619061866
-1.0,10.0,2.302441188868536,2.7193941992928603,,0.011028767934457234,,0.008891071394170275
1.0,12.0,0.4560959686428651,1.3652473918895485,,0.07995359262143772,,0.02413793547881292
16.0,12.0,2.714591277148117,2.8795374787859958,2.518215238172566,0.010545764758779198,0.011523920546452092,0.009835375778716932
-1.0,12.0,2.568328951382436,2.719563698339002,2.368357195091506,0.009574335925734206,0.010633406627706139,0.008890353301615587
0.5,14.0,0.667242069502554,0.773438364973054,,0.05423075165010882,,0.04583547825531453
16.0,14.0,1.3122367179301087,1.444795738160091,1.1322802032536619,0.024766128017168387,0.02939699940286867,0.022136450081190043
-1.0,14.0,2.8816867151043626,3.076546015847569,2.6665366775342503,0.008247461830125948,0.009120100515200203,0.007576339242486196
0.5,16.0,0.5709756154535981,0.8667074122010404,,0.06464601691976576,,0.040223594644381196
16.0,16.0,2.5075763027336855,2.725772591081433,2.3069915480439485,0.011581666091662229,0.012778862147988622,0.010494657734513971
-1.0,16.0,2.4377352216375145,2.6002552205734744,2.2842388852593576,0.010243500774291711,0.011142535135708688,0.00942236966373262
