VRR_Frequency,Size_Degree,GroupCount,numel_Response,threshold,threshold_ci_low,threshold_ci_high,threshold_se
10,0.5,40,40,0.0604114890358866,0.0558010706277913,0.0645943116551351,NaN
10,1,40,40,0.0947803547964033,0.0907859671699832,0.0981762274252726,NaN
10,16,40,40,0.112762844339932,0.109520355287709,0.116174918912497,NaN
10,full,40,40,0.119825964591397,0.11737544781814,0.122193376182501,NaN
12,0.5,40,40,0.0536021740702092,0.0441897982314939,0.0699658008471235,NaN
12,1,40,40,0.0769929568483179,0.0736926125968376,0.0804460392197324,NaN
12,16,40,40,0.13692663364968,0.130838661716525,0.14304139296029,NaN
12,full,40,40,0.12632390483469,0.121454036350087,0.129544141287497,NaN
14,0.5,40,40,0.0475581174515558,0.0366969751976835,0.0532839524870683,NaN
14,1,40,40,0.040713616913293,NaN,0.046536386461013,NaN
14,16,40,40,0.135199388880814,0.131393936955556,0.144037110980441,NaN
14,full,40,40,0.122849771890616,0.119798819180416,0.125061839768368,NaN
16,0.5,40,40,NaN,NaN,NaN,NaN
16,1,40,40,0.0393286074801665,NaN,0.0476293353776409,NaN
16,16,40,40,0.099229432576555,0.095883874345812,0.103058870982263,NaN
16,full,40,40,0.12005583845467,0.116786208462044,0.12242016173738,NaN
